method,drive_efficiency,drop_ratio,generation_to_suppression,low_density_growth_rate
FLAD,0.0,0.0,NAN,6.0
FLAD,0.0,0.015,NAN,6.0
FLAD,0.0,0.03,NAN,6.0
FLAD,0.0,0.045,NAN,6.0
FLAD,0.0,0.06,NAN,6.0
FLAD,0.0,0.075,NAN,6.0
FLAD,0.0,0.09,NAN,6.0
FLAD,0.0,0.105,NAN,6.0
FLAD,0.0,0.12,76.200,6.0
FLAD,0.0,0.135,35.050,6.0
FLAD,0.0,0.15,26.350,6.0
FLAD,0.0,0.165,22.100,6.0
FLAD,0.0,0.18,19.450,6.0
FLAD,0.0,0.195,17.500,6.0
FLAD,0.0,0.21,16.150,6.0
FLAD,0.0,0.225,15.100,6.0
FLAD,0.0,0.24,14.150,6.0
FLAD,0.0,0.255,13.650,6.0
FLAD,0.0,0.27,13.050,6.0
FLAD,0.0,0.285,12.550,6.0
FLAD,0.0,0.3,12.000,6.0
FLAD,0.05,0.0,NAN,6.0
FLAD,0.05,0.015,NAN,6.0
FLAD,0.05,0.03,NAN,6.0
FLAD,0.05,0.045,NAN,6.0
FLAD,0.05,0.06,NAN,6.0
FLAD,0.05,0.075,NAN,6.0
FLAD,0.05,0.09,NAN,6.0
FLAD,0.05,0.105,NAN,6.0
FLAD,0.05,0.12,39.300,6.0
FLAD,0.05,0.135,27.700,6.0
FLAD,0.05,0.15,22.350,6.0
FLAD,0.05,0.165,19.500,6.0
FLAD,0.05,0.18,17.700,6.0
FLAD,0.05,0.195,16.250,6.0
FLAD,0.05,0.21,14.850,6.0
FLAD,0.05,0.225,14.250,6.0
FLAD,0.05,0.24,13.400,6.0
FLAD,0.05,0.255,13.050,6.0
FLAD,0.05,0.27,12.400,6.0
FLAD,0.05,0.285,11.900,6.0
FLAD,0.05,0.3,11.600,6.0
FLAD,0.1,0.0,NAN,6.0
FLAD,0.1,0.015,NAN,6.0
FLAD,0.1,0.03,NAN,6.0
FLAD,0.1,0.045,NAN,6.0
FLAD,0.1,0.06,NAN,6.0
FLAD,0.1,0.075,NAN,6.0
FLAD,0.1,0.09,NAN,6.0
FLAD,0.1,0.105,48.600,6.0
FLAD,0.1,0.12,29.800,6.0
FLAD,0.1,0.135,23.500,6.0
FLAD,0.1,0.15,20.100,6.0
FLAD,0.1,0.165,17.900,6.0
FLAD,0.1,0.18,16.250,6.0
FLAD,0.1,0.195,15.100,6.0
FLAD,0.1,0.21,14.350,6.0
FLAD,0.1,0.225,13.500,6.0
FLAD,0.1,0.24,12.950,6.0
FLAD,0.1,0.255,12.100,6.0
FLAD,0.1,0.27,11.900,6.0
FLAD,0.1,0.285,11.500,6.0
FLAD,0.1,0.3,11.300,6.0
FLAD,0.15,0.0,NAN,6.0
FLAD,0.15,0.015,NAN,6.0
FLAD,0.15,0.03,NAN,6.0
FLAD,0.15,0.045,NAN,6.0
FLAD,0.15,0.06,NAN,6.0
FLAD,0.15,0.075,NAN,6.0
FLAD,0.15,0.09,82.700,6.0
FLAD,0.15,0.105,34.200,6.0
FLAD,0.15,0.12,25.250,6.0
FLAD,0.15,0.135,20.950,6.0
FLAD,0.15,0.15,18.200,6.0
FLAD,0.15,0.165,16.800,6.0
FLAD,0.15,0.18,15.250,6.0
FLAD,0.15,0.195,14.300,6.0
FLAD,0.15,0.21,13.700,6.0
FLAD,0.15,0.225,13.000,6.0
FLAD,0.15,0.24,12.300,6.0
FLAD,0.15,0.255,11.850,6.0
FLAD,0.15,0.27,11.300,6.0
FLAD,0.15,0.285,11.150,6.0
FLAD,0.15,0.3,10.850,6.0
FLAD,0.2,0.0,NAN,6.0
FLAD,0.2,0.015,NAN,6.0
FLAD,0.2,0.03,NAN,6.0
FLAD,0.2,0.045,NAN,6.0
FLAD,0.2,0.06,NAN,6.0
FLAD,0.2,0.075,NAN,6.0
FLAD,0.2,0.09,42.800,6.0
FLAD,0.2,0.105,27.900,6.0
FLAD,0.2,0.12,22.250,6.0
FLAD,0.2,0.135,19.100,6.0
FLAD,0.2,0.15,16.950,6.0
FLAD,0.2,0.165,15.550,6.0
FLAD,0.2,0.18,14.350,6.0
FLAD,0.2,0.195,13.650,6.0
FLAD,0.2,0.21,13.050,6.0
FLAD,0.2,0.225,12.250,6.0
FLAD,0.2,0.24,11.850,6.0
FLAD,0.2,0.255,11.250,6.0
FLAD,0.2,0.27,11.200,6.0
FLAD,0.2,0.285,10.750,6.0
FLAD,0.2,0.3,10.500,6.0
FLAD,0.25,0.0,NAN,6.0
FLAD,0.25,0.015,NAN,6.0
FLAD,0.25,0.03,NAN,6.0
FLAD,0.25,0.045,NAN,6.0
FLAD,0.25,0.06,NAN,6.0
FLAD,0.25,0.075,76.450,6.0
FLAD,0.25,0.09,32.400,6.0
FLAD,0.25,0.105,24.150,6.0
