method,drive_efficiency,drop_ratio,suppression_rate,low_density_growth_rate
FLAD,0.0,0.0,0,6.0
FLAD,0.0,0.015,0,6.0
FLAD,0.0,0.03,0,6.0
FLAD,0.0,0.045,0,6.0
FLAD,0.0,0.06,0,6.0
FLAD,0.0,0.075,0,6.0
FLAD,0.0,0.09,0,6.0
FLAD,0.0,0.105,0,6.0
FLAD,0.0,0.12,1.00,6.0
FLAD,0.0,0.135,1.00,6.0
FLAD,0.0,0.15,1.00,6.0
FLAD,0.0,0.165,1.00,6.0
FLAD,0.0,0.18,1.00,6.0
FLAD,0.0,0.195,1.00,6.0
FLAD,0.0,0.21,1.00,6.0
FLAD,0.0,0.225,1.00,6.0
FLAD,0.0,0.24,1.00,6.0
FLAD,0.0,0.255,1.00,6.0
FLAD,0.0,0.27,1.00,6.0
FLAD,0.0,0.285,1.00,6.0
FLAD,0.0,0.3,1.00,6.0
FLAD,0.05,0.0,0,6.0
FLAD,0.05,0.015,0,6.0
FLAD,0.05,0.03,0,6.0
FLAD,0.05,0.045,0,6.0
FLAD,0.05,0.06,0,6.0
FLAD,0.05,0.075,0,6.0
FLAD,0.05,0.09,0,6.0
FLAD,0.05,0.105,0,6.0
FLAD,0.05,0.12,1.00,6.0
FLAD,0.05,0.135,1.00,6.0
FLAD,0.05,0.15,1.00,6.0
FLAD,0.05,0.165,1.00,6.0
FLAD,0.05,0.18,1.00,6.0
FLAD,0.05,0.195,1.00,6.0
FLAD,0.05,0.21,1.00,6.0
FLAD,0.05,0.225,1.00,6.0
FLAD,0.05,0.24,1.00,6.0
FLAD,0.05,0.255,1.00,6.0
FLAD,0.05,0.27,1.00,6.0
FLAD,0.05,0.285,1.00,6.0
FLAD,0.05,0.3,1.00,6.0
FLAD,0.1,0.0,0,6.0
FLAD,0.1,0.015,0,6.0
FLAD,0.1,0.03,0,6.0
FLAD,0.1,0.045,0,6.0
FLAD,0.1,0.06,0,6.0
FLAD,0.1,0.075,0,6.0
FLAD,0.1,0.09,0,6.0
FLAD,0.1,0.105,1.00,6.0
FLAD,0.1,0.12,1.00,6.0
FLAD,0.1,0.135,1.00,6.0
