drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve,generation_to_suppression
0.0,0.0,10.0,concave,NAN
0.0,0.125,10.0,concave,NAN
0.0,0.25,10.0,concave,NAN
0.0,0.375,10.0,concave,NAN
0.0,0.5,10.0,concave,NAN
0.0,0.625,10.0,concave,NAN
0.0,0.75,10.0,concave,NAN
0.0,0.875,10.0,concave,NAN
0.0,1.0,10.0,concave,NAN
0.0,1.125,10.0,concave,NAN
0.0,1.25,10.0,concave,NAN
0.0,1.375,10.0,concave,NAN
0.0,1.5,10.0,concave,NAN
0.0,1.625,10.0,concave,NAN
0.0,1.75,10.0,concave,NAN
0.0,1.875,10.0,concave,NAN
0.0,2.0,10.0,concave,NAN
0.0,2.125,10.0,concave,NAN
0.0,2.25,10.0,concave,NAN
0.0,2.375,10.0,concave,NAN
0.0,2.5,10.0,concave,NAN
0.05,0.0,10.0,concave,NAN
0.05,0.125,10.0,concave,NAN
0.05,0.25,10.0,concave,NAN
0.05,0.375,10.0,concave,NAN
0.05,0.5,10.0,concave,NAN
0.05,0.625,10.0,concave,NAN
0.05,0.75,10.0,concave,NAN
0.05,0.875,10.0,concave,NAN
0.05,1.0,10.0,concave,NAN
0.05,1.125,10.0,concave,NAN
0.05,1.25,10.0,concave,NAN
0.05,1.375,10.0,concave,NAN
0.05,1.5,10.0,concave,NAN
0.05,1.625,10.0,concave,NAN
0.05,1.75,10.0,concave,NAN
0.05,1.875,10.0,concave,NAN
0.05,2.0,10.0,concave,NAN
0.05,2.125,10.0,concave,NAN
0.05,2.25,10.0,concave,NAN
0.05,2.375,10.0,concave,NAN
0.05,2.5,10.0,concave,215.100
0.1,0.0,10.0,concave,NAN
0.1,0.125,10.0,concave,NAN
0.1,0.25,10.0,concave,NAN
0.1,0.375,10.0,concave,NAN
0.1,0.5,10.0,concave,NAN
0.1,0.625,10.0,concave,NAN
0.1,0.75,10.0,concave,NAN
0.1,0.875,10.0,concave,NAN
0.1,1.0,10.0,concave,NAN
0.1,1.125,10.0,concave,NAN
0.1,1.25,10.0,concave,NAN
0.1,1.375,10.0,concave,NAN
0.1,1.5,10.0,concave,NAN
0.1,1.625,10.0,concave,NAN
0.1,1.75,10.0,concave,NAN
0.1,1.875,10.0,concave,NAN
0.1,2.0,10.0,concave,NAN
0.1,2.125,10.0,concave,NAN
0.1,2.25,10.0,concave,NAN
0.1,2.375,10.0,concave,208.850
0.1,2.5,10.0,concave,148.300
0.15,0.0,10.0,concave,NAN
0.15,0.125,10.0,concave,NAN
0.15,0.25,10.0,concave,NAN
0.15,0.375,10.0,concave,NAN
0.15,0.5,10.0,concave,NAN
0.15,0.625,10.0,concave,NAN
0.15,0.75,10.0,concave,NAN
0.15,0.875,10.0,concave,NAN
0.15,1.0,10.0,concave,NAN
0.15,1.125,10.0,concave,NAN
0.15,1.25,10.0,concave,NAN
0.15,1.375,10.0,concave,NAN
0.15,1.5,10.0,concave,NAN
0.15,1.625,10.0,concave,NAN
0.15,1.75,10.0,concave,NAN
0.15,1.875,10.0,concave,NAN
0.15,2.0,10.0,concave,NAN
0.15,2.125,10.0,concave,NAN
0.15,2.25,10.0,concave,206.400
0.15,2.375,10.0,concave,146.450
0.15,2.5,10.0,concave,118.600
0.2,0.0,10.0,concave,NAN
0.2,0.125,10.0,concave,NAN
0.2,0.25,10.0,concave,NAN
0.2,0.375,10.0,concave,NAN
0.2,0.5,10.0,concave,NAN
0.2,0.625,10.0,concave,NAN
0.2,0.75,10.0,concave,NAN
0.2,0.875,10.0,concave,NAN
0.2,1.0,10.0,concave,NAN
0.2,1.125,10.0,concave,NAN
0.2,1.25,10.0,concave,NAN
0.2,1.375,10.0,concave,NAN
0.2,1.5,10.0,concave,NAN
0.2,1.625,10.0,concave,NAN
0.2,1.75,10.0,concave,NAN
0.2,1.875,10.0,concave,NAN
0.2,2.0,10.0,concave,NAN
0.2,2.125,10.0,concave,196.400
0.2,2.25,10.0,concave,144.100
0.2,2.375,10.0,concave,119.100
0.2,2.5,10.0,concave,103.100
0.25,0.0,10.0,concave,NAN
0.25,0.125,10.0,concave,NAN
0.25,0.25,10.0,concave,NAN
0.25,0.375,10.0,concave,NAN
0.25,0.5,10.0,concave,NAN
0.25,0.625,10.0,concave,NAN
0.25,0.75,10.0,concave,NAN
0.25,0.875,10.0,concave,NAN
0.25,1.0,10.0,concave,NAN
0.25,1.125,10.0,concave,NAN
0.25,1.25,10.0,concave,NAN
0.25,1.375,10.0,concave,NAN
0.25,1.5,10.0,concave,NAN
0.25,1.625,10.0,concave,NAN
0.25,1.75,10.0,concave,NAN
0.25,1.875,10.0,concave,NAN
0.25,2.0,10.0,concave,193.900
0.25,2.125,10.0,concave,140.100
0.25,2.25,10.0,concave,117.800
0.25,2.375,10.0,concave,99.500
0.25,2.5,10.0,concave,91.900
0.3,0.0,10.0,concave,NAN
0.3,0.125,10.0,concave,NAN
0.3,0.25,10.0,concave,NAN
0.3,0.375,10.0,concave,NAN
0.3,0.5,10.0,concave,NAN
0.3,0.625,10.0,concave,NAN
0.3,0.75,10.0,concave,NAN
0.3,0.875,10.0,concave,NAN
0.3,1.0,10.0,concave,NAN
0.3,1.125,10.0,concave,NAN
0.3,1.25,10.0,concave,NAN
0.3,1.375,10.0,concave,NAN
0.3,1.5,10.0,concave,NAN
0.3,1.625,10.0,concave,NAN
0.3,1.75,10.0,concave,NAN
0.3,1.875,10.0,concave,194.900
0.3,2.0,10.0,concave,140.800
0.3,2.125,10.0,concave,112.350
0.3,2.25,10.0,concave,99.000
0.3,2.375,10.0,concave,90.850
0.3,2.5,10.0,concave,82.900
0.35,0.0,10.0,concave,NAN
0.35,0.125,10.0,concave,NAN
0.35,0.25,10.0,concave,NAN
0.35,0.375,10.0,concave,NAN
0.35,0.5,10.0,concave,NAN
0.35,0.625,10.0,concave,NAN
0.35,0.75,10.0,concave,NAN
0.35,0.875,10.0,concave,NAN
0.35,1.0,10.0,concave,NAN
0.35,1.125,10.0,concave,NAN
0.35,1.25,10.0,concave,NAN
0.35,1.375,10.0,concave,NAN
0.35,1.5,10.0,concave,NAN
0.35,1.625,10.0,concave,NAN
0.35,1.75,10.0,concave,192.750
0.35,1.875,10.0,concave,135.450
0.35,2.0,10.0,concave,111.750
0.35,2.125,10.0,concave,97.650
0.35,2.25,10.0,concave,88.350
0.35,2.375,10.0,concave,81.000
0.35,2.5,10.0,concave,76.200
0.4,0.0,10.0,concave,NAN
0.4,0.125,10.0,concave,NAN
0.4,0.25,10.0,concave,NAN
0.4,0.375,10.0,concave,NAN
0.4,0.5,10.0,concave,NAN
0.4,0.625,10.0,concave,NAN
0.4,0.75,10.0,concave,NAN
0.4,0.875,10.0,concave,NAN
0.4,1.0,10.0,concave,NAN
0.4,1.125,10.0,concave,NAN
0.4,1.25,10.0,concave,NAN
0.4,1.375,10.0,concave,NAN
0.4,1.5,10.0,concave,NAN
0.4,1.625,10.0,concave,185.700
0.4,1.75,10.0,concave,132.800
0.4,1.875,10.0,concave,108.300
0.4,2.0,10.0,concave,95.600
0.4,2.125,10.0,concave,86.650
0.4,2.25,10.0,concave,80.400
0.4,2.375,10.0,concave,74.150
0.4,2.5,10.0,concave,70.200
0.45,0.0,10.0,concave,NAN
0.45,0.125,10.0,concave,NAN
0.45,0.25,10.0,concave,NAN
0.45,0.375,10.0,concave,NAN
0.45,0.5,10.0,concave,NAN
0.45,0.625,10.0,concave,NAN
0.45,0.75,10.0,concave,NAN
0.45,0.875,10.0,concave,NAN
0.45,1.0,10.0,concave,NAN
0.45,1.125,10.0,concave,NAN
0.45,1.25,10.0,concave,NAN
0.45,1.375,10.0,concave,NAN
0.45,1.5,10.0,concave,182.350
0.45,1.625,10.0,concave,130.250
0.45,1.75,10.0,concave,107.950
0.45,1.875,10.0,concave,94.750
0.45,2.0,10.0,concave,85.500
0.45,2.125,10.0,concave,77.800
0.45,2.25,10.0,concave,74.850
0.45,2.375,10.0,concave,69.900
0.45,2.5,10.0,concave,65.900
0.5,0.0,10.0,concave,NAN
0.5,0.125,10.0,concave,NAN
0.5,0.25,10.0,concave,NAN
0.5,0.375,10.0,concave,NAN
0.5,0.5,10.0,concave,NAN
0.5,0.625,10.0,concave,NAN
0.5,0.75,10.0,concave,NAN
0.5,0.875,10.0,concave,NAN
0.5,1.0,10.0,concave,NAN
0.5,1.125,10.0,concave,NAN
0.5,1.25,10.0,concave,NAN
0.5,1.375,10.0,concave,179.650
0.5,1.5,10.0,concave,126.400
0.5,1.625,10.0,concave,105.450
0.5,1.75,10.0,concave,91.300
0.5,1.875,10.0,concave,82.450
0.5,2.0,10.0,concave,76.700
0.5,2.125,10.0,concave,71.950
0.5,2.25,10.0,concave,67.450
0.5,2.375,10.0,concave,64.350
0.5,2.5,10.0,concave,61.700
0.55,0.0,10.0,concave,NAN
0.55,0.125,10.0,concave,NAN
0.55,0.25,10.0,concave,NAN
0.55,0.375,10.0,concave,NAN
0.55,0.5,10.0,concave,NAN
0.55,0.625,10.0,concave,NAN
0.55,0.75,10.0,concave,NAN
0.55,0.875,10.0,concave,NAN
0.55,1.0,10.0,concave,NAN
0.55,1.125,10.0,concave,NAN
0.55,1.25,10.0,concave,176.700
0.55,1.375,10.0,concave,122.750
0.55,1.5,10.0,concave,102.300
0.55,1.625,10.0,concave,90.800
0.55,1.75,10.0,concave,80.300
0.55,1.875,10.0,concave,74.950
0.55,2.0,10.0,concave,70.650
0.55,2.125,10.0,concave,66.900
0.55,2.25,10.0,concave,63.250
0.55,2.375,10.0,concave,59.650
0.55,2.5,10.0,concave,58.500
0.6,0.0,10.0,concave,NAN
0.6,0.125,10.0,concave,NAN
0.6,0.25,10.0,concave,NAN
0.6,0.375,10.0,concave,NAN
0.6,0.5,10.0,concave,NAN
0.6,0.625,10.0,concave,NAN
0.6,0.75,10.0,concave,NAN
0.6,0.875,10.0,concave,NAN
0.6,1.0,10.0,concave,NAN
0.6,1.125,10.0,concave,170.600
0.6,1.25,10.0,concave,122.950
0.6,1.375,10.0,concave,100.350
0.6,1.5,10.0,concave,88.200
0.6,1.625,10.0,concave,79.600
0.6,1.75,10.0,concave,73.800
0.6,1.875,10.0,concave,68.750
0.6,2.0,10.0,concave,64.100
0.6,2.125,10.0,concave,61.400
0.6,2.25,10.0,concave,59.550
0.6,2.375,10.0,concave,56.850
0.6,2.5,10.0,concave,54.400
0.65,0.0,10.0,concave,NAN
0.65,0.125,10.0,concave,NAN
0.65,0.25,10.0,concave,NAN
0.65,0.375,10.0,concave,NAN
0.65,0.5,10.0,concave,NAN
0.65,0.625,10.0,concave,NAN
0.65,0.75,10.0,concave,NAN
0.65,0.875,10.0,concave,NAN
0.65,1.0,10.0,concave,169.350
0.65,1.125,10.0,concave,119.500
0.65,1.25,10.0,concave,99.100
0.65,1.375,10.0,concave,86.900
0.65,1.5,10.0,concave,77.850
0.65,1.625,10.0,concave,71.800
0.65,1.75,10.0,concave,67.100
0.65,1.875,10.0,concave,63.600
0.65,2.0,10.0,concave,59.500
0.65,2.125,10.0,concave,57.650
0.65,2.25,10.0,concave,56.250
0.65,2.375,10.0,concave,53.400
0.65,2.5,10.0,concave,51.650
0.7,0.0,10.0,concave,NAN
0.7,0.125,10.0,concave,NAN
0.7,0.25,10.0,concave,NAN
0.7,0.375,10.0,concave,NAN
0.7,0.5,10.0,concave,NAN
0.7,0.625,10.0,concave,NAN
0.7,0.75,10.0,concave,NAN
0.7,0.875,10.0,concave,163.350
0.7,1.0,10.0,concave,117.250
0.7,1.125,10.0,concave,95.300
0.7,1.25,10.0,concave,85.150
0.7,1.375,10.0,concave,75.350
0.7,1.5,10.0,concave,69.550
0.7,1.625,10.0,concave,65.000
0.7,1.75,10.0,concave,62.300
0.7,1.875,10.0,concave,59.300
0.7,2.0,10.0,concave,56.150
0.7,2.125,10.0,concave,53.950
0.7,2.25,10.0,concave,52.900
0.7,2.375,10.0,concave,50.500
0.7,2.5,10.0,concave,48.650
0.75,0.0,10.0,concave,NAN
0.75,0.125,10.0,concave,NAN
0.75,0.25,10.0,concave,NAN
0.75,0.375,10.0,concave,NAN
0.75,0.5,10.0,concave,NAN
0.75,0.625,10.0,concave,NAN
0.75,0.75,10.0,concave,160.350
0.75,0.875,10.0,concave,114.200
