drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve,suppression_rate
0.0,0.0,10.0,concave,0
0.0,0.125,10.0,concave,0
0.0,0.25,10.0,concave,0
0.0,0.375,10.0,concave,0
0.0,0.5,10.0,concave,0
0.0,0.625,10.0,concave,0
0.0,0.75,10.0,concave,0
0.0,0.875,10.0,concave,0
0.0,1.0,10.0,concave,0
0.0,1.125,10.0,concave,0
0.0,1.25,10.0,concave,0
0.0,1.375,10.0,concave,0
0.0,1.5,10.0,concave,0
0.0,1.625,10.0,concave,0
0.0,1.75,10.0,concave,0
0.0,1.875,10.0,concave,0
0.0,2.0,10.0,concave,0
0.0,2.125,10.0,concave,0
0.0,2.25,10.0,concave,0
0.0,2.375,10.0,concave,0
0.0,2.5,10.0,concave,0
0.05,0.0,10.0,concave,0
0.05,0.125,10.0,concave,0
0.05,0.25,10.0,concave,0
0.05,0.375,10.0,concave,0
0.05,0.5,10.0,concave,0
0.05,0.625,10.0,concave,0
0.05,0.75,10.0,concave,0
0.05,0.875,10.0,concave,0
0.05,1.0,10.0,concave,0
0.05,1.125,10.0,concave,0
0.05,1.25,10.0,concave,0
0.05,1.375,10.0,concave,0
0.05,1.5,10.0,concave,0
0.05,1.625,10.0,concave,0
0.05,1.75,10.0,concave,0
0.05,1.875,10.0,concave,0
0.05,2.0,10.0,concave,0
0.05,2.125,10.0,concave,0
0.05,2.25,10.0,concave,0
0.05,2.375,10.0,concave,0
0.05,2.5,10.0,concave,1.00
0.1,0.0,10.0,concave,0
0.1,0.125,10.0,concave,0
0.1,0.25,10.0,concave,0
0.1,0.375,10.0,concave,0
0.1,0.5,10.0,concave,0
0.1,0.625,10.0,concave,0
0.1,0.75,10.0,concave,0
0.1,0.875,10.0,concave,0
0.1,1.0,10.0,concave,0
0.1,1.125,10.0,concave,0
0.1,1.25,10.0,concave,0
0.1,1.375,10.0,concave,0
0.1,1.5,10.0,concave,0
0.1,1.625,10.0,concave,0
0.1,1.75,10.0,concave,0
0.1,1.875,10.0,concave,0
0.1,2.0,10.0,concave,0
0.1,2.125,10.0,concave,0
0.1,2.25,10.0,concave,0
0.1,2.375,10.0,concave,1.00
0.1,2.5,10.0,concave,1.00
