drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,generation_to_suppression
1,0.0,0.5,10.0,linear,NAN
1,0.0,0.5,11.0,linear,NAN
1,0.0,0.5,12.0,linear,NAN
1,0.0,0.5,13.0,linear,NAN
1,0.0,0.5,14.0,linear,NAN
1,0.0,0.5,15.0,linear,NAN
1,0.0,0.5,16.0,linear,NAN
1,0.0,0.5,2.0,linear,NAN
1,0.0,0.5,3.0,linear,NAN
1,0.0,0.5,4.0,linear,NAN
1,0.0,0.5,5.0,linear,NAN
1,0.0,0.5,6.0,linear,NAN
1,0.0,0.5,7.0,linear,NAN
1,0.0,0.5,8.0,linear,NAN
1,0.0,0.5,9.0,linear,NAN
1,1.0,0.5,10.0,linear,NAN
1,1.0,0.5,11.0,linear,NAN
1,1.0,0.5,12.0,linear,NAN
1,1.0,0.5,13.0,linear,NAN
1,1.0,0.5,14.0,linear,NAN
1,1.0,0.5,15.0,linear,NAN
1,1.0,0.5,16.0,linear,NAN
1,1.0,0.5,2.0,linear,51.700
1,1.0,0.5,3.0,linear,95.200
1,1.0,0.5,4.0,linear,NAN
1,1.0,0.5,5.0,linear,NAN
1,1.0,0.5,6.0,linear,NAN
1,1.0,0.5,7.0,linear,NAN
1,1.0,0.5,8.0,linear,NAN
1,1.0,0.5,9.0,linear,NAN
1,10.0,0.5,10.0,linear,60.250
1,10.0,0.5,11.0,linear,79.150
1,10.0,0.5,12.0,linear,140.350
1,10.0,0.5,13.0,linear,NAN
1,10.0,0.5,14.0,linear,NAN
1,10.0,0.5,15.0,linear,NAN
1,10.0,0.5,16.0,linear,NAN
1,10.0,0.5,2.0,linear,25.200
1,10.0,0.5,3.0,linear,27.650
1,10.0,0.5,4.0,linear,29.950
1,10.0,0.5,5.0,linear,32.750
1,10.0,0.5,6.0,linear,36.500
1,10.0,0.5,7.0,linear,39.800
1,10.0,0.5,8.0,linear,44.750
1,10.0,0.5,9.0,linear,50.600
1,11.0,0.5,10.0,linear,54.250
1,11.0,0.5,11.0,linear,65.800
1,11.0,0.5,12.0,linear,88.650
1,11.0,0.5,13.0,linear,209.400
1,11.0,0.5,14.0,linear,NAN
1,11.0,0.5,15.0,linear,NAN
1,11.0,0.5,16.0,linear,NAN
1,11.0,0.5,2.0,linear,24.850
1,11.0,0.5,3.0,linear,27.350
1,11.0,0.5,4.0,linear,29.500
1,11.0,0.5,5.0,linear,32.000
1,11.0,0.5,6.0,linear,34.400
1,11.0,0.5,7.0,linear,37.700
1,11.0,0.5,8.0,linear,42.100
1,11.0,0.5,9.0,linear,47.350
1,12.0,0.5,10.0,linear,50.350
1,12.0,0.5,11.0,linear,57.900
1,12.0,0.5,12.0,linear,70.450
1,12.0,0.5,13.0,linear,98.950
1,12.0,0.5,14.0,linear,NAN
1,12.0,0.5,15.0,linear,NAN
1,12.0,0.5,16.0,linear,NAN
1,12.0,0.5,2.0,linear,24.600
1,12.0,0.5,3.0,linear,26.200
1,12.0,0.5,4.0,linear,28.350
1,12.0,0.5,5.0,linear,30.850
1,12.0,0.5,6.0,linear,33.800
1,12.0,0.5,7.0,linear,36.250
1,12.0,0.5,8.0,linear,39.950
1,12.0,0.5,9.0,linear,44.100
1,13.0,0.5,10.0,linear,46.600
1,13.0,0.5,11.0,linear,52.650
1,13.0,0.5,12.0,linear,62.150
1,13.0,0.5,13.0,linear,77.900
1,13.0,0.5,14.0,linear,117.850
1,13.0,0.5,15.0,linear,NAN
1,13.0,0.5,16.0,linear,NAN
1,13.0,0.5,2.0,linear,24.100
1,13.0,0.5,3.0,linear,26.050
1,13.0,0.5,4.0,linear,28.400
1,13.0,0.5,5.0,linear,30.600
1,13.0,0.5,6.0,linear,32.850
1,13.0,0.5,7.0,linear,34.900
1,13.0,0.5,8.0,linear,38.300
1,13.0,0.5,9.0,linear,42.100
1,14.0,0.5,10.0,linear,45.400
1,14.0,0.5,11.0,linear,50.050
1,14.0,0.5,12.0,linear,57.550
1,14.0,0.5,13.0,linear,67.050
1,14.0,0.5,14.0,linear,86.100
1,14.0,0.5,15.0,linear,154.850
1,14.0,0.5,16.0,linear,NAN
1,14.0,0.5,2.0,linear,23.450
1,14.0,0.5,3.0,linear,26.050
1,14.0,0.5,4.0,linear,28.100
1,14.0,0.5,5.0,linear,30.100
1,14.0,0.5,6.0,linear,32.600
1,14.0,0.5,7.0,linear,35.050
1,14.0,0.5,8.0,linear,36.900
1,14.0,0.5,9.0,linear,39.800
1,15.0,0.5,10.0,linear,42.600
1,15.0,0.5,11.0,linear,46.250
1,15.0,0.5,12.0,linear,52.700
1,15.0,0.5,13.0,linear,60.300
1,15.0,0.5,14.0,linear,72.500
1,15.0,0.5,15.0,linear,96.750
1,15.0,0.5,16.0,linear,258.230
1,15.0,0.5,2.0,linear,24.100
1,15.0,0.5,3.0,linear,25.900
1,15.0,0.5,4.0,linear,27.800
1,15.0,0.5,5.0,linear,29.300
1,15.0,0.5,6.0,linear,30.750
1,15.0,0.5,7.0,linear,34.100
1,15.0,0.5,8.0,linear,35.900
1,15.0,0.5,9.0,linear,38.800
1,16.0,0.5,10.0,linear,40.700
1,16.0,0.5,11.0,linear,44.900
1,16.0,0.5,12.0,linear,49.750
1,16.0,0.5,13.0,linear,55.800
1,16.0,0.5,14.0,linear,64.550
1,16.0,0.5,15.0,linear,80.000
1,16.0,0.5,16.0,linear,117.050
1,16.0,0.5,2.0,linear,23.200
1,16.0,0.5,3.0,linear,24.750
1,16.0,0.5,4.0,linear,26.700
1,16.0,0.5,5.0,linear,29.450
1,16.0,0.5,6.0,linear,30.550
1,16.0,0.5,7.0,linear,33.400
1,16.0,0.5,8.0,linear,34.900
1,16.0,0.5,9.0,linear,37.800
1,17.0,0.5,10.0,linear,39.050
1,17.0,0.5,11.0,linear,43.450
1,17.0,0.5,12.0,linear,47.000
1,17.0,0.5,13.0,linear,51.650
1,17.0,0.5,14.0,linear,58.650
1,17.0,0.5,15.0,linear,69.300
1,17.0,0.5,16.0,linear,88.950
1,17.0,0.5,2.0,linear,23.300
1,17.0,0.5,3.0,linear,25.150
1,17.0,0.5,4.0,linear,26.600
1,17.0,0.5,5.0,linear,28.650
1,17.0,0.5,6.0,linear,30.350
1,17.0,0.5,7.0,linear,31.950
1,17.0,0.5,8.0,linear,35.250
1,17.0,0.5,9.0,linear,36.800
1,18.0,0.5,10.0,linear,38.150
1,18.0,0.5,11.0,linear,41.250
1,18.0,0.5,12.0,linear,44.900
1,18.0,0.5,13.0,linear,49.750
1,18.0,0.5,14.0,linear,55.250
1,18.0,0.5,15.0,linear,62.800
1,18.0,0.5,16.0,linear,75.600
1,18.0,0.5,2.0,linear,22.850
1,18.0,0.5,3.0,linear,24.800
1,18.0,0.5,4.0,linear,26.550
1,18.0,0.5,5.0,linear,27.900
1,18.0,0.5,6.0,linear,30.000
1,18.0,0.5,7.0,linear,32.400
1,18.0,0.5,8.0,linear,33.650
1,18.0,0.5,9.0,linear,35.800
1,19.0,0.5,10.0,linear,37.450
1,19.0,0.5,11.0,linear,39.650
1,19.0,0.5,12.0,linear,43.900
1,19.0,0.5,13.0,linear,47.750
1,19.0,0.5,14.0,linear,52.350
1,19.0,0.5,15.0,linear,58.100
1,19.0,0.5,16.0,linear,67.300
1,19.0,0.5,2.0,linear,22.500
1,19.0,0.5,3.0,linear,24.350
1,19.0,0.5,4.0,linear,26.100
1,19.0,0.5,5.0,linear,27.850
1,19.0,0.5,6.0,linear,29.100
1,19.0,0.5,7.0,linear,31.450
1,19.0,0.5,8.0,linear,33.000
1,19.0,0.5,9.0,linear,34.650
1,2.0,0.5,10.0,linear,NAN
1,2.0,0.5,11.0,linear,NAN
1,2.0,0.5,12.0,linear,NAN
1,2.0,0.5,13.0,linear,NAN
1,2.0,0.5,14.0,linear,NAN
1,2.0,0.5,15.0,linear,NAN
1,2.0,0.5,16.0,linear,NAN
1,2.0,0.5,2.0,linear,37.550
1,2.0,0.5,3.0,linear,48.900
1,2.0,0.5,4.0,linear,72.350
1,2.0,0.5,5.0,linear,NAN
1,2.0,0.5,6.0,linear,NAN
1,2.0,0.5,7.0,linear,NAN
1,2.0,0.5,8.0,linear,NAN
1,2.0,0.5,9.0,linear,NAN
1,20.0,0.5,10.0,linear,36.200
1,20.0,0.5,11.0,linear,39.200
1,20.0,0.5,12.0,linear,41.750
1,20.0,0.5,13.0,linear,44.900
1,20.0,0.5,14.0,linear,48.950
1,20.0,0.5,15.0,linear,55.050
1,20.0,0.5,16.0,linear,62.750
1,20.0,0.5,2.0,linear,22.800
1,20.0,0.5,3.0,linear,23.900
1,20.0,0.5,4.0,linear,25.950
1,20.0,0.5,5.0,linear,27.900
1,20.0,0.5,6.0,linear,28.700
1,20.0,0.5,7.0,linear,30.800
1,20.0,0.5,8.0,linear,33.200
1,20.0,0.5,9.0,linear,34.400
1,3.0,0.5,10.0,linear,NAN
1,3.0,0.5,11.0,linear,NAN
1,3.0,0.5,12.0,linear,NAN
1,3.0,0.5,13.0,linear,NAN
1,3.0,0.5,14.0,linear,NAN
1,3.0,0.5,15.0,linear,NAN
1,3.0,0.5,16.0,linear,NAN
1,3.0,0.5,2.0,linear,33.250
1,3.0,0.5,3.0,linear,40.250
1,3.0,0.5,4.0,linear,49.850
1,3.0,0.5,5.0,linear,69.550
1,3.0,0.5,6.0,linear,209.350
1,3.0,0.5,7.0,linear,NAN
1,3.0,0.5,8.0,linear,NAN
1,3.0,0.5,9.0,linear,NAN
1,4.0,0.5,10.0,linear,NAN
1,4.0,0.5,11.0,linear,NAN
1,4.0,0.5,12.0,linear,NAN
1,4.0,0.5,13.0,linear,NAN
1,4.0,0.5,14.0,linear,NAN
1,4.0,0.5,15.0,linear,NAN
1,4.0,0.5,16.0,linear,NAN
1,4.0,0.5,2.0,linear,30.900
1,4.0,0.5,3.0,linear,35.500
1,4.0,0.5,4.0,linear,42.450
1,4.0,0.5,5.0,linear,52.500
1,4.0,0.5,6.0,linear,70.550
1,4.0,0.5,7.0,linear,173.100
1,4.0,0.5,8.0,linear,NAN
1,4.0,0.5,9.0,linear,NAN
1,5.0,0.5,10.0,linear,NAN
1,5.0,0.5,11.0,linear,NAN
1,5.0,0.5,12.0,linear,NAN
1,5.0,0.5,13.0,linear,NAN
1,5.0,0.5,14.0,linear,NAN
1,5.0,0.5,15.0,linear,NAN
1,5.0,0.5,16.0,linear,NAN
1,5.0,0.5,2.0,linear,28.550
1,5.0,0.5,3.0,linear,32.950
1,5.0,0.5,4.0,linear,38.250
1,5.0,0.5,5.0,linear,44.500
1,5.0,0.5,6.0,linear,55.200
1,5.0,0.5,7.0,linear,73.850
1,5.0,0.5,8.0,linear,190.350
1,5.0,0.5,9.0,linear,NAN
1,6.0,0.5,10.0,linear,NAN
1,6.0,0.5,11.0,linear,NAN
1,6.0,0.5,12.0,linear,NAN
1,6.0,0.5,13.0,linear,NAN
1,6.0,0.5,14.0,linear,NAN
1,6.0,0.5,15.0,linear,NAN
1,6.0,0.5,16.0,linear,NAN
1,6.0,0.5,2.0,linear,27.900
1,6.0,0.5,3.0,linear,31.350
1,6.0,0.5,4.0,linear,35.200
1,6.0,0.5,5.0,linear,39.900
1,6.0,0.5,6.0,linear,47.550
1,6.0,0.5,7.0,linear,57.500
1,6.0,0.5,8.0,linear,78.700
1,6.0,0.5,9.0,linear,260.888
1,7.0,0.5,10.0,linear,NAN
1,7.0,0.5,11.0,linear,NAN
1,7.0,0.5,12.0,linear,NAN
1,7.0,0.5,13.0,linear,NAN
1,7.0,0.5,14.0,linear,NAN
1,7.0,0.5,15.0,linear,NAN
1,7.0,0.5,16.0,linear,NAN
1,7.0,0.5,2.0,linear,27.150
1,7.0,0.5,3.0,linear,29.700
1,7.0,0.5,4.0,linear,33.450
1,7.0,0.5,5.0,linear,38.250
1,7.0,0.5,6.0,linear,43.300
1,7.0,0.5,7.0,linear,49.900
1,7.0,0.5,8.0,linear,61.450
1,7.0,0.5,9.0,linear,85.750
1,8.0,0.5,10.0,linear,97.000
1,8.0,0.5,11.0,linear,NAN
1,8.0,0.5,12.0,linear,NAN
1,8.0,0.5,13.0,linear,NAN
1,8.0,0.5,14.0,linear,NAN
1,8.0,0.5,15.0,linear,NAN
1,8.0,0.5,16.0,linear,NAN
1,8.0,0.5,2.0,linear,26.200
1,8.0,0.5,3.0,linear,29.300
1,8.0,0.5,4.0,linear,32.300
1,8.0,0.5,5.0,linear,35.500
1,8.0,0.5,6.0,linear,39.900
1,8.0,0.5,7.0,linear,45.900
1,8.0,0.5,8.0,linear,53.550
1,8.0,0.5,9.0,linear,66.100
1,9.0,0.5,10.0,linear,71.100
1,9.0,0.5,11.0,linear,111.700
1,9.0,0.5,12.0,linear,NAN
1,9.0,0.5,13.0,linear,NAN
1,9.0,0.5,14.0,linear,NAN
1,9.0,0.5,15.0,linear,NAN
1,9.0,0.5,16.0,linear,NAN
1,9.0,0.5,2.0,linear,25.600
1,9.0,0.5,3.0,linear,28.400
1,9.0,0.5,4.0,linear,31.000
1,9.0,0.5,5.0,linear,33.700
1,9.0,0.5,6.0,linear,37.300
1,9.0,0.5,7.0,linear,42.350
1,9.0,0.5,8.0,linear,48.000
1,9.0,0.5,9.0,linear,56.850
