drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,suppression_rate
1,0.0,0.5,10.0,linear,0
1,0.0,0.5,11.0,linear,0
1,0.0,0.5,12.0,linear,0
1,0.0,0.5,13.0,linear,0
1,0.0,0.5,14.0,linear,0
1,0.0,0.5,15.0,linear,0
1,0.0,0.5,16.0,linear,0
1,0.0,0.5,2.0,linear,0
1,0.0,0.5,3.0,linear,0
1,0.0,0.5,4.0,linear,0
1,0.0,0.5,5.0,linear,0
1,0.0,0.5,6.0,linear,0
1,0.0,0.5,7.0,linear,0
1,0.0,0.5,8.0,linear,0
1,0.0,0.5,9.0,linear,0
1,1.0,0.5,10.0,linear,0
1,1.0,0.5,11.0,linear,0
1,1.0,0.5,12.0,linear,0
1,1.0,0.5,13.0,linear,0
1,1.0,0.5,14.0,linear,0
1,1.0,0.5,15.0,linear,0
1,1.0,0.5,16.0,linear,0
1,1.0,0.5,2.0,linear,1.00
1,1.0,0.5,3.0,linear,1.00
1,1.0,0.5,4.0,linear,0
1,1.0,0.5,5.0,linear,0
1,1.0,0.5,6.0,linear,0
1,1.0,0.5,7.0,linear,0
1,1.0,0.5,8.0,linear,0
1,1.0,0.5,9.0,linear,0
1,10.0,0.5,10.0,linear,1.00
1,10.0,0.5,11.0,linear,1.00
1,10.0,0.5,12.0,linear,1.00
1,10.0,0.5,13.0,linear,0
1,10.0,0.5,14.0,linear,0
1,10.0,0.5,15.0,linear,0
1,10.0,0.5,16.0,linear,0
1,10.0,0.5,2.0,linear,1.00
1,10.0,0.5,3.0,linear,1.00
1,10.0,0.5,4.0,linear,1.00
1,10.0,0.5,5.0,linear,1.00
1,10.0,0.5,6.0,linear,1.00
1,10.0,0.5,7.0,linear,1.00
1,10.0,0.5,8.0,linear,1.00
1,10.0,0.5,9.0,linear,1.00
1,11.0,0.5,10.0,linear,1.00
1,11.0,0.5,11.0,linear,1.00
1,11.0,0.5,12.0,linear,1.00
1,11.0,0.5,13.0,linear,1.00
1,11.0,0.5,14.0,linear,0
1,11.0,0.5,15.0,linear,0
1,11.0,0.5,16.0,linear,0
1,11.0,0.5,2.0,linear,1.00
1,11.0,0.5,3.0,linear,1.00
1,11.0,0.5,4.0,linear,1.00
1,11.0,0.5,5.0,linear,1.00
1,11.0,0.5,6.0,linear,1.00
1,11.0,0.5,7.0,linear,1.00
1,11.0,0.5,8.0,linear,1.00
1,11.0,0.5,9.0,linear,1.00
1,12.0,0.5,10.0,linear,1.00
1,12.0,0.5,11.0,linear,1.00
1,12.0,0.5,12.0,linear,1.00
1,12.0,0.5,13.0,linear,1.00
1,12.0,0.5,14.0,linear,0
1,12.0,0.5,15.0,linear,0
1,12.0,0.5,16.0,linear,0
1,12.0,0.5,2.0,linear,1.00
1,12.0,0.5,3.0,linear,1.00
1,12.0,0.5,4.0,linear,1.00
1,12.0,0.5,5.0,linear,1.00
1,12.0,0.5,6.0,linear,1.00
1,12.0,0.5,7.0,linear,1.00
1,12.0,0.5,8.0,linear,1.00
1,12.0,0.5,9.0,linear,1.00
1,13.0,0.5,10.0,linear,1.00
1,13.0,0.5,11.0,linear,1.00
1,13.0,0.5,12.0,linear,1.00
1,13.0,0.5,13.0,linear,1.00
1,13.0,0.5,14.0,linear,1.00
1,13.0,0.5,15.0,linear,0
1,13.0,0.5,16.0,linear,0
1,13.0,0.5,2.0,linear,1.00
1,13.0,0.5,3.0,linear,1.00
1,13.0,0.5,4.0,linear,1.00
1,13.0,0.5,5.0,linear,1.00
1,13.0,0.5,6.0,linear,1.00
1,13.0,0.5,7.0,linear,1.00
1,13.0,0.5,8.0,linear,1.00
1,13.0,0.5,9.0,linear,1.00
1,14.0,0.5,10.0,linear,1.00
1,14.0,0.5,11.0,linear,1.00
1,14.0,0.5,12.0,linear,1.00
1,14.0,0.5,13.0,linear,1.00
1,14.0,0.5,14.0,linear,1.00
1,14.0,0.5,15.0,linear,1.00
1,14.0,0.5,16.0,linear,0
1,14.0,0.5,2.0,linear,1.00
1,14.0,0.5,3.0,linear,1.00
1,14.0,0.5,4.0,linear,1.00
1,14.0,0.5,5.0,linear,1.00
1,14.0,0.5,6.0,linear,1.00
1,14.0,0.5,7.0,linear,1.00
1,14.0,0.5,8.0,linear,1.00
1,14.0,0.5,9.0,linear,1.00
1,15.0,0.5,10.0,linear,1.00
1,15.0,0.5,11.0,linear,1.00
1,15.0,0.5,12.0,linear,1.00
1,15.0,0.5,13.0,linear,1.00
1,15.0,0.5,14.0,linear,1.00
1,15.0,0.5,15.0,linear,1.00
1,15.0,0.5,16.0,linear,.65
1,15.0,0.5,2.0,linear,1.00
1,15.0,0.5,3.0,linear,1.00
1,15.0,0.5,4.0,linear,1.00
1,15.0,0.5,5.0,linear,1.00
1,15.0,0.5,6.0,linear,1.00
1,15.0,0.5,7.0,linear,1.00
1,15.0,0.5,8.0,linear,1.00
1,15.0,0.5,9.0,linear,1.00
1,16.0,0.5,10.0,linear,1.00
1,16.0,0.5,11.0,linear,1.00
1,16.0,0.5,12.0,linear,1.00
1,16.0,0.5,13.0,linear,1.00
1,16.0,0.5,14.0,linear,1.00
1,16.0,0.5,15.0,linear,1.00
1,16.0,0.5,16.0,linear,1.00
1,16.0,0.5,2.0,linear,1.00
1,16.0,0.5,3.0,linear,1.00
1,16.0,0.5,4.0,linear,1.00
1,16.0,0.5,5.0,linear,1.00
1,16.0,0.5,6.0,linear,1.00
1,16.0,0.5,7.0,linear,1.00
1,16.0,0.5,8.0,linear,1.00
1,16.0,0.5,9.0,linear,1.00
1,17.0,0.5,10.0,linear,1.00
1,17.0,0.5,11.0,linear,1.00
1,17.0,0.5,12.0,linear,1.00
1,17.0,0.5,13.0,linear,1.00
1,17.0,0.5,14.0,linear,1.00
1,17.0,0.5,15.0,linear,1.00
1,17.0,0.5,16.0,linear,1.00
1,17.0,0.5,2.0,linear,1.00
1,17.0,0.5,3.0,linear,1.00
1,17.0,0.5,4.0,linear,1.00
1,17.0,0.5,5.0,linear,1.00
1,17.0,0.5,6.0,linear,1.00
1,17.0,0.5,7.0,linear,1.00
1,17.0,0.5,8.0,linear,1.00
1,17.0,0.5,9.0,linear,1.00
1,18.0,0.5,10.0,linear,1.00
1,18.0,0.5,11.0,linear,1.00
1,18.0,0.5,12.0,linear,1.00
1,18.0,0.5,13.0,linear,1.00
1,18.0,0.5,14.0,linear,1.00
1,18.0,0.5,15.0,linear,1.00
1,18.0,0.5,16.0,linear,1.00
1,18.0,0.5,2.0,linear,1.00
1,18.0,0.5,3.0,linear,1.00
1,18.0,0.5,4.0,linear,1.00
1,18.0,0.5,5.0,linear,1.00
1,18.0,0.5,6.0,linear,1.00
1,18.0,0.5,7.0,linear,1.00
1,18.0,0.5,8.0,linear,1.00
1,18.0,0.5,9.0,linear,1.00
1,19.0,0.5,10.0,linear,1.00
1,19.0,0.5,11.0,linear,1.00
1,19.0,0.5,12.0,linear,1.00
1,19.0,0.5,13.0,linear,1.00
1,19.0,0.5,14.0,linear,1.00
1,19.0,0.5,15.0,linear,1.00
1,19.0,0.5,16.0,linear,1.00
1,19.0,0.5,2.0,linear,1.00
1,19.0,0.5,3.0,linear,1.00
1,19.0,0.5,4.0,linear,1.00
1,19.0,0.5,5.0,linear,1.00
1,19.0,0.5,6.0,linear,1.00
1,19.0,0.5,7.0,linear,1.00
1,19.0,0.5,8.0,linear,1.00
1,19.0,0.5,9.0,linear,1.00
1,2.0,0.5,10.0,linear,0
1,2.0,0.5,11.0,linear,0
1,2.0,0.5,12.0,linear,0
1,2.0,0.5,13.0,linear,0
1,2.0,0.5,14.0,linear,0
1,2.0,0.5,15.0,linear,0
1,2.0,0.5,16.0,linear,0
1,2.0,0.5,2.0,linear,1.00
1,2.0,0.5,3.0,linear,1.00
1,2.0,0.5,4.0,linear,1.00
1,2.0,0.5,5.0,linear,0
1,2.0,0.5,6.0,linear,0
1,2.0,0.5,7.0,linear,0
1,2.0,0.5,8.0,linear,0
1,2.0,0.5,9.0,linear,0
1,20.0,0.5,10.0,linear,1.00
1,20.0,0.5,11.0,linear,1.00
1,20.0,0.5,12.0,linear,1.00
1,20.0,0.5,13.0,linear,1.00
1,20.0,0.5,14.0,linear,1.00
1,20.0,0.5,15.0,linear,1.00
1,20.0,0.5,16.0,linear,1.00
1,20.0,0.5,2.0,linear,1.00
1,20.0,0.5,3.0,linear,1.00
