drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,generation_to_suppression
0.500,0.0,0.5,6.0,linear,NAN
0.500,0.5,0.5,6.0,linear,NAN
0.500,1.0,0.5,6.0,linear,NAN
0.500,1.5,0.5,6.0,linear,NAN
0.500,10.0,0.5,6.0,linear,51.000
0.500,2.0,0.5,6.0,linear,NAN
0.500,2.5,0.5,6.0,linear,NAN
0.500,3.0,0.5,6.0,linear,NAN
0.500,3.5,0.5,6.0,linear,NAN
0.500,4.0,0.5,6.0,linear,NAN
0.500,4.5,0.5,6.0,linear,NAN
0.500,5.0,0.5,6.0,linear,NAN
0.500,5.5,0.5,6.0,linear,NAN
0.500,6.0,0.5,6.0,linear,207.000
0.500,6.5,0.5,6.0,linear,108.700
0.500,7.0,0.5,6.0,linear,84.300
0.500,7.5,0.5,6.0,linear,72.650
0.500,8.0,0.5,6.0,linear,65.150
0.500,8.5,0.5,6.0,linear,60.600
0.500,9.0,0.5,6.0,linear,55.900
0.500,9.5,0.5,6.0,linear,53.400
0.525,0.0,0.5,6.0,linear,NAN
0.525,0.5,0.5,6.0,linear,NAN
0.525,1.0,0.5,6.0,linear,NAN
0.525,1.5,0.5,6.0,linear,NAN
0.525,10.0,0.5,6.0,linear,49.100
0.525,2.0,0.5,6.0,linear,NAN
0.525,2.5,0.5,6.0,linear,NAN
0.525,3.0,0.5,6.0,linear,NAN
0.525,3.5,0.5,6.0,linear,NAN
0.525,4.0,0.5,6.0,linear,NAN
0.525,4.5,0.5,6.0,linear,NAN
0.525,5.0,0.5,6.0,linear,NAN
0.525,5.5,0.5,6.0,linear,NAN
0.525,6.0,0.5,6.0,linear,127.050
0.525,6.5,0.5,6.0,linear,90.900
0.525,7.0,0.5,6.0,linear,75.550
0.525,7.5,0.5,6.0,linear,67.900
0.525,8.0,0.5,6.0,linear,61.400
0.525,8.5,0.5,6.0,linear,56.950
0.525,9.0,0.5,6.0,linear,54.100
0.525,9.5,0.5,6.0,linear,51.000
0.550,0.0,0.5,6.0,linear,NAN
0.550,0.5,0.5,6.0,linear,NAN
0.550,1.0,0.5,6.0,linear,NAN
0.550,1.5,0.5,6.0,linear,NAN
0.550,10.0,0.5,6.0,linear,47.250
0.550,2.0,0.5,6.0,linear,NAN
0.550,2.5,0.5,6.0,linear,NAN
0.550,3.0,0.5,6.0,linear,NAN
0.550,3.5,0.5,6.0,linear,NAN
0.550,4.0,0.5,6.0,linear,NAN
0.550,4.5,0.5,6.0,linear,NAN
0.550,5.0,0.5,6.0,linear,NAN
0.550,5.5,0.5,6.0,linear,179.800
0.550,6.0,0.5,6.0,linear,101.750
0.550,6.5,0.5,6.0,linear,80.750
0.550,7.0,0.5,6.0,linear,70.450
0.550,7.5,0.5,6.0,linear,62.650
0.550,8.0,0.5,6.0,linear,58.800
0.550,8.5,0.5,6.0,linear,54.400
0.550,9.0,0.5,6.0,linear,51.700
0.550,9.5,0.5,6.0,linear,49.150
0.575,0.0,0.5,6.0,linear,NAN
0.575,0.5,0.5,6.0,linear,NAN
0.575,1.0,0.5,6.0,linear,NAN
0.575,1.5,0.5,6.0,linear,NAN
0.575,10.0,0.5,6.0,linear,46.400
0.575,2.0,0.5,6.0,linear,NAN
0.575,2.5,0.5,6.0,linear,NAN
0.575,3.0,0.5,6.0,linear,NAN
0.575,3.5,0.5,6.0,linear,NAN
0.575,4.0,0.5,6.0,linear,NAN
0.575,4.5,0.5,6.0,linear,NAN
0.575,5.0,0.5,6.0,linear,NAN
0.575,5.5,0.5,6.0,linear,125.750
0.575,6.0,0.5,6.0,linear,89.050
0.575,6.5,0.5,6.0,linear,74.000
0.575,7.0,0.5,6.0,linear,66.000
0.575,7.5,0.5,6.0,linear,60.450
0.575,8.0,0.5,6.0,linear,56.000
0.575,8.5,0.5,6.0,linear,52.700
0.575,9.0,0.5,6.0,linear,49.650
0.575,9.5,0.5,6.0,linear,48.900
0.600,0.0,0.5,6.0,linear,NAN
0.600,0.5,0.5,6.0,linear,NAN
0.600,1.0,0.5,6.0,linear,NAN
0.600,1.5,0.5,6.0,linear,NAN
