resistance_rate,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,generation_to_suppression,type
0.000,0.5,0.5,6.0,linear,NAN,haplolethal
0.000,0.65,0.5,6.0,linear,NAN,haplolethal
0.000,0.8,0.5,6.0,linear,NAN,haplolethal
0.000,0.95,0.5,6.0,linear,NAN,haplolethal
0.000,1.1,0.5,6.0,linear,NAN,haplolethal
0.000,1.25,0.5,6.0,linear,NAN,haplolethal
0.000,1.4,0.5,6.0,linear,NAN,haplolethal
0.000,1.55,0.5,6.0,linear,NAN,haplolethal
0.000,1.7,0.5,6.0,linear,NAN,haplolethal
0.000,1.85,0.5,6.0,linear,NAN,haplolethal
0.000,2.0,0.5,6.0,linear,NAN,haplolethal
0.000,2.15,0.5,6.0,linear,NAN,haplolethal
0.000,2.3,0.5,6.0,linear,NAN,haplolethal
0.000,2.45,0.5,6.0,linear,NAN,haplolethal
0.000,2.6,0.5,6.0,linear,NAN,haplolethal
0.000,2.75,0.5,6.0,linear,NAN,haplolethal
0.000,2.9,0.5,6.0,linear,NAN,haplolethal
0.000,3.05,0.5,6.0,linear,175.950,haplolethal
0.000,3.2,0.5,6.0,linear,125.500,haplolethal
0.000,3.35,0.5,6.0,linear,104.300,haplolethal
0.000,3.5,0.5,6.0,linear,91.200,haplolethal
0.025,0.5,0.5,6.0,linear,NAN,haplolethal
0.025,0.65,0.5,6.0,linear,NAN,haplolethal
0.025,0.8,0.5,6.0,linear,NAN,haplolethal
0.025,0.95,0.5,6.0,linear,NAN,haplolethal
0.025,1.1,0.5,6.0,linear,NAN,haplolethal
0.025,1.25,0.5,6.0,linear,NAN,haplolethal
0.025,1.4,0.5,6.0,linear,NAN,haplolethal
0.025,1.55,0.5,6.0,linear,NAN,haplolethal
0.025,1.7,0.5,6.0,linear,NAN,haplolethal
0.025,1.85,0.5,6.0,linear,NAN,haplolethal
0.025,2.0,0.5,6.0,linear,NAN,haplolethal
0.025,2.15,0.5,6.0,linear,NAN,haplolethal
0.025,2.3,0.5,6.0,linear,NAN,haplolethal
0.025,2.45,0.5,6.0,linear,NAN,haplolethal
0.025,2.6,0.5,6.0,linear,NAN,haplolethal
0.025,2.75,0.5,6.0,linear,NAN,haplolethal
0.025,2.9,0.5,6.0,linear,181.800,haplolethal
0.025,3.05,0.5,6.0,linear,127.150,haplolethal
0.025,3.2,0.5,6.0,linear,105.050,haplolethal
0.025,3.35,0.5,6.0,linear,93.000,haplolethal
0.025,3.5,0.5,6.0,linear,84.350,haplolethal
0.050,0.5,0.5,6.0,linear,NAN,haplolethal
0.050,0.65,0.5,6.0,linear,NAN,haplolethal
0.050,0.8,0.5,6.0,linear,NAN,haplolethal
0.050,0.95,0.5,6.0,linear,NAN,haplolethal
0.050,1.1,0.5,6.0,linear,NAN,haplolethal
0.050,1.25,0.5,6.0,linear,NAN,haplolethal
0.050,1.4,0.5,6.0,linear,NAN,haplolethal
0.050,1.55,0.5,6.0,linear,NAN,haplolethal
0.050,1.7,0.5,6.0,linear,NAN,haplolethal
0.050,1.85,0.5,6.0,linear,NAN,haplolethal
0.050,2.0,0.5,6.0,linear,NAN,haplolethal
0.050,2.15,0.5,6.0,linear,NAN,haplolethal
0.050,2.3,0.5,6.0,linear,NAN,haplolethal
0.050,2.45,0.5,6.0,linear,NAN,haplolethal
0.050,2.6,0.5,6.0,linear,NAN,haplolethal
0.050,2.75,0.5,6.0,linear,202.050,haplolethal
0.050,2.9,0.5,6.0,linear,131.200,haplolethal
0.050,3.05,0.5,6.0,linear,106.150,haplolethal
0.050,3.2,0.5,6.0,linear,93.550,haplolethal
0.050,3.35,0.5,6.0,linear,83.400,haplolethal
0.050,3.5,0.5,6.0,linear,77.750,haplolethal
0.075,0.5,0.5,6.0,linear,NAN,haplolethal
0.075,0.65,0.5,6.0,linear,NAN,haplolethal
0.075,0.8,0.5,6.0,linear,NAN,haplolethal
