drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,suppression_rate
1,0.0,0.0,10.0,linear,NAN
1,0.0,0.0,11.0,linear,NAN
1,0.0,0.0,12.0,linear,NAN
1,0.0,0.0,13.0,linear,NAN
1,0.0,0.0,14.0,linear,NAN
1,0.0,0.0,15.0,linear,NAN
1,0.0,0.0,16.0,linear,NAN
1,0.0,0.0,2.0,linear,NAN
1,0.0,0.0,3.0,linear,NAN
1,0.0,0.0,4.0,linear,NAN
1,0.0,0.0,5.0,linear,NAN
1,0.0,0.0,6.0,linear,NAN
1,0.0,0.0,7.0,linear,NAN
1,0.0,0.0,8.0,linear,NAN
1,0.0,0.0,9.0,linear,NAN
1,10.0,0.0,10.0,linear,NAN
1,10.0,0.0,11.0,linear,NAN
1,10.0,0.0,12.0,linear,NAN
1,10.0,0.0,13.0,linear,NAN
1,10.0,0.0,14.0,linear,NAN
1,10.0,0.0,15.0,linear,NAN
1,10.0,0.0,16.0,linear,NAN
1,10.0,0.0,2.0,linear,27.050
1,10.0,0.0,3.0,linear,30.100
1,10.0,0.0,4.0,linear,33.800
1,10.0,0.0,5.0,linear,39.150
1,10.0,0.0,6.0,linear,47.250
1,10.0,0.0,7.0,linear,62.850
1,10.0,0.0,8.0,linear,167.550
1,10.0,0.0,9.0,linear,NAN
1,12.0,0.0,10.0,linear,NAN
1,12.0,0.0,11.0,linear,NAN
1,12.0,0.0,12.0,linear,NAN
1,12.0,0.0,13.0,linear,NAN
1,12.0,0.0,14.0,linear,NAN
1,12.0,0.0,15.0,linear,NAN
1,12.0,0.0,16.0,linear,NAN
1,12.0,0.0,2.0,linear,25.550
1,12.0,0.0,3.0,linear,29.050
1,12.0,0.0,4.0,linear,31.950
1,12.0,0.0,5.0,linear,36.050
1,12.0,0.0,6.0,linear,41.800
1,12.0,0.0,7.0,linear,50.850
1,12.0,0.0,8.0,linear,66.800
1,12.0,0.0,9.0,linear,237.600
1,14.0,0.0,10.0,linear,NAN
1,14.0,0.0,11.0,linear,NAN
1,14.0,0.0,12.0,linear,NAN
1,14.0,0.0,13.0,linear,NAN
1,14.0,0.0,14.0,linear,NAN
1,14.0,0.0,15.0,linear,NAN
1,14.0,0.0,16.0,linear,NAN
1,14.0,0.0,2.0,linear,25.000
1,14.0,0.0,3.0,linear,28.250
1,14.0,0.0,4.0,linear,30.350
1,14.0,0.0,5.0,linear,34.000
1,14.0,0.0,6.0,linear,37.600
1,14.0,0.0,7.0,linear,44.150
1,14.0,0.0,8.0,linear,54.000
1,14.0,0.0,9.0,linear,74.800
1,16.0,0.0,10.0,linear,83.650
1,16.0,0.0,11.0,linear,NAN
1,16.0,0.0,12.0,linear,NAN
1,16.0,0.0,13.0,linear,NAN
1,16.0,0.0,14.0,linear,NAN
1,16.0,0.0,15.0,linear,NAN
1,16.0,0.0,16.0,linear,NAN
1,16.0,0.0,2.0,linear,24.400
1,16.0,0.0,3.0,linear,27.400
1,16.0,0.0,4.0,linear,29.950
1,16.0,0.0,5.0,linear,32.900
1,16.0,0.0,6.0,linear,35.650
1,16.0,0.0,7.0,linear,39.750
1,16.0,0.0,8.0,linear,46.450
1,16.0,0.0,9.0,linear,57.000
1,18.0,0.0,10.0,linear,61.400
1,18.0,0.0,11.0,linear,96.150
1,18.0,0.0,12.0,linear,NAN
1,18.0,0.0,13.0,linear,NAN
1,18.0,0.0,14.0,linear,NAN
1,18.0,0.0,15.0,linear,NAN
1,18.0,0.0,16.0,linear,NAN
1,18.0,0.0,2.0,linear,24.400
1,18.0,0.0,3.0,linear,26.850
1,18.0,0.0,4.0,linear,28.500
1,18.0,0.0,5.0,linear,31.200
1,18.0,0.0,6.0,linear,34.300
1,18.0,0.0,7.0,linear,38.100
1,18.0,0.0,8.0,linear,42.700
1,18.0,0.0,9.0,linear,50.150
1,2.0,0.0,10.0,linear,NAN
1,2.0,0.0,11.0,linear,NAN
1,2.0,0.0,12.0,linear,NAN
1,2.0,0.0,13.0,linear,NAN
1,2.0,0.0,14.0,linear,NAN
1,2.0,0.0,15.0,linear,NAN
1,2.0,0.0,16.0,linear,NAN
1,2.0,0.0,2.0,linear,43.800
1,2.0,0.0,3.0,linear,77.650
1,2.0,0.0,4.0,linear,NAN
1,2.0,0.0,5.0,linear,NAN
1,2.0,0.0,6.0,linear,NAN
1,2.0,0.0,7.0,linear,NAN
1,2.0,0.0,8.0,linear,NAN
1,2.0,0.0,9.0,linear,NAN
1,20.0,0.0,10.0,linear,52.900
1,20.0,0.0,11.0,linear,69.350
1,20.0,0.0,12.0,linear,124.450
1,20.0,0.0,13.0,linear,NAN
1,20.0,0.0,14.0,linear,NAN
1,20.0,0.0,15.0,linear,NAN
1,20.0,0.0,16.0,linear,NAN
1,20.0,0.0,2.0,linear,23.700
1,20.0,0.0,3.0,linear,26.150
1,20.0,0.0,4.0,linear,27.600
1,20.0,0.0,5.0,linear,30.250
1,20.0,0.0,6.0,linear,32.700
1,20.0,0.0,7.0,linear,35.550
1,20.0,0.0,8.0,linear,39.300
1,20.0,0.0,9.0,linear,45.000
1,22.0,0.0,10.0,linear,47.600
1,22.0,0.0,11.0,linear,57.750
1,22.0,0.0,12.0,linear,77.500
1,22.0,0.0,13.0,linear,184.300
1,22.0,0.0,14.0,linear,NAN
1,22.0,0.0,15.0,linear,NAN
1,22.0,0.0,16.0,linear,NAN
1,22.0,0.0,2.0,linear,23.650
1,22.0,0.0,3.0,linear,25.750
1,22.0,0.0,4.0,linear,27.350
1,22.0,0.0,5.0,linear,29.250
1,22.0,0.0,6.0,linear,31.500
1,22.0,0.0,7.0,linear,34.700
1,22.0,0.0,8.0,linear,37.900
1,22.0,0.0,9.0,linear,41.850
1,24.0,0.0,10.0,linear,45.350
1,24.0,0.0,11.0,linear,51.750
1,24.0,0.0,12.0,linear,62.300
1,24.0,0.0,13.0,linear,86.050
1,24.0,0.0,14.0,linear,NAN
1,24.0,0.0,15.0,linear,NAN
1,24.0,0.0,16.0,linear,NAN
1,24.0,0.0,2.0,linear,23.300
1,24.0,0.0,3.0,linear,25.100
1,24.0,0.0,4.0,linear,27.100
1,24.0,0.0,5.0,linear,28.850
1,24.0,0.0,6.0,linear,31.000
1,24.0,0.0,7.0,linear,33.550
1,24.0,0.0,8.0,linear,35.850
1,24.0,0.0,9.0,linear,40.500
1,26.0,0.0,10.0,linear,42.050
1,26.0,0.0,11.0,linear,46.950
1,26.0,0.0,12.0,linear,55.050
1,26.0,0.0,13.0,linear,68.450
1,26.0,0.0,14.0,linear,104.100
1,26.0,0.0,15.0,linear,NAN
1,26.0,0.0,16.0,linear,NAN
1,26.0,0.0,2.0,linear,23.150
1,26.0,0.0,3.0,linear,24.900
1,26.0,0.0,4.0,linear,26.600
1,26.0,0.0,5.0,linear,28.850
1,26.0,0.0,6.0,linear,30.300
1,26.0,0.0,7.0,linear,32.200
1,26.0,0.0,8.0,linear,34.750
1,26.0,0.0,9.0,linear,37.950
1,28.0,0.0,10.0,linear,40.100
1,28.0,0.0,11.0,linear,44.850
1,28.0,0.0,12.0,linear,50.300
1,28.0,0.0,13.0,linear,59.100
1,28.0,0.0,14.0,linear,75.250
1,28.0,0.0,15.0,linear,135.250
1,28.0,0.0,16.0,linear,NAN
1,28.0,0.0,2.0,linear,22.350
1,28.0,0.0,3.0,linear,24.850
1,28.0,0.0,4.0,linear,26.400
1,28.0,0.0,5.0,linear,27.700
1,28.0,0.0,6.0,linear,29.500
1,28.0,0.0,7.0,linear,32.100
1,28.0,0.0,8.0,linear,34.350
1,28.0,0.0,9.0,linear,36.800
1,30.0,0.0,10.0,linear,38.950
1,30.0,0.0,11.0,linear,42.450
1,30.0,0.0,12.0,linear,47.450
1,30.0,0.0,13.0,linear,52.950
1,30.0,0.0,14.0,linear,63.800
1,30.0,0.0,15.0,linear,84.000
1,30.0,0.0,16.0,linear,233.133
1,30.0,0.0,2.0,linear,22.700
1,30.0,0.0,3.0,linear,24.100
1,30.0,0.0,4.0,linear,26.150
1,30.0,0.0,5.0,linear,27.750
1,30.0,0.0,6.0,linear,29.050
1,30.0,0.0,7.0,linear,31.450
1,30.0,0.0,8.0,linear,32.550
1,30.0,0.0,9.0,linear,35.400
1,32.0,0.0,10.0,linear,37.150
1,32.0,0.0,11.0,linear,40.250
1,32.0,0.0,12.0,linear,44.700
1,32.0,0.0,13.0,linear,50.700
1,32.0,0.0,14.0,linear,56.650
1,32.0,0.0,15.0,linear,69.350
1,32.0,0.0,16.0,linear,100.550
1,32.0,0.0,2.0,linear,22.650
1,32.0,0.0,3.0,linear,23.750
1,32.0,0.0,4.0,linear,25.350
1,32.0,0.0,5.0,linear,27.050
1,32.0,0.0,6.0,linear,28.150
1,32.0,0.0,7.0,linear,30.200
1,32.0,0.0,8.0,linear,32.600
1,32.0,0.0,9.0,linear,34.100
1,34.0,0.0,10.0,linear,36.250
1,34.0,0.0,11.0,linear,38.500
1,34.0,0.0,12.0,linear,42.900
1,34.0,0.0,13.0,linear,46.750
1,34.0,0.0,14.0,linear,52.800
1,34.0,0.0,15.0,linear,60.200
1,34.0,0.0,16.0,linear,76.400
1,34.0,0.0,2.0,linear,22.100
1,34.0,0.0,3.0,linear,24.200
1,34.0,0.0,4.0,linear,25.150
1,34.0,0.0,5.0,linear,27.100
1,34.0,0.0,6.0,linear,28.300
1,34.0,0.0,7.0,linear,29.850
1,34.0,0.0,8.0,linear,31.300
1,34.0,0.0,9.0,linear,33.200
1,36.0,0.0,10.0,linear,36.150
1,36.0,0.0,11.0,linear,37.550
1,36.0,0.0,12.0,linear,40.600
1,36.0,0.0,13.0,linear,44.900
1,36.0,0.0,14.0,linear,49.750
1,36.0,0.0,15.0,linear,55.500
1,36.0,0.0,16.0,linear,66.300
1,36.0,0.0,2.0,linear,22.350
1,36.0,0.0,3.0,linear,23.650
1,36.0,0.0,4.0,linear,24.600
1,36.0,0.0,5.0,linear,26.450
1,36.0,0.0,6.0,linear,27.900
1,36.0,0.0,7.0,linear,29.150
1,36.0,0.0,8.0,linear,30.700
1,36.0,0.0,9.0,linear,33.400
1,38.0,0.0,10.0,linear,34.850
1,38.0,0.0,11.0,linear,36.800
1,38.0,0.0,12.0,linear,39.750
1,38.0,0.0,13.0,linear,42.850
1,38.0,0.0,14.0,linear,45.900
1,38.0,0.0,15.0,linear,52.250
1,38.0,0.0,16.0,linear,58.450
1,38.0,0.0,2.0,linear,21.600
1,38.0,0.0,3.0,linear,22.850
1,38.0,0.0,4.0,linear,24.700
1,38.0,0.0,5.0,linear,26.200
1,38.0,0.0,6.0,linear,28.450
1,38.0,0.0,7.0,linear,28.700
1,38.0,0.0,8.0,linear,30.500
1,38.0,0.0,9.0,linear,32.250
1,4.0,0.0,10.0,linear,NAN
1,4.0,0.0,11.0,linear,NAN
1,4.0,0.0,12.0,linear,NAN
1,4.0,0.0,13.0,linear,NAN
1,4.0,0.0,14.0,linear,NAN
1,4.0,0.0,15.0,linear,NAN
1,4.0,0.0,16.0,linear,NAN
1,4.0,0.0,2.0,linear,33.550
1,4.0,0.0,3.0,linear,43.200
1,4.0,0.0,4.0,linear,60.900
1,4.0,0.0,5.0,linear,NAN
1,4.0,0.0,6.0,linear,NAN
1,4.0,0.0,7.0,linear,NAN
1,4.0,0.0,8.0,linear,NAN
1,4.0,0.0,9.0,linear,NAN
1,40.0,0.0,10.0,linear,33.950
1,40.0,0.0,11.0,linear,35.400
1,40.0,0.0,12.0,linear,38.300
1,40.0,0.0,13.0,linear,41.300
1,40.0,0.0,14.0,linear,44.500
1,40.0,0.0,15.0,linear,48.800
1,40.0,0.0,16.0,linear,54.750
1,40.0,0.0,2.0,linear,21.850
1,40.0,0.0,3.0,linear,23.300
1,40.0,0.0,4.0,linear,25.000
1,40.0,0.0,5.0,linear,25.950
1,40.0,0.0,6.0,linear,27.400
1,40.0,0.0,7.0,linear,28.800
1,40.0,0.0,8.0,linear,29.950
1,40.0,0.0,9.0,linear,31.950
1,6.0,0.0,10.0,linear,NAN
1,6.0,0.0,11.0,linear,NAN
1,6.0,0.0,12.0,linear,NAN
1,6.0,0.0,13.0,linear,NAN
1,6.0,0.0,14.0,linear,NAN
1,6.0,0.0,15.0,linear,NAN
