drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,suppression_rate
1,0.0,0.0,10.0,linear,0
1,0.0,0.0,11.0,linear,0
1,0.0,0.0,12.0,linear,0
1,0.0,0.0,13.0,linear,0
1,0.0,0.0,14.0,linear,0
1,0.0,0.0,15.0,linear,0
1,0.0,0.0,16.0,linear,0
1,0.0,0.0,2.0,linear,0
1,0.0,0.0,3.0,linear,0
1,0.0,0.0,4.0,linear,0
1,0.0,0.0,5.0,linear,0
1,0.0,0.0,6.0,linear,0
1,0.0,0.0,7.0,linear,0
1,0.0,0.0,8.0,linear,0
1,0.0,0.0,9.0,linear,0
1,10.0,0.0,10.0,linear,0
1,10.0,0.0,11.0,linear,0
1,10.0,0.0,12.0,linear,0
1,10.0,0.0,13.0,linear,0
1,10.0,0.0,14.0,linear,0
1,10.0,0.0,15.0,linear,0
1,10.0,0.0,16.0,linear,0
1,10.0,0.0,2.0,linear,1.00
1,10.0,0.0,3.0,linear,1.00
1,10.0,0.0,4.0,linear,1.00
1,10.0,0.0,5.0,linear,1.00
1,10.0,0.0,6.0,linear,1.00
1,10.0,0.0,7.0,linear,1.00
1,10.0,0.0,8.0,linear,1.00
1,10.0,0.0,9.0,linear,0
1,12.0,0.0,10.0,linear,0
1,12.0,0.0,11.0,linear,0
1,12.0,0.0,12.0,linear,0
1,12.0,0.0,13.0,linear,0
1,12.0,0.0,14.0,linear,0
1,12.0,0.0,15.0,linear,0
1,12.0,0.0,16.0,linear,0
1,12.0,0.0,2.0,linear,1.00
1,12.0,0.0,3.0,linear,1.00
1,12.0,0.0,4.0,linear,1.00
1,12.0,0.0,5.0,linear,1.00
1,12.0,0.0,6.0,linear,1.00
1,12.0,0.0,7.0,linear,1.00
1,12.0,0.0,8.0,linear,1.00
1,12.0,0.0,9.0,linear,1.00
1,14.0,0.0,10.0,linear,0
1,14.0,0.0,11.0,linear,0
1,14.0,0.0,12.0,linear,0
1,14.0,0.0,13.0,linear,0
1,14.0,0.0,14.0,linear,0
1,14.0,0.0,15.0,linear,0
1,14.0,0.0,16.0,linear,0
1,14.0,0.0,2.0,linear,1.00
1,14.0,0.0,3.0,linear,1.00
1,14.0,0.0,4.0,linear,1.00
1,14.0,0.0,5.0,linear,1.00
1,14.0,0.0,6.0,linear,1.00
1,14.0,0.0,7.0,linear,1.00
1,14.0,0.0,8.0,linear,1.00
1,14.0,0.0,9.0,linear,1.00
1,16.0,0.0,10.0,linear,1.00
1,16.0,0.0,11.0,linear,0
1,16.0,0.0,12.0,linear,0
1,16.0,0.0,13.0,linear,0
1,16.0,0.0,14.0,linear,0
1,16.0,0.0,15.0,linear,0
1,16.0,0.0,16.0,linear,0
1,16.0,0.0,2.0,linear,1.00
1,16.0,0.0,3.0,linear,1.00
1,16.0,0.0,4.0,linear,1.00
1,16.0,0.0,5.0,linear,1.00
1,16.0,0.0,6.0,linear,1.00
1,16.0,0.0,7.0,linear,1.00
1,16.0,0.0,8.0,linear,1.00
1,16.0,0.0,9.0,linear,1.00
1,18.0,0.0,10.0,linear,1.00
1,18.0,0.0,11.0,linear,1.00
1,18.0,0.0,12.0,linear,0
1,18.0,0.0,13.0,linear,0
1,18.0,0.0,14.0,linear,0
1,18.0,0.0,15.0,linear,0
1,18.0,0.0,16.0,linear,0
1,18.0,0.0,2.0,linear,1.00
1,18.0,0.0,3.0,linear,1.00
1,18.0,0.0,4.0,linear,1.00
1,18.0,0.0,5.0,linear,1.00
1,18.0,0.0,6.0,linear,1.00
1,18.0,0.0,7.0,linear,1.00
1,18.0,0.0,8.0,linear,1.00
1,18.0,0.0,9.0,linear,1.00
1,2.0,0.0,10.0,linear,0
1,2.0,0.0,11.0,linear,0
1,2.0,0.0,12.0,linear,0
1,2.0,0.0,13.0,linear,0
1,2.0,0.0,14.0,linear,0
1,2.0,0.0,15.0,linear,0
1,2.0,0.0,16.0,linear,0
1,2.0,0.0,2.0,linear,1.00
1,2.0,0.0,3.0,linear,1.00
1,2.0,0.0,4.0,linear,0
1,2.0,0.0,5.0,linear,0
1,2.0,0.0,6.0,linear,0
1,2.0,0.0,7.0,linear,0
1,2.0,0.0,8.0,linear,0
1,2.0,0.0,9.0,linear,0
1,20.0,0.0,10.0,linear,1.00
1,20.0,0.0,11.0,linear,1.00
1,20.0,0.0,12.0,linear,1.00
1,20.0,0.0,13.0,linear,0
1,20.0,0.0,14.0,linear,0
1,20.0,0.0,15.0,linear,0
1,20.0,0.0,16.0,linear,0
1,20.0,0.0,2.0,linear,1.00
1,20.0,0.0,3.0,linear,1.00
1,20.0,0.0,4.0,linear,1.00
1,20.0,0.0,5.0,linear,1.00
1,20.0,0.0,6.0,linear,1.00
1,20.0,0.0,7.0,linear,1.00
1,20.0,0.0,8.0,linear,1.00
1,20.0,0.0,9.0,linear,1.00
1,22.0,0.0,10.0,linear,1.00
1,22.0,0.0,11.0,linear,1.00
1,22.0,0.0,12.0,linear,1.00
1,22.0,0.0,13.0,linear,1.00
1,22.0,0.0,14.0,linear,0
1,22.0,0.0,15.0,linear,0
1,22.0,0.0,16.0,linear,0
1,22.0,0.0,2.0,linear,1.00
1,22.0,0.0,3.0,linear,1.00
1,22.0,0.0,4.0,linear,1.00
1,22.0,0.0,5.0,linear,1.00
1,22.0,0.0,6.0,linear,1.00
1,22.0,0.0,7.0,linear,1.00
1,22.0,0.0,8.0,linear,1.00
1,22.0,0.0,9.0,linear,1.00
1,24.0,0.0,10.0,linear,1.00
1,24.0,0.0,11.0,linear,1.00
1,24.0,0.0,12.0,linear,1.00
1,24.0,0.0,13.0,linear,1.00
1,24.0,0.0,14.0,linear,0
1,24.0,0.0,15.0,linear,0
1,24.0,0.0,16.0,linear,0
1,24.0,0.0,2.0,linear,1.00
1,24.0,0.0,3.0,linear,1.00
1,24.0,0.0,4.0,linear,1.00
1,24.0,0.0,5.0,linear,1.00
1,24.0,0.0,6.0,linear,1.00
1,24.0,0.0,7.0,linear,1.00
1,24.0,0.0,8.0,linear,1.00
1,24.0,0.0,9.0,linear,1.00
1,26.0,0.0,10.0,linear,1.00
1,26.0,0.0,11.0,linear,1.00
1,26.0,0.0,12.0,linear,1.00
1,26.0,0.0,13.0,linear,1.00
1,26.0,0.0,14.0,linear,1.00
1,26.0,0.0,15.0,linear,0
1,26.0,0.0,16.0,linear,0
1,26.0,0.0,2.0,linear,1.00
1,26.0,0.0,3.0,linear,1.00
1,26.0,0.0,4.0,linear,1.00
1,26.0,0.0,5.0,linear,1.00
1,26.0,0.0,6.0,linear,1.00
1,26.0,0.0,7.0,linear,1.00
1,26.0,0.0,8.0,linear,1.00
1,26.0,0.0,9.0,linear,1.00
1,28.0,0.0,10.0,linear,1.00
1,28.0,0.0,11.0,linear,1.00
1,28.0,0.0,12.0,linear,1.00
1,28.0,0.0,13.0,linear,1.00
1,28.0,0.0,14.0,linear,1.00
1,28.0,0.0,15.0,linear,1.00
1,28.0,0.0,16.0,linear,0
1,28.0,0.0,2.0,linear,1.00
1,28.0,0.0,3.0,linear,1.00
1,28.0,0.0,4.0,linear,1.00
1,28.0,0.0,5.0,linear,1.00
1,28.0,0.0,6.0,linear,1.00
1,28.0,0.0,7.0,linear,1.00
1,28.0,0.0,8.0,linear,1.00
1,28.0,0.0,9.0,linear,1.00
1,30.0,0.0,10.0,linear,1.00
