drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,suppression_rate
0.500,0.0,0.0,6.0,linear,0
0.500,0.5,0.0,6.0,linear,0
0.500,1.0,0.0,6.0,linear,0
0.500,1.5,0.0,6.0,linear,0
0.500,10.0,0.0,6.0,linear,.10
0.500,2.0,0.0,6.0,linear,0
0.500,2.5,0.0,6.0,linear,0
0.500,3.0,0.0,6.0,linear,0
0.500,3.5,0.0,6.0,linear,0
0.500,4.0,0.0,6.0,linear,0
0.500,4.5,0.0,6.0,linear,0
0.500,5.0,0.0,6.0,linear,0
0.500,5.5,0.0,6.0,linear,0
0.500,6.0,0.0,6.0,linear,0
0.500,6.5,0.0,6.0,linear,0
0.500,7.0,0.0,6.0,linear,0
0.500,7.5,0.0,6.0,linear,0
0.500,8.0,0.0,6.0,linear,0
0.500,8.5,0.0,6.0,linear,0
0.500,9.0,0.0,6.0,linear,0
0.500,9.5,0.0,6.0,linear,0
0.525,0.0,0.0,6.0,linear,0
0.525,0.5,0.0,6.0,linear,0
0.525,1.0,0.0,6.0,linear,0
0.525,1.5,0.0,6.0,linear,0
0.525,10.0,0.0,6.0,linear,1.00
0.525,2.0,0.0,6.0,linear,0
0.525,2.5,0.0,6.0,linear,0
0.525,3.0,0.0,6.0,linear,0
0.525,3.5,0.0,6.0,linear,0
0.525,4.0,0.0,6.0,linear,0
0.525,4.5,0.0,6.0,linear,0
0.525,5.0,0.0,6.0,linear,0
0.525,5.5,0.0,6.0,linear,0
0.525,6.0,0.0,6.0,linear,0
0.525,6.5,0.0,6.0,linear,0
0.525,7.0,0.0,6.0,linear,0
0.525,7.5,0.0,6.0,linear,0
0.525,8.0,0.0,6.0,linear,0
0.525,8.5,0.0,6.0,linear,0
0.525,9.0,0.0,6.0,linear,0
0.525,9.5,0.0,6.0,linear,0
0.550,0.0,0.0,6.0,linear,0
0.550,0.5,0.0,6.0,linear,0
0.550,1.0,0.0,6.0,linear,0
0.550,1.5,0.0,6.0,linear,0
0.550,10.0,0.0,6.0,linear,1.00
0.550,2.0,0.0,6.0,linear,0
0.550,2.5,0.0,6.0,linear,0
0.550,3.0,0.0,6.0,linear,0
0.550,3.5,0.0,6.0,linear,0
0.550,4.0,0.0,6.0,linear,0
0.550,4.5,0.0,6.0,linear,0
0.550,5.0,0.0,6.0,linear,0
0.550,5.5,0.0,6.0,linear,0
0.550,6.0,0.0,6.0,linear,0
0.550,6.5,0.0,6.0,linear,0
0.550,7.0,0.0,6.0,linear,0
0.550,7.5,0.0,6.0,linear,0
0.550,8.0,0.0,6.0,linear,0
0.550,8.5,0.0,6.0,linear,0
0.550,9.0,0.0,6.0,linear,0
0.550,9.5,0.0,6.0,linear,1.00
0.575,0.0,0.0,6.0,linear,0
0.575,0.5,0.0,6.0,linear,0
0.575,1.0,0.0,6.0,linear,0
0.575,1.5,0.0,6.0,linear,0
0.575,10.0,0.0,6.0,linear,1.00
0.575,2.0,0.0,6.0,linear,0
0.575,2.5,0.0,6.0,linear,0
0.575,3.0,0.0,6.0,linear,0
0.575,3.5,0.0,6.0,linear,0
0.575,4.0,0.0,6.0,linear,0
0.575,4.5,0.0,6.0,linear,0
0.575,5.0,0.0,6.0,linear,0
0.575,5.5,0.0,6.0,linear,0
0.575,6.0,0.0,6.0,linear,0
0.575,6.5,0.0,6.0,linear,0
0.575,7.0,0.0,6.0,linear,0
0.575,7.5,0.0,6.0,linear,0
0.575,8.0,0.0,6.0,linear,0
0.575,8.5,0.0,6.0,linear,0
0.575,9.0,0.0,6.0,linear,.80
0.575,9.5,0.0,6.0,linear,1.00
0.600,0.0,0.0,6.0,linear,0
0.600,0.5,0.0,6.0,linear,0
0.600,1.0,0.0,6.0,linear,0
0.600,1.5,0.0,6.0,linear,0
0.600,10.0,0.0,6.0,linear,1.00
0.600,2.0,0.0,6.0,linear,0
0.600,2.5,0.0,6.0,linear,0
0.600,3.0,0.0,6.0,linear,0
0.600,3.5,0.0,6.0,linear,0
0.600,4.0,0.0,6.0,linear,0
0.600,4.5,0.0,6.0,linear,0
0.600,5.0,0.0,6.0,linear,0
0.600,5.5,0.0,6.0,linear,0
0.600,6.0,0.0,6.0,linear,0
0.600,6.5,0.0,6.0,linear,0
0.600,7.0,0.0,6.0,linear,0
0.600,7.5,0.0,6.0,linear,0
0.600,8.0,0.0,6.0,linear,0
0.600,8.5,0.0,6.0,linear,0
0.600,9.0,0.0,6.0,linear,1.00
0.600,9.5,0.0,6.0,linear,1.00
0.625,0.0,0.0,6.0,linear,0
0.625,0.5,0.0,6.0,linear,0
0.625,1.0,0.0,6.0,linear,0
0.625,1.5,0.0,6.0,linear,0
0.625,10.0,0.0,6.0,linear,1.00
0.625,2.0,0.0,6.0,linear,0
0.625,2.5,0.0,6.0,linear,0
0.625,3.0,0.0,6.0,linear,0
0.625,3.5,0.0,6.0,linear,0
0.625,4.0,0.0,6.0,linear,0
0.625,4.5,0.0,6.0,linear,0
0.625,5.0,0.0,6.0,linear,0
0.625,5.5,0.0,6.0,linear,0
0.625,6.0,0.0,6.0,linear,0
0.625,6.5,0.0,6.0,linear,0
0.625,7.0,0.0,6.0,linear,0
0.625,7.5,0.0,6.0,linear,0
0.625,8.0,0.0,6.0,linear,0
0.625,8.5,0.0,6.0,linear,1.00
0.625,9.0,0.0,6.0,linear,1.00
0.625,9.5,0.0,6.0,linear,1.00
0.650,0.0,0.0,6.0,linear,0
0.650,0.5,0.0,6.0,linear,0
0.650,1.0,0.0,6.0,linear,0
0.650,1.5,0.0,6.0,linear,0
0.650,10.0,0.0,6.0,linear,1.00
0.650,2.0,0.0,6.0,linear,0
0.650,2.5,0.0,6.0,linear,0
0.650,3.0,0.0,6.0,linear,0
0.650,3.5,0.0,6.0,linear,0
0.650,4.0,0.0,6.0,linear,0
0.650,4.5,0.0,6.0,linear,0
