method,drive_efficiency,drop_ratio,generation_to_suppression,low_density_growth_rate
SIT,0.0,0.2,NAN,6.0
SIT,0.0,0.215,NAN,6.0
SIT,0.0,0.23,NAN,6.0
SIT,0.0,0.245,36.050,6.0
SIT,0.0,0.26,23.800,6.0
SIT,0.0,0.275,19.150,6.0
SIT,0.0,0.29,16.450,6.0
SIT,0.0,0.305,14.600,6.0
SIT,0.0,0.32,13.300,6.0
SIT,0.0,0.335,12.200,6.0
SIT,0.0,0.35,11.800,6.0
SIT,0.0,0.365,10.950,6.0
SIT,0.0,0.38,10.250,6.0
SIT,0.0,0.395,10.000,6.0
SIT,0.0,0.41,9.500,6.0
SIT,0.0,0.425,9.000,6.0
SIT,0.0,0.44,8.900,6.0
SIT,0.0,0.455,8.800,6.0
SIT,0.0,0.47,8.200,6.0
SIT,0.0,0.485,8.150,6.0
SIT,0.0,0.5,8.100,6.0
SIT,0.0,0.2,NAN,10.0
SIT,0.0,0.21,NAN,10.0
SIT,0.0,0.22,NAN,10.0
SIT,0.0,0.23,NAN,10.0
SIT,0.0,0.24,NAN,10.0
SIT,0.0,0.25,NAN,10.0
SIT,0.0,0.26,NAN,10.0
SIT,0.0,0.27,NAN,10.0
SIT,0.0,0.28,NAN,10.0
SIT,0.0,0.29,91.166,10.0
SIT,0.0,0.3,39.950,10.0
SIT,0.0,0.31,28.750,10.0
SIT,0.0,0.32,23.900,10.0
SIT,0.0,0.33,20.750,10.0
SIT,0.0,0.34,18.500,10.0
SIT,0.0,0.35,17.300,10.0
SIT,0.0,0.36,16.050,10.0
SIT,0.0,0.37,14.650,10.0
SIT,0.0,0.38,13.950,10.0
SIT,0.0,0.39,13.100,10.0
SIT,0.0,0.4,12.450,10.0
SIT,0.0,0.41,12.100,10.0
SIT,0.0,0.42,11.900,10.0
SIT,0.0,0.43,11.050,10.0
SIT,0.0,0.44,11.100,10.0
SIT,0.0,0.45,10.650,10.0
SIT,0.0,0.46,10.300,10.0
SIT,0.0,0.47,10.050,10.0
SIT,0.0,0.48,9.650,10.0
SIT,0.0,0.49,9.550,10.0
SIT,0.0,0.5,9.150,10.0
