method,drive_efficiency,drop_ratio,suppression_rate,low_density_growth_rate
SIT,0.0,0.2,0,6.0
SIT,0.0,0.215,0,6.0
SIT,0.0,0.23,0,6.0
SIT,0.0,0.245,1.00,6.0
SIT,0.0,0.26,1.00,6.0
SIT,0.0,0.275,1.00,6.0
SIT,0.0,0.29,1.00,6.0
SIT,0.0,0.305,1.00,6.0
SIT,0.0,0.32,1.00,6.0
SIT,0.0,0.335,1.00,6.0
SIT,0.0,0.35,1.00,6.0
SIT,0.0,0.365,1.00,6.0
SIT,0.0,0.38,1.00,6.0
SIT,0.0,0.395,1.00,6.0
SIT,0.0,0.41,1.00,6.0
SIT,0.0,0.425,1.00,6.0
SIT,0.0,0.44,1.00,6.0
SIT,0.0,0.455,1.00,6.0
SIT,0.0,0.47,1.00,6.0
SIT,0.0,0.485,1.00,6.0
SIT,0.0,0.5,1.00,6.0
SIT,0.0,0.2,NAN,10.0
SIT,0.0,0.21,NAN,10.0
SIT,0.0,0.22,NAN,10.0
SIT,0.0,0.23,NAN,10.0
SIT,0.0,0.24,NAN,10.0
SIT,0.0,0.25,0,10.0
SIT,0.0,0.26,0,10.0
SIT,0.0,0.27,0,10.0
SIT,0.0,0.28,0,10.0
SIT,0.0,0.29,.30,10.0
SIT,0.0,0.3,1.00,10.0
SIT,0.0,0.31,1.00,10.0
SIT,0.0,0.32,1.00,10.0
SIT,0.0,0.33,1.00,10.0
SIT,0.0,0.34,1.00,10.0
SIT,0.0,0.35,1.00,10.0
SIT,0.0,0.36,1.00,10.0
SIT,0.0,0.37,1.00,10.0
SIT,0.0,0.38,1.00,10.0
SIT,0.0,0.39,1.00,10.0
SIT,0.0,0.4,1.00,10.0
SIT,0.0,0.41,1.00,10.0
SIT,0.0,0.42,1.00,10.0
SIT,0.0,0.43,1.00,10.0
SIT,0.0,0.44,1.00,10.0
SIT,0.0,0.45,1.00,10.0
SIT,0.0,0.46,1.00,10.0
SIT,0.0,0.47,1.00,10.0
SIT,0.0,0.48,1.00,10.0
SIT,0.0,0.49,1.00,10.0
SIT,0.0,0.5,1.00,10.0
