drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve,generation_to_suppression
0.0,0.0,10.0,concave,NAN
0.0,1.0,10.0,concave,NAN
0.0,10.0,10.0,concave,39.650
0.0,11.0,10.0,concave,37.050
0.0,12.0,10.0,concave,35.750
0.0,13.0,10.0,concave,34.900
0.0,14.0,10.0,concave,33.150
0.0,15.0,10.0,concave,31.800
0.0,16.0,10.0,concave,31.550
0.0,17.0,10.0,concave,31.000
0.0,18.0,10.0,concave,30.500
0.0,19.0,10.0,concave,29.850
0.0,2.0,10.0,concave,NAN
0.0,20.0,10.0,concave,29.400
0.0,3.0,10.0,concave,NAN
0.0,4.0,10.0,concave,NAN
0.0,5.0,10.0,concave,114.250
0.0,6.0,10.0,concave,65.000
0.0,7.0,10.0,concave,52.350
0.0,8.0,10.0,concave,45.900
0.0,9.0,10.0,concave,41.450
0.0,0.0,10.0,convex,NAN
0.0,10.0,10.0,convex,NAN
0.0,100.0,10.0,convex,29.500
0.0,110.0,10.0,convex,29.000
0.0,120.0,10.0,convex,27.850
0.0,130.0,10.0,convex,27.350
0.0,140.0,10.0,convex,27.100
0.0,150.0,10.0,convex,26.250
0.0,160.0,10.0,convex,26.250
0.0,170.0,10.0,convex,26.400
0.0,180.0,10.0,convex,25.700
0.0,190.0,10.0,convex,25.400
0.0,20.0,10.0,convex,NAN
0.0,200.0,10.0,convex,25.200
0.0,30.0,10.0,convex,NAN
0.0,40.0,10.0,convex,NAN
0.0,50.0,10.0,convex,54.600
0.0,60.0,10.0,convex,39.500
0.0,70.0,10.0,convex,34.950
0.0,80.0,10.0,convex,32.700
0.0,90.0,10.0,convex,30.750
0.0,0.0,10.0,linear,NAN
0.0,10.0,10.0,linear,NAN
0.0,100.0,10.0,linear,26.000
0.0,15.0,10.0,linear,NAN
0.0,20.0,10.0,linear,NAN
0.0,25.0,10.0,linear,NAN
0.0,30.0,10.0,linear,56.500
0.0,35.0,10.0,linear,42.550
0.0,40.0,10.0,linear,37.650
0.0,45.0,10.0,linear,34.700
0.0,5.0,10.0,linear,NAN
0.0,50.0,10.0,linear,32.450
0.0,55.0,10.0,linear,31.350
0.0,60.0,10.0,linear,31.050
0.0,65.0,10.0,linear,29.250
0.0,70.0,10.0,linear,28.500
0.0,75.0,10.0,linear,27.450
0.0,80.0,10.0,linear,27.600
0.0,85.0,10.0,linear,26.950
0.0,90.0,10.0,linear,26.350
0.0,95.0,10.0,linear,26.550
