drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,suppression_rate
0.500,0.0,0.0,6.0,linear,0
0.500,1.25,0.0,6.0,linear,0
0.500,10.0,0.0,6.0,linear,0
0.500,11.25,0.0,6.0,linear,0
0.500,12.5,0.0,6.0,linear,0
0.500,13.75,0.0,6.0,linear,0
0.500,15.0,0.0,6.0,linear,0
0.500,16.25,0.0,6.0,linear,0
0.500,17.5,0.0,6.0,linear,0
0.500,18.75,0.0,6.0,linear,0
0.500,2.5,0.0,6.0,linear,0
0.500,20.0,0.0,6.0,linear,0
0.500,21.25,0.0,6.0,linear,0
0.500,22.5,0.0,6.0,linear,1.00
0.500,23.75,0.0,6.0,linear,1.00
0.500,25.0,0.0,6.0,linear,1.00
0.500,3.75,0.0,6.0,linear,0
0.500,5.0,0.0,6.0,linear,0
0.500,6.25,0.0,6.0,linear,0
0.500,7.5,0.0,6.0,linear,0
0.500,8.75,0.0,6.0,linear,0
0.525,0.0,0.0,6.0,linear,0
0.525,1.25,0.0,6.0,linear,0
0.525,10.0,0.0,6.0,linear,0
0.525,11.25,0.0,6.0,linear,0
0.525,12.5,0.0,6.0,linear,0
0.525,13.75,0.0,6.0,linear,0
0.525,15.0,0.0,6.0,linear,0
0.525,16.25,0.0,6.0,linear,0
0.525,17.5,0.0,6.0,linear,0
0.525,18.75,0.0,6.0,linear,0
0.525,2.5,0.0,6.0,linear,0
0.525,20.0,0.0,6.0,linear,0
0.525,21.25,0.0,6.0,linear,1.00
0.525,22.5,0.0,6.0,linear,1.00
0.525,23.75,0.0,6.0,linear,1.00
0.525,25.0,0.0,6.0,linear,1.00
0.525,3.75,0.0,6.0,linear,0
0.525,5.0,0.0,6.0,linear,0
0.525,6.25,0.0,6.0,linear,0
0.525,7.5,0.0,6.0,linear,0
0.525,8.75,0.0,6.0,linear,0
0.550,0.0,0.0,6.0,linear,0
0.550,1.25,0.0,6.0,linear,0
0.550,10.0,0.0,6.0,linear,0
0.550,11.25,0.0,6.0,linear,0
0.550,12.5,0.0,6.0,linear,0
0.550,13.75,0.0,6.0,linear,0
0.550,15.0,0.0,6.0,linear,0
0.550,16.25,0.0,6.0,linear,0
0.550,17.5,0.0,6.0,linear,0
0.550,18.75,0.0,6.0,linear,0
0.550,2.5,0.0,6.0,linear,0
0.550,20.0,0.0,6.0,linear,1.00
0.550,21.25,0.0,6.0,linear,1.00
0.550,22.5,0.0,6.0,linear,1.00
0.550,23.75,0.0,6.0,linear,1.00
0.550,25.0,0.0,6.0,linear,1.00
0.550,3.75,0.0,6.0,linear,0
0.550,5.0,0.0,6.0,linear,0
0.550,6.25,0.0,6.0,linear,0
0.550,7.5,0.0,6.0,linear,0
0.550,8.75,0.0,6.0,linear,0
0.575,0.0,0.0,6.0,linear,0
0.575,1.25,0.0,6.0,linear,0
0.575,10.0,0.0,6.0,linear,0
0.575,11.25,0.0,6.0,linear,0
0.575,12.5,0.0,6.0,linear,0
0.575,13.75,0.0,6.0,linear,0
0.575,15.0,0.0,6.0,linear,0
0.575,16.25,0.0,6.0,linear,0
0.575,17.5,0.0,6.0,linear,0
0.575,18.75,0.0,6.0,linear,.95
0.575,2.5,0.0,6.0,linear,0
0.575,20.0,0.0,6.0,linear,1.00
0.575,21.25,0.0,6.0,linear,1.00
0.575,22.5,0.0,6.0,linear,1.00
0.575,23.75,0.0,6.0,linear,1.00
0.575,25.0,0.0,6.0,linear,1.00
0.575,3.75,0.0,6.0,linear,0
0.575,5.0,0.0,6.0,linear,0
0.575,6.25,0.0,6.0,linear,0
0.575,7.5,0.0,6.0,linear,0
0.575,8.75,0.0,6.0,linear,0
0.600,0.0,0.0,6.0,linear,0
0.600,1.25,0.0,6.0,linear,0
0.600,10.0,0.0,6.0,linear,0
0.600,11.25,0.0,6.0,linear,0
0.600,12.5,0.0,6.0,linear,0
0.600,13.75,0.0,6.0,linear,0
0.600,15.0,0.0,6.0,linear,0
0.600,16.25,0.0,6.0,linear,0
0.600,17.5,0.0,6.0,linear,0
0.600,18.75,0.0,6.0,linear,1.00
0.600,2.5,0.0,6.0,linear,0
0.600,20.0,0.0,6.0,linear,1.00
0.600,21.25,0.0,6.0,linear,1.00
0.600,22.5,0.0,6.0,linear,1.00
0.600,23.75,0.0,6.0,linear,1.00
0.600,25.0,0.0,6.0,linear,1.00
0.600,3.75,0.0,6.0,linear,0
0.600,5.0,0.0,6.0,linear,0
0.600,6.25,0.0,6.0,linear,0
0.600,7.5,0.0,6.0,linear,0
0.600,8.75,0.0,6.0,linear,0
0.625,0.0,0.0,6.0,linear,0
0.625,1.25,0.0,6.0,linear,0
0.625,10.0,0.0,6.0,linear,0
0.625,11.25,0.0,6.0,linear,0
0.625,12.5,0.0,6.0,linear,0
0.625,13.75,0.0,6.0,linear,0
0.625,15.0,0.0,6.0,linear,0
0.625,16.25,0.0,6.0,linear,0
0.625,17.5,0.0,6.0,linear,1.00
0.625,18.75,0.0,6.0,linear,1.00
0.625,2.5,0.0,6.0,linear,0
0.625,20.0,0.0,6.0,linear,1.00
0.625,21.25,0.0,6.0,linear,1.00
0.625,22.5,0.0,6.0,linear,1.00
0.625,23.75,0.0,6.0,linear,1.00
0.625,25.0,0.0,6.0,linear,1.00
0.625,3.75,0.0,6.0,linear,0
0.625,5.0,0.0,6.0,linear,0
0.625,6.25,0.0,6.0,linear,0
0.625,7.5,0.0,6.0,linear,0
0.625,8.75,0.0,6.0,linear,0
0.650,0.0,0.0,6.0,linear,0
0.650,1.25,0.0,6.0,linear,0
0.650,10.0,0.0,6.0,linear,0
0.650,11.25,0.0,6.0,linear,0
0.650,12.5,0.0,6.0,linear,0
0.650,13.75,0.0,6.0,linear,0
0.650,15.0,0.0,6.0,linear,0
0.650,16.25,0.0,6.0,linear,0
0.650,17.5,0.0,6.0,linear,1.00
0.650,18.75,0.0,6.0,linear,1.00
0.650,2.5,0.0,6.0,linear,0
0.650,20.0,0.0,6.0,linear,1.00
0.650,21.25,0.0,6.0,linear,1.00
0.650,22.5,0.0,6.0,linear,1.00
0.650,23.75,0.0,6.0,linear,1.00
0.650,25.0,0.0,6.0,linear,1.00
0.650,3.75,0.0,6.0,linear,0
0.650,5.0,0.0,6.0,linear,0
0.650,6.25,0.0,6.0,linear,0
0.650,7.5,0.0,6.0,linear,0
0.650,8.75,0.0,6.0,linear,0
0.675,0.0,0.0,6.0,linear,0
0.675,1.25,0.0,6.0,linear,0
0.675,10.0,0.0,6.0,linear,0
0.675,11.25,0.0,6.0,linear,0
0.675,12.5,0.0,6.0,linear,0
0.675,13.75,0.0,6.0,linear,0
0.675,15.0,0.0,6.0,linear,0
0.675,16.25,0.0,6.0,linear,1.00
0.675,17.5,0.0,6.0,linear,1.00
0.675,18.75,0.0,6.0,linear,1.00
0.675,2.5,0.0,6.0,linear,0
0.675,20.0,0.0,6.0,linear,1.00
0.675,21.25,0.0,6.0,linear,1.00
0.675,22.5,0.0,6.0,linear,1.00
0.675,23.75,0.0,6.0,linear,1.00
0.675,25.0,0.0,6.0,linear,1.00
0.675,3.75,0.0,6.0,linear,0
0.675,5.0,0.0,6.0,linear,0
0.675,6.25,0.0,6.0,linear,0
0.675,7.5,0.0,6.0,linear,0
0.675,8.75,0.0,6.0,linear,0
0.700,0.0,0.0,6.0,linear,0
0.700,1.25,0.0,6.0,linear,0
0.700,10.0,0.0,6.0,linear,0
0.700,11.25,0.0,6.0,linear,0
0.700,12.5,0.0,6.0,linear,0
0.700,13.75,0.0,6.0,linear,0
0.700,15.0,0.0,6.0,linear,0
0.700,16.25,0.0,6.0,linear,1.00
0.700,17.5,0.0,6.0,linear,1.00
0.700,18.75,0.0,6.0,linear,1.00
0.700,2.5,0.0,6.0,linear,0
0.700,20.0,0.0,6.0,linear,1.00
0.700,21.25,0.0,6.0,linear,1.00
0.700,22.5,0.0,6.0,linear,1.00
0.700,23.75,0.0,6.0,linear,1.00
0.700,25.0,0.0,6.0,linear,1.00
0.700,3.75,0.0,6.0,linear,0
0.700,5.0,0.0,6.0,linear,0
0.700,6.25,0.0,6.0,linear,0
0.700,7.5,0.0,6.0,linear,0
0.700,8.75,0.0,6.0,linear,0
0.725,0.0,0.0,6.0,linear,0
0.725,1.25,0.0,6.0,linear,0
0.725,10.0,0.0,6.0,linear,0
0.725,11.25,0.0,6.0,linear,0
0.725,12.5,0.0,6.0,linear,0
0.725,13.75,0.0,6.0,linear,0
0.725,15.0,0.0,6.0,linear,1.00
0.725,16.25,0.0,6.0,linear,1.00
0.725,17.5,0.0,6.0,linear,1.00
0.725,18.75,0.0,6.0,linear,1.00
0.725,2.5,0.0,6.0,linear,0
0.725,20.0,0.0,6.0,linear,1.00
0.725,21.25,0.0,6.0,linear,1.00
0.725,22.5,0.0,6.0,linear,1.00
0.725,23.75,0.0,6.0,linear,1.00
0.725,25.0,0.0,6.0,linear,1.00
0.725,3.75,0.0,6.0,linear,0
0.725,5.0,0.0,6.0,linear,0
0.725,6.25,0.0,6.0,linear,0
0.725,7.5,0.0,6.0,linear,0
0.725,8.75,0.0,6.0,linear,0
0.750,0.0,0.0,6.0,linear,0
0.750,1.25,0.0,6.0,linear,0
0.750,10.0,0.0,6.0,linear,0
0.750,11.25,0.0,6.0,linear,0
0.750,12.5,0.0,6.0,linear,0
0.750,13.75,0.0,6.0,linear,0
0.750,15.0,0.0,6.0,linear,1.00
0.750,16.25,0.0,6.0,linear,1.00
0.750,17.5,0.0,6.0,linear,1.00
0.750,18.75,0.0,6.0,linear,1.00
0.750,2.5,0.0,6.0,linear,0
0.750,20.0,0.0,6.0,linear,1.00
0.750,21.25,0.0,6.0,linear,1.00
0.750,22.5,0.0,6.0,linear,1.00
0.750,23.75,0.0,6.0,linear,1.00
0.750,25.0,0.0,6.0,linear,1.00
0.750,3.75,0.0,6.0,linear,0
0.750,5.0,0.0,6.0,linear,0
0.750,6.25,0.0,6.0,linear,0
0.750,7.5,0.0,6.0,linear,0
0.750,8.75,0.0,6.0,linear,0
0.775,0.0,0.0,6.0,linear,0
0.775,1.25,0.0,6.0,linear,0
0.775,10.0,0.0,6.0,linear,0
0.775,11.25,0.0,6.0,linear,0
0.775,12.5,0.0,6.0,linear,0
0.775,13.75,0.0,6.0,linear,0
0.775,15.0,0.0,6.0,linear,1.00
0.775,16.25,0.0,6.0,linear,1.00
0.775,17.5,0.0,6.0,linear,1.00
0.775,18.75,0.0,6.0,linear,1.00
0.775,2.5,0.0,6.0,linear,0
0.775,20.0,0.0,6.0,linear,1.00
0.775,21.25,0.0,6.0,linear,1.00
0.775,22.5,0.0,6.0,linear,1.00
0.775,23.75,0.0,6.0,linear,1.00
0.775,25.0,0.0,6.0,linear,1.00
0.775,3.75,0.0,6.0,linear,0
0.775,5.0,0.0,6.0,linear,0
0.775,6.25,0.0,6.0,linear,0
0.775,7.5,0.0,6.0,linear,0
0.775,8.75,0.0,6.0,linear,0
0.800,0.0,0.0,6.0,linear,0
0.800,1.25,0.0,6.0,linear,0
0.800,10.0,0.0,6.0,linear,0
0.800,11.25,0.0,6.0,linear,0
0.800,12.5,0.0,6.0,linear,0
0.800,13.75,0.0,6.0,linear,1.00
0.800,15.0,0.0,6.0,linear,1.00
0.800,16.25,0.0,6.0,linear,1.00
0.800,17.5,0.0,6.0,linear,1.00
0.800,18.75,0.0,6.0,linear,1.00
0.800,2.5,0.0,6.0,linear,0
0.800,20.0,0.0,6.0,linear,1.00
0.800,21.25,0.0,6.0,linear,1.00
0.800,22.5,0.0,6.0,linear,1.00
0.800,23.75,0.0,6.0,linear,1.00
0.800,25.0,0.0,6.0,linear,1.00
0.800,3.75,0.0,6.0,linear,0
0.800,5.0,0.0,6.0,linear,0
0.800,6.25,0.0,6.0,linear,0
0.800,7.5,0.0,6.0,linear,0
0.800,8.75,0.0,6.0,linear,0
0.825,0.0,0.0,6.0,linear,0
0.825,1.25,0.0,6.0,linear,0
0.825,10.0,0.0,6.0,linear,0
0.825,11.25,0.0,6.0,linear,0
0.825,12.5,0.0,6.0,linear,0
0.825,13.75,0.0,6.0,linear,.95
0.825,15.0,0.0,6.0,linear,1.00
0.825,16.25,0.0,6.0,linear,1.00
0.825,17.5,0.0,6.0,linear,1.00
0.825,18.75,0.0,6.0,linear,1.00
0.825,2.5,0.0,6.0,linear,0
0.825,20.0,0.0,6.0,linear,1.00
0.825,21.25,0.0,6.0,linear,1.00
0.825,22.5,0.0,6.0,linear,1.00
0.825,23.75,0.0,6.0,linear,1.00
0.825,25.0,0.0,6.0,linear,1.00
0.825,3.75,0.0,6.0,linear,0
0.825,5.0,0.0,6.0,linear,0
0.825,6.25,0.0,6.0,linear,0
0.825,7.5,0.0,6.0,linear,0
0.825,8.75,0.0,6.0,linear,0
0.850,0.0,0.0,6.0,linear,0
0.850,1.25,0.0,6.0,linear,0
0.850,10.0,0.0,6.0,linear,0
0.850,11.25,0.0,6.0,linear,0
0.850,12.5,0.0,6.0,linear,0
0.850,13.75,0.0,6.0,linear,.95
0.850,15.0,0.0,6.0,linear,1.00
0.850,16.25,0.0,6.0,linear,1.00
0.850,17.5,0.0,6.0,linear,1.00
0.850,18.75,0.0,6.0,linear,1.00
0.850,2.5,0.0,6.0,linear,0
0.850,20.0,0.0,6.0,linear,1.00
0.850,21.25,0.0,6.0,linear,1.00
0.850,22.5,0.0,6.0,linear,1.00
0.850,23.75,0.0,6.0,linear,1.00
0.850,25.0,0.0,6.0,linear,.95
0.850,3.75,0.0,6.0,linear,0
0.850,5.0,0.0,6.0,linear,0
0.850,6.25,0.0,6.0,linear,0
0.850,7.5,0.0,6.0,linear,0
0.850,8.75,0.0,6.0,linear,0
0.875,0.0,0.0,6.0,linear,0
0.875,1.25,0.0,6.0,linear,0
0.875,10.0,0.0,6.0,linear,0
0.875,11.25,0.0,6.0,linear,0
0.875,12.5,0.0,6.0,linear,1.00
0.875,13.75,0.0,6.0,linear,1.00
0.875,15.0,0.0,6.0,linear,1.00
0.875,16.25,0.0,6.0,linear,1.00
0.875,17.5,0.0,6.0,linear,1.00
0.875,18.75,0.0,6.0,linear,1.00
0.875,2.5,0.0,6.0,linear,0
0.875,20.0,0.0,6.0,linear,1.00
0.875,21.25,0.0,6.0,linear,1.00
0.875,22.5,0.0,6.0,linear,1.00
0.875,23.75,0.0,6.0,linear,1.00
0.875,25.0,0.0,6.0,linear,1.00
0.875,3.75,0.0,6.0,linear,0
0.875,5.0,0.0,6.0,linear,0
0.875,6.25,0.0,6.0,linear,0
0.875,7.5,0.0,6.0,linear,0
0.875,8.75,0.0,6.0,linear,0
0.900,0.0,0.0,6.0,linear,0
0.900,1.25,0.0,6.0,linear,0
0.900,10.0,0.0,6.0,linear,0
0.900,11.25,0.0,6.0,linear,0
0.900,12.5,0.0,6.0,linear,1.00
0.900,13.75,0.0,6.0,linear,1.00
0.900,15.0,0.0,6.0,linear,1.00
0.900,16.25,0.0,6.0,linear,1.00
0.900,17.5,0.0,6.0,linear,1.00
0.900,18.75,0.0,6.0,linear,1.00
0.900,2.5,0.0,6.0,linear,0
0.900,20.0,0.0,6.0,linear,1.00
0.900,21.25,0.0,6.0,linear,1.00
0.900,22.5,0.0,6.0,linear,1.00
0.900,23.75,0.0,6.0,linear,1.00
0.900,25.0,0.0,6.0,linear,1.00
0.900,3.75,0.0,6.0,linear,0
0.900,5.0,0.0,6.0,linear,0
0.900,6.25,0.0,6.0,linear,0
0.900,7.5,0.0,6.0,linear,0
0.900,8.75,0.0,6.0,linear,0
0.925,0.0,0.0,6.0,linear,0
0.925,1.25,0.0,6.0,linear,0
0.925,10.0,0.0,6.0,linear,0
0.925,11.25,0.0,6.0,linear,0
0.925,12.5,0.0,6.0,linear,1.00
0.925,13.75,0.0,6.0,linear,1.00
0.925,15.0,0.0,6.0,linear,1.00
0.925,16.25,0.0,6.0,linear,1.00
0.925,17.5,0.0,6.0,linear,1.00
0.925,18.75,0.0,6.0,linear,1.00
0.925,2.5,0.0,6.0,linear,0
0.925,20.0,0.0,6.0,linear,1.00
0.925,21.25,0.0,6.0,linear,1.00
0.925,22.5,0.0,6.0,linear,1.00
0.925,23.75,0.0,6.0,linear,1.00
0.925,25.0,0.0,6.0,linear,1.00
0.925,3.75,0.0,6.0,linear,0
0.925,5.0,0.0,6.0,linear,0
0.925,6.25,0.0,6.0,linear,0
0.925,7.5,0.0,6.0,linear,0
0.925,8.75,0.0,6.0,linear,0
0.950,0.0,0.0,6.0,linear,0
0.950,1.25,0.0,6.0,linear,0
0.950,10.0,0.0,6.0,linear,0
0.950,11.25,0.0,6.0,linear,0
0.950,12.5,0.0,6.0,linear,1.00
0.950,13.75,0.0,6.0,linear,1.00
0.950,15.0,0.0,6.0,linear,1.00
0.950,16.25,0.0,6.0,linear,1.00
0.950,17.5,0.0,6.0,linear,1.00
0.950,18.75,0.0,6.0,linear,1.00
0.950,2.5,0.0,6.0,linear,0
0.950,20.0,0.0,6.0,linear,1.00
0.950,21.25,0.0,6.0,linear,1.00
0.950,22.5,0.0,6.0,linear,1.00
0.950,23.75,0.0,6.0,linear,1.00
0.950,25.0,0.0,6.0,linear,1.00
0.950,3.75,0.0,6.0,linear,0
0.950,5.0,0.0,6.0,linear,0
0.950,6.25,0.0,6.0,linear,0
0.950,7.5,0.0,6.0,linear,0
0.950,8.75,0.0,6.0,linear,0
0.975,0.0,0.0,6.0,linear,0
0.975,1.25,0.0,6.0,linear,0
0.975,10.0,0.0,6.0,linear,0
0.975,11.25,0.0,6.0,linear,1.00
0.975,12.5,0.0,6.0,linear,1.00
0.975,13.75,0.0,6.0,linear,1.00
0.975,15.0,0.0,6.0,linear,1.00
0.975,16.25,0.0,6.0,linear,1.00
0.975,17.5,0.0,6.0,linear,1.00
0.975,18.75,0.0,6.0,linear,1.00
0.975,2.5,0.0,6.0,linear,0
0.975,20.0,0.0,6.0,linear,1.00
0.975,21.25,0.0,6.0,linear,1.00
0.975,22.5,0.0,6.0,linear,1.00
0.975,23.75,0.0,6.0,linear,1.00
0.975,25.0,0.0,6.0,linear,1.00
0.975,3.75,0.0,6.0,linear,0
0.975,5.0,0.0,6.0,linear,0
0.975,6.25,0.0,6.0,linear,0
0.975,7.5,0.0,6.0,linear,0
0.975,8.75,0.0,6.0,linear,0
1.000,0.0,0.0,6.0,linear,0
1.000,1.25,0.0,6.0,linear,0
1.000,10.0,0.0,6.0,linear,0
1.000,11.25,0.0,6.0,linear,1.00
1.000,12.5,0.0,6.0,linear,1.00
1.000,13.75,0.0,6.0,linear,1.00
1.000,15.0,0.0,6.0,linear,1.00
1.000,16.25,0.0,6.0,linear,1.00
1.000,17.5,0.0,6.0,linear,1.00
1.000,18.75,0.0,6.0,linear,1.00
1.000,2.5,0.0,6.0,linear,0
1.000,20.0,0.0,6.0,linear,1.00
1.000,21.25,0.0,6.0,linear,1.00
1.000,22.5,0.0,6.0,linear,1.00
1.000,23.75,0.0,6.0,linear,1.00
1.000,25.0,0.0,6.0,linear,1.00
1.000,3.75,0.0,6.0,linear,0
1.000,5.0,0.0,6.0,linear,0
1.000,6.25,0.0,6.0,linear,0
1.000,7.5,0.0,6.0,linear,0
1.000,8.75,0.0,6.0,linear,0
