rate_wt,rate_drive,rate_complete_r1,rate_partial_r1,rate_complete_r2,rate_partial_r2,rate_has_drive,generation,size,male_size,female_size,ddm,dwm,drm,wwm,wrm,rrm,ddf,dwf,drf,wwf,wrf,rrf,drive_efficiency,drop_ratio,low_density_growth_rate
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,199435,99943,99492,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.45,0.135,6.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,108678,54524,54154,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.45,0.135,6.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,101072,50499,50573,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.45,0.135,6.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,3,100011,50280,49731,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.45,0.135,6.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,100333,49814,50519,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.45,0.135,6.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,99747,49855,49892,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.45,0.135,6.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,100350,50102,50248,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.45,0.135,6.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,99304,49678,49626,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.45,0.135,6.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,99855,49893,49962,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.45,0.135,6.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,9,99962,50136,49826,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.45,0.135,6.0
0.880921,0.119079,0.0,0.0,0.0,0.0,0.119079,10,113370,63366,50004,0.213048,0.0,0.0,0.786952,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.45,0.135,6.0
0.794307,0.205693,0.0,0.0,0.0,0.0,0.292555,11,113606,63671,49935,0.212027,0.155298,0.0,0.632674,0.0,0.0,0.0,0.197216,0.0,0.802784,0.0,0.0,0.45,0.135,6.0
0.719815,0.280185,0.0,0.0,0.0,0.0,0.416568,12,93879,53744,40135,0.251191,0.239413,0.0,0.509396,0.0,0.0,0.0,0.317429,0.0,0.682571,0.0,0.0,0.45,0.135,6.0
0.651122,0.348878,0.0,0.0,0.0,0.0,0.527075,13,79095,46355,32740,0.291231,0.303053,0.0,0.405717,0.0,0.0,0.0,0.431918,0.0,0.568082,0.0,0.0,0.45,0.135,6.0
0.59059,0.40941,0.0,0.0,0.0,0.0,0.612987,14,65587,39681,25906,0.340213,0.334669,0.0,0.325118,0.0,0.0,0.0,0.518181,0.0,0.481819,0.0,0.0,0.45,0.135,6.0
0.527406,0.472594,0.0,0.0,0.0,0.0,0.700977,15,55280,34153,21127,0.39528,0.366234,0.0,0.238486,0.0,0.0,0.0,0.603114,0.0,0.396886,0.0,0.0,0.45,0.135,6.0
0.466456,0.533544,0.0,0.0,0.0,0.0,0.771302,16,45641,29668,15973,0.455036,0.367905,0.0,0.177059,0.0,0.0,0.0,0.67539,0.0,0.32461,0.0,0.0,0.45,0.135,6.0
0.401022,0.598978,0.0,0.0,0.0,0.0,0.837551,17,37458,25484,11974,0.529744,0.351358,0.0,0.118898,0.0,0.0,0.0,0.744864,0.0,0.255136,0.0,0.0,0.45,0.135,6.0
0.331821,0.668179,0.0,0.0,0.0,0.0,0.890872,18,30304,21934,8370,0.615483,0.310431,0.0,0.0740859,0.0,0.0,0.0,0.799044,0.0,0.200956,0.0,0.0,0.45,0.135,6.0
0.25613,0.74387,0.0,0.0,0.0,0.0,0.933303,19,24349,18916,5433,0.713682,0.24392,0.0,0.042398,0.0,0.0,0.0,0.848702,0.0,0.151298,0.0,0.0,0.45,0.135,6.0
0.175678,0.824322,0.0,0.0,0.0,0.0,0.969673,20,19883,16588,3295,0.813841,0.169158,0.0,0.0170002,0.0,0.0,0.0,0.90258,0.0,0.0974203,0.0,0.0,0.45,0.135,6.0
0.0937101,0.90629,0.0,0.0,0.0,0.0,0.99216,21,16455,14971,1484,0.901743,0.0942489,0.0,0.00400775,0.0,0.0,0.0,0.953504,0.0,0.046496,0.0,0.0,0.45,0.135,6.0
0.0272345,0.972766,0.0,0.0,0.0,0.0,0.999159,22,14265,13900,365,0.971223,0.0284173,0.0,0.000359712,0.0,0.0,0.0,0.980822,0.0,0.0191781,0.0,0.0,0.45,0.135,6.0
0.00305551,0.996944,0.0,0.0,0.0,0.0,0.999926,23,13582,13538,44,0.997193,0.00273305,0.0,7.38662e-05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.45,0.135,6.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,24,13500,13500,0,1.0,0.0,0.0,0.0,0.0,0.0,NAN,NAN,NAN,NAN,NAN,NAN,0.45,0.135,6.0

