generation,size,female_size,rate_r2,rate_dr,rate_has_drive,drive_efficiency,germline_resistance,drop_ratio,embryo_resistance,low_density_growth_rate,density_growth_curve
1,77885,49171,0.0,0.0,0.0,0.5,0.5,9.5,0.0,6.0,linear
2,77922,49228,0.0,0.0,0.0,0.5,0.5,9.5,0.0,6.0,linear
3,80242,50730,0.0,0.0,0.0,0.5,0.5,9.5,0.0,6.0,linear
4,79794,50630,0.0,0.0,0.0,0.5,0.5,9.5,0.0,6.0,linear
5,77820,49705,0.0,0.0,0.0,0.5,0.5,9.5,0.0,6.0,linear
6,77553,49449,0.0,0.0,0.0,0.5,0.5,9.5,0.0,6.0,linear
7,79363,50301,0.0,0.0,0.0,0.5,0.5,9.5,0.0,6.0,linear
8,79124,50091,0.0,0.0,0.0,0.5,0.5,9.5,0.0,6.0,linear
9,78321,49712,0.0,0.0,0.0,0.5,0.5,9.5,0.0,6.0,linear
10,78536,50010,0.0,0.0,0.0,0.5,0.5,9.5,0.0,6.0,linear
11,136886,50558,0.0,0.348039,0.348039,0.5,0.5,9.5,0.0,6.0,linear
12,164033,49926,0.0,0.464319,0.479937,0.5,0.5,9.5,0.0,6.0,linear
13,159584,46516,0.0,0.491805,0.533084,0.5,0.5,9.5,0.0,6.0,linear
14,157283,42620,0.00036217,0.522785,0.596434,0.5,0.5,9.5,0.0,6.0,linear
15,156516,38685,0.00159028,0.551609,0.657736,0.5,0.5,9.5,0.0,6.0,linear
16,156089,34710,0.0043038,0.581184,0.716243,0.5,0.5,9.5,0.0,6.0,linear
17,155698,31138,0.00877158,0.610305,0.768402,0.5,0.5,9.5,0.0,6.0,linear
18,155099,27971,0.0150504,0.637652,0.809251,0.5,0.5,9.5,0.0,6.0,linear
19,153658,25178,0.0230482,0.663037,0.839929,0.5,0.5,9.5,0.0,6.0,linear
20,151849,22545,0.0325858,0.688355,0.865979,0.5,0.5,9.5,0.0,6.0,linear
21,148662,20094,0.0422901,0.711187,0.886937,0.5,0.5,9.5,0.0,6.0,linear
22,145326,17863,0.0517977,0.734497,0.904434,0.5,0.5,9.5,0.0,6.0,linear
23,141638,15707,0.0604536,0.755264,0.919837,0.5,0.5,9.5,0.0,6.0,linear
24,137875,13655,0.0669675,0.775963,0.933418,0.5,0.5,9.5,0.0,6.0,linear
25,134023,12050,0.0723578,0.795484,0.945024,0.5,0.5,9.5,0.0,6.0,linear
26,129792,10415,0.0760398,0.812575,0.95562,0.5,0.5,9.5,0.0,6.0,linear
27,125938,9007,0.0770665,0.830973,0.965313,0.5,0.5,9.5,0.0,6.0,linear
28,121026,7648,0.0779484,0.84639,0.972504,0.5,0.5,9.5,0.0,6.0,linear
29,117940,6528,0.0760486,0.863401,0.978474,0.5,0.5,9.5,0.0,6.0,linear
30,114220,5585,0.0734768,0.878304,0.983262,0.5,0.5,9.5,0.0,6.0,linear
31,110644,4670,0.0689894,0.893279,0.98744,0.5,0.5,9.5,0.0,6.0,linear
32,107091,3875,0.0648833,0.905888,0.990846,0.5,0.5,9.5,0.0,6.0,linear
33,104233,3177,0.0594519,0.918077,0.993284,0.5,0.5,9.5,0.0,6.0,linear
34,101747,2669,0.0534947,0.929913,0.995462,0.5,0.5,9.5,0.0,6.0,linear
35,99377,2182,0.0473496,0.940253,0.997076,0.5,0.5,9.5,0.0,6.0,linear
36,96828,1719,0.0418364,0.94994,0.998276,0.5,0.5,9.5,0.0,6.0,linear
37,95151,1455,0.0364552,0.957927,0.998969,0.5,0.5,9.5,0.0,6.0,linear
38,93157,1226,0.031566,0.964927,0.999397,0.5,0.5,9.5,0.0,6.0,linear
39,92204,963,0.0270839,0.97084,0.999678,0.5,0.5,9.5,0.0,6.0,linear
40,90880,789,0.023204,0.975589,0.99983,0.5,0.5,9.5,0.0,6.0,linear
41,89913,622,0.0201508,0.979153,0.999871,0.5,0.5,9.5,0.0,6.0,linear
42,89489,473,0.0169545,0.982675,0.999945,0.5,0.5,9.5,0.0,6.0,linear
43,88497,383,0.013334,0.986444,0.999944,0.5,0.5,9.5,0.0,6.0,linear
44,88106,324,0.010723,0.989165,0.999989,0.5,0.5,9.5,0.0,6.0,linear
45,87320,264,0.00873733,0.991212,0.999989,0.5,0.5,9.5,0.0,6.0,linear
46,87271,235,0.0073757,0.992602,0.999989,0.5,0.5,9.5,0.0,6.0,linear
47,86570,178,0.00633339,0.993644,0.999989,0.5,0.5,9.5,0.0,6.0,linear
