generation,size,female_size,rate_r2,rate_dr,rate_has_drive,drive_efficiency,germline_resistance,drop_ratio,embryo_resistance,low_density_growth_rate,density_growth_curve
1,78142,49108,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
2,77951,48776,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
3,80042,50252,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
4,81436,51254,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
5,79276,50494,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
6,77206,49498,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
7,77920,49822,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
8,79149,50046,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
9,79144,49941,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
10,78874,49899,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
11,79189,50483,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
12,79452,50637,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
13,77843,49817,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
14,77185,49436,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
15,79352,50366,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
16,79796,50547,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
17,78514,49891,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
18,77240,49331,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
19,79473,50454,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
20,79728,50587,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
21,79318,50394,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
22,77886,49841,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
23,77025,49293,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
24,78054,49804,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
25,79841,50481,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
26,78837,49855,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
27,78500,49872,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
28,78325,50162,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
29,79468,50527,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
30,77704,49602,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
31,77690,49656,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
32,78530,50141,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
33,79417,50457,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
34,78304,49927,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
35,79038,50365,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
36,78812,50207,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
37,78523,50038,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
38,78269,49694,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
39,78725,50133,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
40,79660,50404,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
41,78058,49699,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear
42,77774,49562,0.0,0.0,0.0,0.5,0.5,0.0,0.0,6.0,linear

