generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,77566,48880,1,0.0,0.0,0.75,0.0,10.0,concave
2,78041,49082,1,0.0,0.0,0.75,0.0,10.0,concave
3,77999,49227,1,0.0,0.0,0.75,0.0,10.0,concave
4,77681,49376,1,0.0,0.0,0.75,0.0,10.0,concave
5,78055,49637,1,0.0,0.0,0.75,0.0,10.0,concave
6,78068,49709,1,0.0,0.0,0.75,0.0,10.0,concave
7,78386,49798,1,0.0,0.0,0.75,0.0,10.0,concave
8,78279,49522,1,0.0,0.0,0.75,0.0,10.0,concave
9,78192,49378,1,0.0,0.0,0.75,0.0,10.0,concave
10,78538,49781,1,0.0,0.0,0.75,0.0,10.0,concave
11,78269,49575,1,0.0,0.0,0.75,0.0,10.0,concave
12,78618,49927,1,0.0,0.0,0.75,0.0,10.0,concave
13,78572,50066,1,0.0,0.0,0.75,0.0,10.0,concave
14,78418,49838,1,0.0,0.0,0.75,0.0,10.0,concave
15,78205,49721,1,0.0,0.0,0.75,0.0,10.0,concave
16,78388,49789,1,0.0,0.0,0.75,0.0,10.0,concave
17,78367,49837,1,0.0,0.0,0.75,0.0,10.0,concave
18,78391,49785,1,0.0,0.0,0.75,0.0,10.0,concave
19,78475,49856,1,0.0,0.0,0.75,0.0,10.0,concave
20,78363,49576,1,0.0,0.0,0.75,0.0,10.0,concave
21,78271,49682,1,0.0,0.0,0.75,0.0,10.0,concave
22,78182,49935,1,0.0,0.0,0.75,0.0,10.0,concave
23,78246,49853,1,0.0,0.0,0.75,0.0,10.0,concave
24,78335,49791,1,0.0,0.0,0.75,0.0,10.0,concave
25,78244,49670,1,0.0,0.0,0.75,0.0,10.0,concave
26,78513,49914,1,0.0,0.0,0.75,0.0,10.0,concave
27,78922,50318,1,0.0,0.0,0.75,0.0,10.0,concave
28,79386,50576,1,0.0,0.0,0.75,0.0,10.0,concave
29,79496,50521,1,0.0,0.0,0.75,0.0,10.0,concave
30,79087,50254,1,0.0,0.0,0.75,0.0,10.0,concave
31,79229,50424,1,0.0,0.0,0.75,0.0,10.0,concave
32,79273,50439,1,0.0,0.0,0.75,0.0,10.0,concave
33,79010,50289,1,0.0,0.0,0.75,0.0,10.0,concave
34,78516,50046,1,0.0,0.0,0.75,0.0,10.0,concave
35,78546,49916,1,0.0,0.0,0.75,0.0,10.0,concave
36,78539,49934,1,0.0,0.0,0.75,0.0,10.0,concave
37,78356,49778,1,0.0,0.0,0.75,0.0,10.0,concave
38,78591,50171,1,0.0,0.0,0.75,0.0,10.0,concave
39,78317,49907,1,0.0,0.0,0.75,0.0,10.0,concave
40,78483,50008,1,0.0,0.0,0.75,0.0,10.0,concave
41,78490,49850,1,0.0,0.0,0.75,0.0,10.0,concave
42,78287,49532,1,0.0,0.0,0.75,0.0,10.0,concave

