generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78619,49345,1,0.0,0.0,0.3,6.25,10.0,convex
2,77798,49066,1,0.0,0.0,0.3,6.25,10.0,convex
3,81493,51229,1,0.0,0.0,0.3,6.25,10.0,convex
4,82677,51868,1,0.0,0.0,0.3,6.25,10.0,convex
5,66664,44135,1,0.0,0.0,0.3,6.25,10.0,convex
6,81844,51553,1,0.0,0.0,0.3,6.25,10.0,convex
7,103950,62596,1,0.0,0.0,0.3,6.25,10.0,convex
8,70043,46151,1,0.0,0.0,0.3,6.25,10.0,convex
9,40359,31876,1,0.0,0.0,0.3,6.25,10.0,convex
10,121681,71269,1,0.0,0.0,0.3,6.25,10.0,convex
11,162664,72931,1,0.23152,0.23152,0.3,6.25,10.0,convex
12,139166,53709,1,0.404136,0.404136,0.3,6.25,10.0,convex
13,100374,37918,1,0.396473,0.424207,0.3,6.25,10.0,convex
14,130679,48307,1,0.328475,0.37613,0.3,6.25,10.0,convex
15,169385,60518,1,0.363716,0.393925,0.3,6.25,10.0,convex
16,129204,40795,1,0.46151,0.486084,0.3,6.25,10.0,convex
17,97458,29447,1,0.435121,0.611479,0.3,6.25,10.0,convex
18,160642,44061,1,0.445716,0.591139,0.3,6.25,10.0,convex
19,146672,36792,1,0.443779,0.630122,0.3,6.25,10.0,convex
20,157048,35928,1,0.453665,0.637186,0.3,6.25,10.0,convex
21,143118,32781,1,0.45717,0.659323,0.3,6.25,10.0,convex
22,161523,37063,1,0.452908,0.651603,0.3,6.25,10.0,convex
23,157076,36035,1,0.457452,0.659419,0.3,6.25,10.0,convex
24,155261,34020,1,0.463578,0.66945,0.3,6.25,10.0,convex
25,154327,34377,1,0.462501,0.672154,0.3,6.25,10.0,convex
26,157764,34398,1,0.466284,0.674114,0.3,6.25,10.0,convex
27,154890,33370,1,0.464823,0.678148,0.3,6.25,10.0,convex
28,157774,33739,1,0.465306,0.678001,0.3,6.25,10.0,convex
29,156138,33306,1,0.464422,0.67957,0.3,6.25,10.0,convex
30,158697,33945,1,0.464227,0.679294,0.3,6.25,10.0,convex
31,158109,33925,1,0.463979,0.677184,0.3,6.25,10.0,convex
32,158112,33867,1,0.462335,0.676422,0.3,6.25,10.0,convex
33,158074,34131,1,0.462026,0.673843,0.3,6.25,10.0,convex
34,158222,34294,1,0.462183,0.674601,0.3,6.25,10.0,convex
35,159118,34434,1,0.462381,0.67162,0.3,6.25,10.0,convex
36,156503,33991,1,0.462021,0.672373,0.3,6.25,10.0,convex
37,157428,34180,1,0.461781,0.671096,0.3,6.25,10.0,convex
38,156516,34267,1,0.460179,0.669973,0.3,6.25,10.0,convex
39,157636,34522,1,0.460542,0.671148,0.3,6.25,10.0,convex
40,157937,34406,1,0.461816,0.67202,0.3,6.25,10.0,convex
41,157770,34135,1,0.46158,0.672282,0.3,6.25,10.0,convex
42,158030,34328,1,0.461996,0.672192,0.3,6.25,10.0,convex
43,157920,34091,1,0.460899,0.67211,0.3,6.25,10.0,convex
44,159094,34692,1,0.460812,0.67067,0.3,6.25,10.0,convex
45,157675,34438,1,0.461849,0.67176,0.3,6.25,10.0,convex
46,157725,34587,1,0.461988,0.670999,0.3,6.25,10.0,convex
47,157314,34686,1,0.46056,0.670806,0.3,6.25,10.0,convex
48,158305,34786,1,0.460538,0.668668,0.3,6.25,10.0,convex
49,156484,34274,1,0.461451,0.671817,0.3,6.25,10.0,convex
50,157901,34297,1,0.462327,0.670602,0.3,6.25,10.0,convex
