generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,77869,48901,1,0.0,0.0,0.55,12.75,10.0,linear
2,78004,48973,1,0.0,0.0,0.55,12.75,10.0,linear
3,82369,51582,1,0.0,0.0,0.55,12.75,10.0,linear
4,81753,51463,1,0.0,0.0,0.55,12.75,10.0,linear
5,75087,48579,1,0.0,0.0,0.55,12.75,10.0,linear
6,73888,47668,1,0.0,0.0,0.55,12.75,10.0,linear
7,81640,51423,1,0.0,0.0,0.55,12.75,10.0,linear
8,86291,53534,1,0.0,0.0,0.55,12.75,10.0,linear
9,73255,47294,1,0.0,0.0,0.55,12.75,10.0,linear
10,69365,45778,1,0.0,0.0,0.55,12.75,10.0,linear
11,161765,53398,1,0.392842,0.392842,0.55,12.75,10.0,linear
12,204136,54930,1,0.548017,0.553612,0.55,12.75,10.0,linear
13,178898,42119,1,0.592881,0.627362,0.55,12.75,10.0,linear
14,173002,36306,1,0.588104,0.675228,0.55,12.75,10.0,linear
15,190530,36972,1,0.595959,0.709225,0.55,12.75,10.0,linear
16,194471,32379,1,0.607631,0.75088,0.55,12.75,10.0,linear
17,193960,27116,1,0.627866,0.795256,0.55,12.75,10.0,linear
18,192300,23356,1,0.642586,0.827362,0.55,12.75,10.0,linear
19,192984,21027,1,0.651723,0.845805,0.55,12.75,10.0,linear
20,190975,18251,1,0.662834,0.86195,0.55,12.75,10.0,linear
21,188530,15595,1,0.675254,0.875908,0.55,12.75,10.0,linear
22,184993,13988,1,0.685944,0.884237,0.55,12.75,10.0,linear
23,180540,12750,1,0.696483,0.891675,0.55,12.75,10.0,linear
24,176418,11623,1,0.706196,0.898049,0.55,12.75,10.0,linear
25,172993,10575,1,0.716497,0.904765,0.55,12.75,10.0,linear
26,169425,9667,1,0.727479,0.911018,0.55,12.75,10.0,linear
27,166300,8706,1,0.737691,0.917286,0.55,12.75,10.0,linear
28,163284,7932,1,0.750123,0.924493,0.55,12.75,10.0,linear
29,159336,7064,1,0.761919,0.930993,0.55,12.75,10.0,linear
30,156457,6351,1,0.774805,0.936408,0.55,12.75,10.0,linear
31,153028,5630,1,0.78656,0.941691,0.55,12.75,10.0,linear
32,150514,4938,1,0.801188,0.948585,0.55,12.75,10.0,linear
33,146903,4188,1,0.814221,0.954515,0.55,12.75,10.0,linear
34,143788,3605,1,0.829727,0.959747,0.55,12.75,10.0,linear
35,140557,3032,1,0.845724,0.96546,0.55,12.75,10.0,linear
36,137277,2489,1,0.862833,0.970699,0.55,12.75,10.0,linear
37,133756,2026,1,0.877474,0.97484,0.55,12.75,10.0,linear
38,131181,1684,1,0.894507,0.979148,0.55,12.75,10.0,linear
39,129044,1350,1,0.908021,0.983192,0.55,12.75,10.0,linear
40,126477,1053,1,0.923025,0.986581,0.55,12.75,10.0,linear
41,124086,823,1,0.937092,0.989908,0.55,12.75,10.0,linear
42,122423,591,1,0.948606,0.992602,0.55,12.75,10.0,linear
43,121044,413,1,0.961301,0.994919,0.55,12.75,10.0,linear
44,119361,293,1,0.970769,0.996526,0.55,12.75,10.0,linear
45,118101,191,1,0.979248,0.997583,0.55,12.75,10.0,linear
46,117366,129,1,0.985137,0.998439,0.55,12.75,10.0,linear
47,116494,83,1,0.990094,0.999112,0.55,12.75,10.0,linear
48,116168,52,1,0.993509,0.999434,0.55,12.75,10.0,linear
49,115918,23,1,0.995898,0.999785,0.55,12.75,10.0,linear
50,115463,12,1,0.997595,0.999888,0.55,12.75,10.0,linear
51,115487,5,1,0.998771,0.999948,0.55,12.75,10.0,linear
52,115469,2,1,0.99945,0.999983,0.55,12.75,10.0,linear
53,115513,0,1,0.999723,1.0,0.55,12.75,10.0,linear

