generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78218,49100,1,0.0,0.0,0.5,12.0,4.0,linear
2,78454,49196,1,0.0,0.0,0.5,12.0,4.0,linear
3,79167,49940,1,0.0,0.0,0.5,12.0,4.0,linear
4,79196,50183,1,0.0,0.0,0.5,12.0,4.0,linear
5,79160,50426,1,0.0,0.0,0.5,12.0,4.0,linear
6,78699,50236,1,0.0,0.0,0.5,12.0,4.0,linear
7,78175,49906,1,0.0,0.0,0.5,12.0,4.0,linear
8,78418,50100,1,0.0,0.0,0.5,12.0,4.0,linear
9,78290,49948,1,0.0,0.0,0.5,12.0,4.0,linear
10,78077,49724,1,0.0,0.0,0.5,12.0,4.0,linear
11,150583,50082,1,0.402013,0.402013,0.5,12.0,4.0,linear
12,187211,50197,1,0.518035,0.533006,0.5,12.0,4.0,linear
13,183645,46680,1,0.547033,0.583943,0.5,12.0,4.0,linear
14,177926,41026,1,0.580483,0.643245,0.5,12.0,4.0,linear
15,173353,35198,1,0.6121,0.702548,0.5,12.0,4.0,linear
16,169756,29071,1,0.643313,0.757653,0.5,12.0,4.0,linear
17,165941,23106,1,0.675281,0.807828,0.5,12.0,4.0,linear
18,160529,17672,1,0.705113,0.846368,0.5,12.0,4.0,linear
19,155093,13701,1,0.735399,0.875675,0.5,12.0,4.0,linear
20,148534,10580,1,0.76436,0.898514,0.5,12.0,4.0,linear
21,142696,8163,1,0.794147,0.917756,0.5,12.0,4.0,linear
22,136255,6112,1,0.82269,0.934454,0.5,12.0,4.0,linear
23,131081,4542,1,0.852099,0.948765,0.5,12.0,4.0,linear
24,126360,3325,1,0.879256,0.961362,0.5,12.0,4.0,linear
25,122053,2402,1,0.904936,0.971262,0.5,12.0,4.0,linear
26,118631,1630,1,0.926769,0.980023,0.5,12.0,4.0,linear
27,115809,1092,1,0.946078,0.986351,0.5,12.0,4.0,linear
28,113727,737,1,0.961324,0.990984,0.5,12.0,4.0,linear
29,112011,463,1,0.973316,0.994264,0.5,12.0,4.0,linear
30,111029,267,1,0.982413,0.996697,0.5,12.0,4.0,linear
31,109988,162,1,0.988364,0.998039,0.5,12.0,4.0,linear
32,109637,93,1,0.99296,0.998927,0.5,12.0,4.0,linear
33,108791,51,1,0.995868,0.99944,0.5,12.0,4.0,linear
34,108645,24,1,0.997665,0.999724,0.5,12.0,4.0,linear
35,108637,13,1,0.998767,0.999862,0.5,12.0,4.0,linear
36,108497,5,1,0.999438,0.999954,0.5,12.0,4.0,linear
37,108155,1,1,0.999773,0.999991,0.5,12.0,4.0,linear
38,107924,0,1,0.999917,1.0,0.5,12.0,4.0,linear

