generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78204,49095,1,0.0,0.0,0.5,6.0,6.0,linear
2,78178,49256,1,0.0,0.0,0.5,6.0,6.0,linear
3,79242,49922,1,0.0,0.0,0.5,6.0,6.0,linear
4,79903,50692,1,0.0,0.0,0.5,6.0,6.0,linear
5,78332,49884,1,0.0,0.0,0.5,6.0,6.0,linear
6,77423,49718,1,0.0,0.0,0.5,6.0,6.0,linear
7,79123,50521,1,0.0,0.0,0.5,6.0,6.0,linear
8,78261,49961,1,0.0,0.0,0.5,6.0,6.0,linear
9,78327,49783,1,0.0,0.0,0.5,6.0,6.0,linear
10,77788,49507,1,0.0,0.0,0.5,6.0,6.0,linear
11,115562,50380,1,0.250306,0.250306,0.5,6.0,6.0,linear
12,133844,50563,1,0.348892,0.364008,0.5,6.0,6.0,linear
13,130723,47702,1,0.378121,0.415385,0.5,6.0,6.0,linear
14,125848,43256,1,0.40579,0.473025,0.5,6.0,6.0,linear
15,125047,39653,1,0.431762,0.529012,0.5,6.0,6.0,linear
16,124547,35811,1,0.455375,0.581662,0.5,6.0,6.0,linear
17,124226,32266,1,0.47554,0.625994,0.5,6.0,6.0,linear
18,123698,29010,1,0.493835,0.663739,0.5,6.0,6.0,linear
19,122755,26265,1,0.508395,0.690787,0.5,6.0,6.0,linear
20,121432,23976,1,0.521521,0.712418,0.5,6.0,6.0,linear
21,119101,21878,1,0.532036,0.729765,0.5,6.0,6.0,linear
22,116919,20185,1,0.54327,0.744035,0.5,6.0,6.0,linear
23,114008,18723,1,0.553084,0.756707,0.5,6.0,6.0,linear
24,112197,17464,1,0.563448,0.769338,0.5,6.0,6.0,linear
25,110396,16288,1,0.573703,0.778936,0.5,6.0,6.0,linear
26,107621,15341,1,0.582044,0.788358,0.5,6.0,6.0,linear
27,105178,14286,1,0.589923,0.796044,0.5,6.0,6.0,linear
28,103400,13454,1,0.600149,0.803685,0.5,6.0,6.0,linear
29,101031,12548,1,0.608435,0.811302,0.5,6.0,6.0,linear
30,99018,11898,1,0.616282,0.818904,0.5,6.0,6.0,linear
31,97386,11008,1,0.6253,0.826188,0.5,6.0,6.0,linear
32,95596,10304,1,0.636167,0.833511,0.5,6.0,6.0,linear
33,93187,9570,1,0.647308,0.84096,0.5,6.0,6.0,linear
34,90459,8761,1,0.6581,0.850577,0.5,6.0,6.0,linear
35,88490,7985,1,0.670245,0.859093,0.5,6.0,6.0,linear
36,86767,7307,1,0.682755,0.867205,0.5,6.0,6.0,linear
37,84378,6769,1,0.696429,0.875908,0.5,6.0,6.0,linear
38,81889,6031,1,0.710354,0.885918,0.5,6.0,6.0,linear
39,79841,5425,1,0.727557,0.895107,0.5,6.0,6.0,linear
40,77350,4759,1,0.741104,0.904957,0.5,6.0,6.0,linear
41,75354,4173,1,0.756987,0.91363,0.5,6.0,6.0,linear
42,73081,3615,1,0.775357,0.923174,0.5,6.0,6.0,linear
43,71026,3028,1,0.794314,0.932429,0.5,6.0,6.0,linear
44,68874,2607,1,0.814205,0.940531,0.5,6.0,6.0,linear
45,66887,2181,1,0.832968,0.948804,0.5,6.0,6.0,linear
46,65160,1804,1,0.852976,0.957018,0.5,6.0,6.0,linear
47,63296,1451,1,0.87167,0.963652,0.5,6.0,6.0,linear
48,62159,1191,1,0.889299,0.971131,0.5,6.0,6.0,linear
49,60935,914,1,0.907475,0.976919,0.5,6.0,6.0,linear
50,59464,693,1,0.923703,0.982298,0.5,6.0,6.0,linear
51,58366,527,1,0.938479,0.985948,0.5,6.0,6.0,linear
52,57362,413,1,0.951813,0.989974,0.5,6.0,6.0,linear
53,56810,296,1,0.961921,0.992871,0.5,6.0,6.0,linear
54,56280,202,1,0.970785,0.995244,0.5,6.0,6.0,linear
55,55558,126,1,0.979094,0.996816,0.5,6.0,6.0,linear
56,55464,75,1,0.985792,0.997941,0.5,6.0,6.0,linear
57,54708,40,1,0.991122,0.998963,0.5,6.0,6.0,linear
58,54348,15,1,0.994926,0.999596,0.5,6.0,6.0,linear
59,54352,8,1,0.997225,0.999835,0.5,6.0,6.0,linear
60,54297,4,1,0.998592,0.999926,0.5,6.0,6.0,linear
61,54400,3,1,0.999348,0.999945,0.5,6.0,6.0,linear
62,54403,0,1,0.999513,1.0,0.5,6.0,6.0,linear

