generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,germline_resistance,drop_ratio,embryo_resistance,low_density_growth_rate,density_growth_curve
1,78308,49405,1,0.0,0.0,0.5,0.15,2.9,0.0,6.0,linear
2,78393,49519,1,0.0,0.0,0.5,0.15,2.9,0.0,6.0,linear
3,79423,50238,1,0.0,0.0,0.5,0.15,2.9,0.0,6.0,linear
4,78883,50048,1,0.0,0.0,0.5,0.15,2.9,0.0,6.0,linear
5,78045,49725,1,0.0,0.0,0.5,0.15,2.9,0.0,6.0,linear
6,77945,49934,1,0.0,0.0,0.5,0.15,2.9,0.0,6.0,linear
7,79403,50429,1,0.0,0.0,0.5,0.15,2.9,0.0,6.0,linear
8,78565,50205,1,0.0,0.0,0.5,0.15,2.9,0.0,6.0,linear
9,78095,49895,1,0.0,0.0,0.5,0.15,2.9,0.0,6.0,linear
10,78498,49810,1,0.0,0.0,0.5,0.15,2.9,0.0,6.0,linear
11,96389,49908,1,0.140884,0.140884,0.5,0.15,2.9,0.0,6.0,linear
12,104176,49556,1,0.20968,0.223332,0.5,0.15,2.9,0.0,6.0,linear
13,103298,48277,1,0.233349,0.266655,0.5,0.15,2.9,0.0,6.0,linear
14,100069,44828,1,0.260159,0.321234,0.5,0.15,2.9,0.0,6.0,linear
15,98885,42012,1,0.284145,0.374293,0.5,0.15,2.9,0.0,6.0,linear
16,99331,39525,1,0.305199,0.420209,0.5,0.15,2.9,0.0,6.0,linear
17,99798,36986,1,0.325428,0.46371,0.5,0.15,2.9,0.0,6.0,linear
18,100034,34796,1,0.340525,0.496064,0.5,0.15,2.9,0.0,6.0,linear
19,100164,33221,1,0.353775,0.52408,0.5,0.15,2.9,0.0,6.0,linear
20,100218,31908,1,0.364313,0.544825,0.5,0.15,2.9,0.0,6.0,linear
21,98687,30263,1,0.374019,0.5649,0.5,0.15,2.9,0.0,6.0,linear
22,97993,28978,1,0.382974,0.581486,0.5,0.15,2.9,0.0,6.0,linear
23,97131,27798,1,0.392092,0.597679,0.5,0.15,2.9,0.0,6.0,linear
24,95748,26300,1,0.400643,0.611625,0.5,0.15,2.9,0.0,6.0,linear
