generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,germline_resistance,drop_ratio,embryo_resistance,low_density_growth_rate,density_growth_curve
1,78478,49214,1,0.0,0.0,0.5,0.325,2.75,0.0,6.0,linear
2,78176,49298,1,0.0,0.0,0.5,0.325,2.75,0.0,6.0,linear
3,79334,50091,1,0.0,0.0,0.5,0.325,2.75,0.0,6.0,linear
4,80262,50890,1,0.0,0.0,0.5,0.325,2.75,0.0,6.0,linear
5,79536,50899,1,0.0,0.0,0.5,0.325,2.75,0.0,6.0,linear
6,76877,49556,1,0.0,0.0,0.5,0.325,2.75,0.0,6.0,linear
7,76698,49243,1,0.0,0.0,0.5,0.325,2.75,0.0,6.0,linear
8,78454,49770,1,0.0,0.0,0.5,0.325,2.75,0.0,6.0,linear
9,78960,49571,1,0.0,0.0,0.5,0.325,2.75,0.0,6.0,linear
10,79209,49806,1,0.0,0.0,0.5,0.325,2.75,0.0,6.0,linear
11,95480,49854,1,0.133277,0.133277,0.5,0.325,2.75,0.0,6.0,linear
12,104327,50571,1,0.19827,0.210833,0.5,0.325,2.75,0.0,6.0,linear
13,102582,48793,1,0.222872,0.255092,0.5,0.325,2.75,0.0,6.0,linear
14,97915,45031,1,0.248139,0.306167,0.5,0.325,2.75,0.0,6.0,linear
15,97005,42390,1,0.271836,0.358012,0.5,0.325,2.75,0.0,6.0,linear
16,98042,40186,1,0.292144,0.40265,0.5,0.325,2.75,0.0,6.0,linear
17,98363,37566,1,0.313128,0.446094,0.5,0.325,2.75,0.0,6.0,linear
18,98390,35236,1,0.328868,0.479719,0.5,0.325,2.75,0.0,6.0,linear
19,98621,33742,1,0.340946,0.505371,0.5,0.325,2.75,0.0,6.0,linear
20,98677,32516,1,0.349981,0.525696,0.5,0.325,2.75,0.0,6.0,linear
21,98360,31348,1,0.359278,0.543353,0.5,0.325,2.75,0.0,6.0,linear
22,97485,30004,1,0.366802,0.556975,0.5,0.325,2.75,0.0,6.0,linear
23,97206,29169,1,0.372389,0.568943,0.5,0.325,2.75,0.0,6.0,linear
24,96536,28158,1,0.378814,0.579366,0.5,0.325,2.75,0.0,6.0,linear
25,95773,27350,1,0.384714,0.589937,0.5,0.325,2.75,0.0,6.0,linear
26,94296,26400,1,0.38865,0.597553,0.5,0.325,2.75,0.0,6.0,linear
27,93436,25617,1,0.394028,0.60663,0.5,0.325,2.75,0.0,6.0,linear
28,93289,25256,1,0.396702,0.611312,0.5,0.325,2.75,0.0,6.0,linear
29,92702,24896,1,0.399667,0.616138,0.5,0.325,2.75,0.0,6.0,linear
30,91852,24298,1,0.401365,0.61781,0.5,0.325,2.75,0.0,6.0,linear
31,91319,24036,1,0.405387,0.622855,0.5,0.325,2.75,0.0,6.0,linear
32,90680,23614,1,0.406906,0.626884,0.5,0.325,2.75,0.0,6.0,linear
33,90269,23315,1,0.407848,0.628956,0.5,0.325,2.75,0.0,6.0,linear
34,89552,22729,1,0.412286,0.635777,0.5,0.325,2.75,0.0,6.0,linear
35,88775,22286,1,0.413816,0.637385,0.5,0.325,2.75,0.0,6.0,linear
36,88334,22057,1,0.41671,0.640777,0.5,0.325,2.75,0.0,6.0,linear
37,87530,21559,1,0.418942,0.644791,0.5,0.325,2.75,0.0,6.0,linear
38,87177,21231,1,0.422034,0.648602,0.5,0.325,2.75,0.0,6.0,linear
39,86562,20917,1,0.423484,0.650911,0.5,0.325,2.75,0.0,6.0,linear
40,85801,20597,1,0.424137,0.652214,0.5,0.325,2.75,0.0,6.0,linear
41,85274,20286,1,0.425501,0.652685,0.5,0.325,2.75,0.0,6.0,linear
42,84992,20210,1,0.426745,0.65265,0.5,0.325,2.75,0.0,6.0,linear
43,84395,20015,1,0.429474,0.65715,0.5,0.325,2.75,0.0,6.0,linear
44,83830,19723,1,0.429714,0.657707,0.5,0.325,2.75,0.0,6.0,linear
45,83919,19645,1,0.429878,0.657215,0.5,0.325,2.75,0.0,6.0,linear
46,83371,19527,1,0.430592,0.657034,0.5,0.325,2.75,0.0,6.0,linear
47,83257,19437,1,0.432757,0.66005,0.5,0.325,2.75,0.0,6.0,linear
48,82337,19237,1,0.432575,0.660541,0.5,0.325,2.75,0.0,6.0,linear
49,82216,18982,1,0.43528,0.664953,0.5,0.325,2.75,0.0,6.0,linear
50,81793,18779,1,0.437544,0.667299,0.5,0.325,2.75,0.0,6.0,linear
51,81558,18499,1,0.438082,0.666918,0.5,0.325,2.75,0.0,6.0,linear
52,81189,18384,1,0.440655,0.669977,0.5,0.325,2.75,0.0,6.0,linear
53,80574,18054,1,0.441383,0.672773,0.5,0.325,2.75,0.0,6.0,linear
54,80655,17896,1,0.443356,0.675417,0.5,0.325,2.75,0.0,6.0,linear
55,80380,17657,1,0.445737,0.678168,0.5,0.325,2.75,0.0,6.0,linear
56,79931,17514,1,0.445854,0.679023,0.5,0.325,2.75,0.0,6.0,linear
57,79463,17383,1,0.446765,0.679352,0.5,0.325,2.75,0.0,6.0,linear
58,79403,17449,1,0.448618,0.681377,0.5,0.325,2.75,0.0,6.0,linear
59,78505,17126,1,0.44896,0.682301,0.5,0.325,2.75,0.0,6.0,linear
60,78574,17062,1,0.450502,0.683976,0.5,0.325,2.75,0.0,6.0,linear
61,77986,16922,1,0.450769,0.684397,0.5,0.325,2.75,0.0,6.0,linear
62,77686,16791,1,0.453258,0.688395,0.5,0.325,2.75,0.0,6.0,linear
63,77789,16584,1,0.454711,0.688687,0.5,0.325,2.75,0.0,6.0,linear
64,77498,16544,1,0.455845,0.69098,0.5,0.325,2.75,0.0,6.0,linear
65,77139,16403,1,0.45646,0.690644,0.5,0.325,2.75,0.0,6.0,linear
66,76576,16256,1,0.457474,0.692538,0.5,0.325,2.75,0.0,6.0,linear
67,76143,16022,1,0.458026,0.69423,0.5,0.325,2.75,0.0,6.0,linear
68,76039,15931,1,0.459344,0.694522,0.5,0.325,2.75,0.0,6.0,linear
69,75617,15820,1,0.459107,0.694385,0.5,0.325,2.75,0.0,6.0,linear
70,75467,15842,1,0.459541,0.693709,0.5,0.325,2.75,0.0,6.0,linear
71,75072,15848,1,0.459768,0.694238,0.5,0.325,2.75,0.0,6.0,linear
72,75222,15764,1,0.460797,0.695731,0.5,0.325,2.75,0.0,6.0,linear
73,75131,15558,1,0.46215,0.696765,0.5,0.325,2.75,0.0,6.0,linear
74,74529,15459,1,0.461641,0.696424,0.5,0.325,2.75,0.0,6.0,linear
75,74610,15396,1,0.465141,0.701033,0.5,0.325,2.75,0.0,6.0,linear
76,73779,15123,1,0.464737,0.699637,0.5,0.325,2.75,0.0,6.0,linear
77,73655,15163,1,0.465257,0.700339,0.5,0.325,2.75,0.0,6.0,linear
78,73835,14911,1,0.46762,0.70238,0.5,0.325,2.75,0.0,6.0,linear
79,74000,15005,1,0.466792,0.702175,0.5,0.325,2.75,0.0,6.0,linear
80,73480,14871,1,0.467315,0.704104,0.5,0.325,2.75,0.0,6.0,linear
81,73093,14674,1,0.467555,0.702899,0.5,0.325,2.75,0.0,6.0,linear
82,73013,14695,1,0.467289,0.701314,0.5,0.325,2.75,0.0,6.0,linear
83,72955,14793,1,0.46868,0.703919,0.5,0.325,2.75,0.0,6.0,linear
84,72626,14603,1,0.469008,0.704371,0.5,0.325,2.75,0.0,6.0,linear
85,72506,14574,1,0.469609,0.703718,0.5,0.325,2.75,0.0,6.0,linear
86,72600,14624,1,0.469222,0.703197,0.5,0.325,2.75,0.0,6.0,linear
87,72601,14670,1,0.469277,0.704608,0.5,0.325,2.75,0.0,6.0,linear
88,73006,14582,1,0.470074,0.704769,0.5,0.325,2.75,0.0,6.0,linear
89,72847,14627,1,0.470742,0.705848,0.5,0.325,2.75,0.0,6.0,linear
90,72293,14546,1,0.471587,0.708426,0.5,0.325,2.75,0.0,6.0,linear
