generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,germline_resistance,drop_ratio,embryo_resistance,low_density_growth_rate,density_growth_curve
1,78069,49241,1,0.0,0.0,0.5,0.000792,5.05,0.0,6.0,linear
2,77961,48918,1,0.0,0.0,0.5,0.000792,5.05,0.0,6.0,linear
3,79172,49719,1,0.0,0.0,0.5,0.000792,5.05,0.0,6.0,linear
4,79856,50342,1,0.0,0.0,0.5,0.000792,5.05,0.0,6.0,linear
5,79393,50459,1,0.0,0.0,0.5,0.000792,5.05,0.0,6.0,linear
6,79020,50360,1,0.0,0.0,0.5,0.000792,5.05,0.0,6.0,linear
7,77921,49766,1,0.0,0.0,0.5,0.000792,5.05,0.0,6.0,linear
8,77629,49489,1,0.0,0.0,0.5,0.000792,5.05,0.0,6.0,linear
9,78882,49927,1,0.0,0.0,0.5,0.000792,5.05,0.0,6.0,linear
10,79879,50473,1,0.0,0.0,0.5,0.000792,5.05,0.0,6.0,linear
11,110045,50571,1,0.219424,0.219424,0.5,0.000792,5.05,0.0,6.0,linear
12,123997,50143,1,0.313824,0.328956,0.5,0.000792,5.05,0.0,6.0,linear
13,120942,47371,1,0.342951,0.381086,0.5,0.000792,5.05,0.0,6.0,linear
14,117039,43100,1,0.373316,0.443003,0.5,0.000792,5.05,0.0,6.0,linear
15,116082,39280,1,0.400114,0.503076,0.5,0.000792,5.05,0.0,6.0,linear
16,116298,35695,1,0.424697,0.558479,0.5,0.000792,5.05,0.0,6.0,linear
17,116029,32121,1,0.447125,0.606126,0.5,0.000792,5.05,0.0,6.0,linear
18,115312,28897,1,0.465998,0.644583,0.5,0.000792,5.05,0.0,6.0,linear
19,114185,26288,1,0.480987,0.67241,0.5,0.000792,5.05,0.0,6.0,linear
20,112978,24250,1,0.49348,0.694577,0.5,0.000792,5.05,0.0,6.0,linear
21,111065,22212,1,0.505969,0.713399,0.5,0.000792,5.05,0.0,6.0,linear
22,108624,20538,1,0.515607,0.727371,0.5,0.000792,5.05,0.0,6.0,linear
23,106418,19101,1,0.526448,0.741824,0.5,0.000792,5.05,0.0,6.0,linear
24,103914,17512,1,0.53585,0.753568,0.5,0.000792,5.05,0.0,6.0,linear
25,102120,16394,1,0.544249,0.762363,0.5,0.000792,5.05,0.0,6.0,linear
26,99558,15353,1,0.553891,0.773042,0.5,0.000792,5.05,0.0,6.0,linear
27,97201,14180,1,0.564292,0.781578,0.5,0.000792,5.05,0.0,6.0,linear
28,94799,13395,1,0.574264,0.78993,0.5,0.000792,5.05,0.0,6.0,linear
29,92161,12519,1,0.58163,0.797175,0.5,0.000792,5.05,0.0,6.0,linear
30,90402,11866,1,0.589045,0.803469,0.5,0.000792,5.05,0.0,6.0,linear
31,88633,10994,1,0.599629,0.813599,0.5,0.000792,5.05,0.0,6.0,linear
32,86173,10195,1,0.609144,0.820453,0.5,0.000792,5.05,0.0,6.0,linear
33,84228,9526,1,0.62008,0.827986,0.5,0.000792,5.05,0.0,6.0,linear
34,81846,8818,1,0.632488,0.836145,0.5,0.000792,5.05,0.0,6.0,linear
35,79738,8149,1,0.641894,0.844537,0.5,0.000792,5.05,0.0,6.0,linear
36,77997,7483,1,0.653654,0.852957,0.5,0.000792,5.05,0.0,6.0,linear
37,75993,6782,1,0.665813,0.862784,0.5,0.000792,5.05,0.0,6.0,linear
38,74190,6123,1,0.680622,0.871054,0.5,0.000792,5.05,0.0,6.0,linear
39,71818,5564,1,0.693425,0.877876,0.5,0.000792,5.05,0.0,6.0,linear
40,70086,5103,1,0.707622,0.885245,0.5,0.000792,5.05,0.0,6.0,linear
41,67851,4616,1,0.722965,0.894053,0.5,0.000792,5.05,0.0,6.0,linear
42,65519,4073,1,0.737512,0.903387,0.5,0.000792,5.05,0.0,6.0,linear
43,63581,3588,1,0.756267,0.913338,0.5,0.000792,5.05,0.0,6.0,linear
44,61670,3065,1,0.772367,0.922199,0.5,0.000792,5.05,0.0,6.0,linear
45,60187,2615,1,0.791222,0.93071,0.5,0.000792,5.05,0.0,6.0,linear
46,58759,2248,1,0.811792,0.940615,0.5,0.000792,5.05,0.0,6.0,linear
47,56714,1857,1,0.832091,0.948436,0.5,0.000792,5.05,0.0,6.0,linear
48,54987,1520,1,0.851725,0.956805,0.5,0.000792,5.05,0.0,6.0,linear
49,53614,1216,1,0.871144,0.96415,0.5,0.000792,5.05,0.0,6.0,linear
50,52207,968,1,0.891934,0.970303,0.5,0.000792,5.05,0.0,6.0,linear
51,50934,745,1,0.908287,0.976471,0.5,0.000792,5.05,0.0,6.0,linear
52,50077,591,1,0.924419,0.98144,0.5,0.000792,5.05,0.0,6.0,linear
53,49046,460,1,0.93956,0.985815,0.5,0.000792,5.05,0.0,6.0,linear
54,48420,332,1,0.954101,0.990035,0.5,0.000792,5.05,0.0,6.0,linear
55,47329,232,1,0.966312,0.993099,0.5,0.000792,5.05,0.0,6.0,linear
56,47070,157,1,0.974764,0.995674,0.5,0.000792,5.05,0.0,6.0,linear
57,46553,88,1,0.983257,0.997722,0.5,0.000792,5.05,0.0,6.0,linear
58,46344,48,1,0.9886,0.998886,0.5,0.000792,5.05,0.0,6.0,linear
59,46060,18,1,0.992456,0.999589,0.5,0.000792,5.05,0.0,6.0,linear
60,45786,5,1,0.99628,0.999891,0.5,0.000792,5.05,0.0,6.0,linear
61,45645,2,1,0.997942,0.999912,0.5,0.000792,5.05,0.0,6.0,linear
62,45665,3,1,0.999091,0.999934,0.5,0.000792,5.05,0.0,6.0,linear
