generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,77830,48928,1,0.0,0.0,0.0,0.0,10.0,linear
2,77573,48860,1,0.0,0.0,0.0,0.0,10.0,linear
3,82127,51333,1,0.0,0.0,0.0,0.0,10.0,linear
4,81517,51385,1,0.0,0.0,0.0,0.0,10.0,linear
5,74148,48027,1,0.0,0.0,0.0,0.0,10.0,linear
6,74849,48259,1,0.0,0.0,0.0,0.0,10.0,linear
7,83886,52331,1,0.0,0.0,0.0,0.0,10.0,linear
8,83313,52168,1,0.0,0.0,0.0,0.0,10.0,linear
9,71231,46637,1,0.0,0.0,0.0,0.0,10.0,linear
10,73099,47760,1,0.0,0.0,0.0,0.0,10.0,linear
11,87956,54573,1,0.0,0.0,0.0,0.0,10.0,linear
12,83381,52219,1,0.0,0.0,0.0,0.0,10.0,linear
13,64357,43255,1,0.0,0.0,0.0,0.0,10.0,linear
14,73771,48014,1,0.0,0.0,0.0,0.0,10.0,linear
15,93593,57338,1,0.0,0.0,0.0,0.0,10.0,linear
16,85268,52948,1,0.0,0.0,0.0,0.0,10.0,linear
17,53614,38034,1,0.0,0.0,0.0,0.0,10.0,linear
18,72731,47469,1,0.0,0.0,0.0,0.0,10.0,linear
19,102676,61260,1,0.0,0.0,0.0,0.0,10.0,linear
20,84861,52267,1,0.0,0.0,0.0,0.0,10.0,linear
21,51202,37145,1,0.0,0.0,0.0,0.0,10.0,linear
22,75845,49444,1,0.0,0.0,0.0,0.0,10.0,linear
23,104267,62149,1,0.0,0.0,0.0,0.0,10.0,linear
24,78437,48767,1,0.0,0.0,0.0,0.0,10.0,linear
25,45525,33960,1,0.0,0.0,0.0,0.0,10.0,linear
26,84224,53420,1,0.0,0.0,0.0,0.0,10.0,linear
27,109619,64716,1,0.0,0.0,0.0,0.0,10.0,linear
28,73033,46423,1,0.0,0.0,0.0,0.0,10.0,linear
29,40615,32222,1,0.0,0.0,0.0,0.0,10.0,linear
30,89783,56168,1,0.0,0.0,0.0,0.0,10.0,linear
31,112185,65460,1,0.0,0.0,0.0,0.0,10.0,linear
32,74068,46643,1,0.0,0.0,0.0,0.0,10.0,linear
33,40755,32845,1,0.0,0.0,0.0,0.0,10.0,linear
34,89527,56398,1,0.0,0.0,0.0,0.0,10.0,linear
35,110864,64956,1,0.0,0.0,0.0,0.0,10.0,linear
36,72943,45995,1,0.0,0.0,0.0,0.0,10.0,linear
37,40515,32499,1,0.0,0.0,0.0,0.0,10.0,linear
38,90056,56475,1,0.0,0.0,0.0,0.0,10.0,linear
39,111228,65133,1,0.0,0.0,0.0,0.0,10.0,linear
40,73132,46130,1,0.0,0.0,0.0,0.0,10.0,linear
41,40461,32572,1,0.0,0.0,0.0,0.0,10.0,linear
42,89970,56432,1,0.0,0.0,0.0,0.0,10.0,linear

