generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78346,49374,1,0.0,0.0,0.0,1.0,6.0,linear
2,78265,49226,1,0.0,0.0,0.0,1.0,6.0,linear
3,80076,50309,1,0.0,0.0,0.0,1.0,6.0,linear
4,80621,50826,1,0.0,0.0,0.0,1.0,6.0,linear
5,78225,49856,1,0.0,0.0,0.0,1.0,6.0,linear
6,77628,49647,1,0.0,0.0,0.0,1.0,6.0,linear
7,78708,50207,1,0.0,0.0,0.0,1.0,6.0,linear
8,78737,50152,1,0.0,0.0,0.0,1.0,6.0,linear
9,78451,50160,1,0.0,0.0,0.0,1.0,6.0,linear
10,78292,49855,1,0.0,0.0,0.0,1.0,6.0,linear
11,84550,49982,1,0.0531452,0.0531452,0.0,1.0,6.0,linear
12,87838,50218,1,0.0818385,0.0871882,0.0,1.0,6.0,linear
13,87469,49545,1,0.0933929,0.107656,0.0,1.0,6.0,linear
14,84735,47478,1,0.1053,0.130849,0.0,1.0,6.0,linear
15,84148,46272,1,0.115983,0.154134,0.0,1.0,6.0,linear
16,86006,46291,1,0.12368,0.172275,0.0,1.0,6.0,linear
17,87949,46421,1,0.131126,0.187195,0.0,1.0,6.0,linear
18,88090,45938,1,0.135495,0.197254,0.0,1.0,6.0,linear
19,87797,45451,1,0.139815,0.205495,0.0,1.0,6.0,linear
20,87237,44825,1,0.143072,0.212325,0.0,1.0,6.0,linear
21,87905,45014,1,0.144599,0.215153,0.0,1.0,6.0,linear
22,88087,44869,1,0.146659,0.219584,0.0,1.0,6.0,linear
23,87987,44716,1,0.147103,0.221282,0.0,1.0,6.0,linear
24,88351,44647,1,0.14776,0.222525,0.0,1.0,6.0,linear
25,89487,45270,1,0.147938,0.222906,0.0,1.0,6.0,linear
26,89212,45083,1,0.149146,0.225028,0.0,1.0,6.0,linear
27,87915,44624,1,0.148377,0.2244,0.0,1.0,6.0,linear
28,87590,44469,1,0.149127,0.225275,0.0,1.0,6.0,linear
29,88541,44762,1,0.150086,0.226789,0.0,1.0,6.0,linear
30,88187,44409,1,0.150555,0.227824,0.0,1.0,6.0,linear
31,88338,44701,1,0.148791,0.225467,0.0,1.0,6.0,linear
32,88440,44678,1,0.149511,0.225863,0.0,1.0,6.0,linear
33,88830,44739,1,0.149754,0.226058,0.0,1.0,6.0,linear
34,88731,44881,1,0.150107,0.226948,0.0,1.0,6.0,linear
35,88050,44394,1,0.151562,0.229812,0.0,1.0,6.0,linear
36,87795,44233,1,0.151547,0.229258,0.0,1.0,6.0,linear
37,88080,44134,1,0.151081,0.229178,0.0,1.0,6.0,linear
38,88711,44342,1,0.15197,0.230593,0.0,1.0,6.0,linear
39,88755,44549,1,0.150717,0.228756,0.0,1.0,6.0,linear
40,88773,44702,1,0.151038,0.23036,0.0,1.0,6.0,linear
41,89140,44650,1,0.15187,0.230302,0.0,1.0,6.0,linear
42,88678,44455,1,0.151823,0.229982,0.0,1.0,6.0,linear
43,87968,44232,1,0.151006,0.228699,0.0,1.0,6.0,linear
44,88044,44185,1,0.150818,0.228586,0.0,1.0,6.0,linear
45,88954,44514,1,0.149735,0.226983,0.0,1.0,6.0,linear
46,88545,44316,1,0.150164,0.227379,0.0,1.0,6.0,linear
47,88806,44677,1,0.150487,0.228615,0.0,1.0,6.0,linear
48,88744,44653,1,0.149977,0.227486,0.0,1.0,6.0,linear
49,87790,44348,1,0.151005,0.228735,0.0,1.0,6.0,linear
50,88818,44718,1,0.151504,0.230045,0.0,1.0,6.0,linear
51,88883,44728,1,0.152021,0.230887,0.0,1.0,6.0,linear
52,88890,44707,1,0.151295,0.229918,0.0,1.0,6.0,linear
53,88130,44403,1,0.151223,0.229502,0.0,1.0,6.0,linear
54,88593,44210,1,0.151218,0.228955,0.0,1.0,6.0,linear
55,87961,44186,1,0.149952,0.227618,0.0,1.0,6.0,linear
56,89004,44627,1,0.150515,0.228069,0.0,1.0,6.0,linear
57,88814,44671,1,0.150046,0.226867,0.0,1.0,6.0,linear
58,88759,44757,1,0.148906,0.225836,0.0,1.0,6.0,linear
59,88543,44738,1,0.150188,0.227456,0.0,1.0,6.0,linear
60,88967,44706,1,0.150533,0.22831,0.0,1.0,6.0,linear
61,88778,44420,1,0.151557,0.229803,0.0,1.0,6.0,linear
62,88553,44390,1,0.151062,0.229124,0.0,1.0,6.0,linear
63,88108,44159,1,0.152897,0.232351,0.0,1.0,6.0,linear
64,88269,44107,1,0.152471,0.231718,0.0,1.0,6.0,linear
65,88955,44518,1,0.15183,0.230729,0.0,1.0,6.0,linear
66,88637,44636,1,0.151229,0.228722,0.0,1.0,6.0,linear
67,88545,44553,1,0.150933,0.227989,0.0,1.0,6.0,linear
68,88089,44482,1,0.150395,0.227962,0.0,1.0,6.0,linear
69,88571,44474,1,0.151456,0.22927,0.0,1.0,6.0,linear
70,88156,44224,1,0.151953,0.230189,0.0,1.0,6.0,linear
71,88449,44374,1,0.150888,0.228394,0.0,1.0,6.0,linear
72,88328,44578,1,0.149745,0.227035,0.0,1.0,6.0,linear
73,88929,44732,1,0.150274,0.227629,0.0,1.0,6.0,linear
74,88572,44693,1,0.150398,0.227936,0.0,1.0,6.0,linear
75,88083,44272,1,0.151131,0.228807,0.0,1.0,6.0,linear
76,87568,43942,1,0.151123,0.228875,0.0,1.0,6.0,linear
77,88434,44175,1,0.151155,0.229284,0.0,1.0,6.0,linear
78,88982,44236,1,0.151866,0.230699,0.0,1.0,6.0,linear
79,88960,44248,1,0.151956,0.230789,0.0,1.0,6.0,linear
80,89353,44780,1,0.15042,0.228371,0.0,1.0,6.0,linear
81,88542,44689,1,0.150137,0.227821,0.0,1.0,6.0,linear
82,88345,44545,1,0.150317,0.227582,0.0,1.0,6.0,linear
83,88201,44333,1,0.150965,0.228011,0.0,1.0,6.0,linear
84,88125,44289,1,0.150359,0.227899,0.0,1.0,6.0,linear
85,88860,44580,1,0.14957,0.227172,0.0,1.0,6.0,linear
86,88888,44409,1,0.151476,0.230178,0.0,1.0,6.0,linear
87,88962,44336,1,0.151317,0.229701,0.0,1.0,6.0,linear
88,88882,44483,1,0.15134,0.230485,0.0,1.0,6.0,linear
89,88625,44464,1,0.151266,0.229572,0.0,1.0,6.0,linear
90,88266,44363,1,0.150821,0.229031,0.0,1.0,6.0,linear
91,88685,44576,1,0.150885,0.229685,0.0,1.0,6.0,linear
92,88878,44616,1,0.15168,0.230617,0.0,1.0,6.0,linear
93,88954,44684,1,0.152091,0.231132,0.0,1.0,6.0,linear
94,88255,44300,1,0.151934,0.230834,0.0,1.0,6.0,linear
95,87943,43987,1,0.151943,0.230149,0.0,1.0,6.0,linear
96,88260,44365,1,0.151281,0.229878,0.0,1.0,6.0,linear
97,89365,44904,1,0.150177,0.228152,0.0,1.0,6.0,linear
98,89144,44653,1,0.150825,0.228791,0.0,1.0,6.0,linear
99,88364,44463,1,0.150813,0.228685,0.0,1.0,6.0,linear
100,87730,44341,1,0.149589,0.227014,0.0,1.0,6.0,linear
101,88620,44753,1,0.149059,0.22532,0.0,1.0,6.0,linear
