generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78119,49089,1,0.0,0.0,0.0,0.0,10.0,concave
2,78274,49072,1,0.0,0.0,0.0,0.0,10.0,concave
3,78250,49230,1,0.0,0.0,0.0,0.0,10.0,concave
4,78017,49543,1,0.0,0.0,0.0,0.0,10.0,concave
5,78046,49594,1,0.0,0.0,0.0,0.0,10.0,concave
6,78095,49584,1,0.0,0.0,0.0,0.0,10.0,concave
7,78255,49836,1,0.0,0.0,0.0,0.0,10.0,concave
8,78270,49664,1,0.0,0.0,0.0,0.0,10.0,concave
9,78193,49770,1,0.0,0.0,0.0,0.0,10.0,concave
10,78472,49861,1,0.0,0.0,0.0,0.0,10.0,concave
11,78754,50130,1,0.0,0.0,0.0,0.0,10.0,concave
12,78669,49914,1,0.0,0.0,0.0,0.0,10.0,concave
13,78788,50101,1,0.0,0.0,0.0,0.0,10.0,concave
14,78954,50008,1,0.0,0.0,0.0,0.0,10.0,concave
15,78741,49979,1,0.0,0.0,0.0,0.0,10.0,concave
16,78607,49866,1,0.0,0.0,0.0,0.0,10.0,concave
17,78355,49774,1,0.0,0.0,0.0,0.0,10.0,concave
18,78085,49661,1,0.0,0.0,0.0,0.0,10.0,concave
19,78071,49894,1,0.0,0.0,0.0,0.0,10.0,concave
20,78109,49772,1,0.0,0.0,0.0,0.0,10.0,concave
21,78037,49709,1,0.0,0.0,0.0,0.0,10.0,concave
22,78362,49810,1,0.0,0.0,0.0,0.0,10.0,concave
23,78391,49907,1,0.0,0.0,0.0,0.0,10.0,concave
24,78584,49919,1,0.0,0.0,0.0,0.0,10.0,concave
25,78682,49856,1,0.0,0.0,0.0,0.0,10.0,concave
26,78340,49659,1,0.0,0.0,0.0,0.0,10.0,concave
27,78423,49877,1,0.0,0.0,0.0,0.0,10.0,concave
28,78292,49725,1,0.0,0.0,0.0,0.0,10.0,concave
29,78266,49469,1,0.0,0.0,0.0,0.0,10.0,concave
30,77792,49181,1,0.0,0.0,0.0,0.0,10.0,concave
31,77568,49238,1,0.0,0.0,0.0,0.0,10.0,concave
32,78119,49592,1,0.0,0.0,0.0,0.0,10.0,concave
33,77904,49489,1,0.0,0.0,0.0,0.0,10.0,concave
34,78502,49716,1,0.0,0.0,0.0,0.0,10.0,concave
35,78224,49750,1,0.0,0.0,0.0,0.0,10.0,concave
36,78529,49881,1,0.0,0.0,0.0,0.0,10.0,concave
37,78855,50224,1,0.0,0.0,0.0,0.0,10.0,concave
38,78633,50019,1,0.0,0.0,0.0,0.0,10.0,concave
39,78682,50025,1,0.0,0.0,0.0,0.0,10.0,concave
40,78378,49865,1,0.0,0.0,0.0,0.0,10.0,concave
41,78409,49684,1,0.0,0.0,0.0,0.0,10.0,concave
42,78377,49623,1,0.0,0.0,0.0,0.0,10.0,concave

