generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78332,49341,1,0.0,0.0,0.0,160.0,10.0,convex
2,78209,49302,1,0.0,0.0,0.0,160.0,10.0,convex
3,85362,52905,1,0.0,0.0,0.0,160.0,10.0,convex
4,77944,49647,1,0.0,0.0,0.0,160.0,10.0,convex
5,59428,40451,1,0.0,0.0,0.0,160.0,10.0,convex
6,98105,59209,1,0.0,0.0,0.0,160.0,10.0,convex
7,107158,63876,1,0.0,0.0,0.0,160.0,10.0,convex
8,71187,47193,1,0.0,0.0,0.0,160.0,10.0,convex
9,39837,33133,1,0.0,0.0,0.0,160.0,10.0,convex
10,118577,70163,1,0.0,0.0,0.0,160.0,10.0,convex
11,1084886,71706,1,0.886728,0.886728,0.0,160.0,10.0,convex
12,1524806,51572,1,0.904947,0.904947,0.0,160.0,10.0,convex
13,1557817,72563,1,0.889321,0.889321,0.0,160.0,10.0,convex
14,1588653,87830,1,0.864677,0.864677,0.0,160.0,10.0,convex
15,1625370,105948,1,0.855639,0.855639,0.0,160.0,10.0,convex
16,1621512,107791,1,0.864099,0.864099,0.0,160.0,10.0,convex
17,1609273,106049,1,0.884425,0.884425,0.0,160.0,10.0,convex
18,1571299,90388,1,0.904623,0.904623,0.0,160.0,10.0,convex
19,1543910,72486,1,0.924344,0.924344,0.0,160.0,10.0,convex
20,1521930,56422,1,0.940946,0.940946,0.0,160.0,10.0,convex
21,1502748,41737,1,0.95517,0.95517,0.0,160.0,10.0,convex
22,1485519,30577,1,0.967683,0.967683,0.0,160.0,10.0,convex
23,1473060,21725,1,0.977863,0.977863,0.0,160.0,10.0,convex
24,1463883,15274,1,0.985255,0.985255,0.0,160.0,10.0,convex
25,1455644,9830,1,0.990872,0.990872,0.0,160.0,10.0,convex
26,1450430,6045,1,0.99456,0.99456,0.0,160.0,10.0,convex
27,1446369,3420,1,0.996992,0.996992,0.0,160.0,10.0,convex
28,1447657,1866,1,0.998406,0.998406,0.0,160.0,10.0,convex
29,1444929,943,1,0.999199,0.999199,0.0,160.0,10.0,convex
30,1443995,481,1,0.999604,0.999604,0.0,160.0,10.0,convex
31,1443243,240,1,0.999803,0.999803,0.0,160.0,10.0,convex
32,1442765,117,1,0.999907,0.999907,0.0,160.0,10.0,convex
33,1442191,46,1,0.999963,0.999963,0.0,160.0,10.0,convex
34,1444036,21,1,0.999983,0.999983,0.0,160.0,10.0,convex
35,1443938,8,1,0.999994,0.999994,0.0,160.0,10.0,convex
36,1442620,1,1,0.999999,0.999999,0.0,160.0,10.0,convex
37,1443479,0,1,1.0,1.0,0.0,160.0,10.0,convex

