generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,77865,48829,1,0.0,0.0,0.0,95.0,10.0,linear
2,78417,49268,1,0.0,0.0,0.0,95.0,10.0,linear
3,81277,51121,1,0.0,0.0,0.0,95.0,10.0,linear
4,80756,51453,1,0.0,0.0,0.0,95.0,10.0,linear
5,75964,49358,1,0.0,0.0,0.0,95.0,10.0,linear
6,75593,48887,1,0.0,0.0,0.0,95.0,10.0,linear
7,78693,49980,1,0.0,0.0,0.0,95.0,10.0,linear
8,82165,51491,1,0.0,0.0,0.0,95.0,10.0,linear
9,77850,49539,1,0.0,0.0,0.0,95.0,10.0,linear
10,73000,47201,1,0.0,0.0,0.0,95.0,10.0,linear
11,652859,51451,1,0.833233,0.833233,0.0,95.0,10.0,linear
12,943538,53289,1,0.847905,0.847905,0.0,95.0,10.0,linear
13,981532,72557,1,0.829121,0.829121,0.0,95.0,10.0,linear
14,994499,81394,1,0.82312,0.82312,0.0,95.0,10.0,linear
15,995216,85313,1,0.830738,0.830738,0.0,95.0,10.0,linear
16,981309,81527,1,0.849253,0.849253,0.0,95.0,10.0,linear
17,963890,72623,1,0.870989,0.870989,0.0,95.0,10.0,linear
18,942171,60425,1,0.892529,0.892529,0.0,95.0,10.0,linear
19,923870,47819,1,0.91306,0.91306,0.0,95.0,10.0,linear
20,910374,37821,1,0.931199,0.931199,0.0,95.0,10.0,linear
21,898874,29013,1,0.947967,0.947967,0.0,95.0,10.0,linear
22,888026,21705,1,0.962127,0.962127,0.0,95.0,10.0,linear
23,879418,15810,1,0.973249,0.973249,0.0,95.0,10.0,linear
24,869901,10949,1,0.981977,0.981977,0.0,95.0,10.0,linear
25,865998,7149,1,0.988536,0.988536,0.0,95.0,10.0,linear
26,862294,4404,1,0.993106,0.993106,0.0,95.0,10.0,linear
27,859587,2648,1,0.996008,0.996008,0.0,95.0,10.0,linear
28,859045,1537,1,0.997809,0.997809,0.0,95.0,10.0,linear
29,858000,808,1,0.998879,0.998879,0.0,95.0,10.0,linear
30,858929,417,1,0.999452,0.999452,0.0,95.0,10.0,linear
31,857945,203,1,0.999744,0.999744,0.0,95.0,10.0,linear
32,857253,88,1,0.999893,0.999893,0.0,95.0,10.0,linear
33,856586,42,1,0.999951,0.999951,0.0,95.0,10.0,linear
34,856921,18,1,0.999979,0.999979,0.0,95.0,10.0,linear
35,856778,5,1,0.999994,0.999994,0.0,95.0,10.0,linear
36,856591,0,1,1.0,1.0,0.0,95.0,10.0,linear

