generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78323,49291,1,0.0,0.0,0.0,9.0,5.0,linear
2,78242,49252,1,0.0,0.0,0.0,9.0,5.0,linear
3,78751,49644,1,0.0,0.0,0.0,9.0,5.0,linear
4,79310,50107,1,0.0,0.0,0.0,9.0,5.0,linear
5,79499,50574,1,0.0,0.0,0.0,9.0,5.0,linear
6,79100,50387,1,0.0,0.0,0.0,9.0,5.0,linear
7,78016,49827,1,0.0,0.0,0.0,9.0,5.0,linear
8,76932,49125,1,0.0,0.0,0.0,9.0,5.0,linear
9,77763,49473,1,0.0,0.0,0.0,9.0,5.0,linear
10,79307,50173,1,0.0,0.0,0.0,9.0,5.0,linear
11,134040,50542,1,0.333395,0.333395,0.0,9.0,5.0,linear
12,160145,50317,1,0.405505,0.405505,0.0,9.0,5.0,linear
13,171248,55725,1,0.386476,0.386476,0.0,9.0,5.0,linear
14,178198,59744,1,0.375078,0.375078,0.0,9.0,5.0,linear
15,182658,62676,1,0.373705,0.373705,0.0,9.0,5.0,linear
16,181327,63574,1,0.374822,0.374822,0.0,9.0,5.0,linear
17,180351,63755,1,0.378899,0.378899,0.0,9.0,5.0,linear
18,178268,62668,1,0.383408,0.383408,0.0,9.0,5.0,linear
19,175705,61365,1,0.388088,0.388088,0.0,9.0,5.0,linear
20,173668,59480,1,0.392758,0.392758,0.0,9.0,5.0,linear
21,172929,58299,1,0.398517,0.398517,0.0,9.0,5.0,linear
22,170536,56990,1,0.402816,0.402816,0.0,9.0,5.0,linear
23,168609,55889,1,0.407332,0.407332,0.0,9.0,5.0,linear
24,166883,54899,1,0.411835,0.411835,0.0,9.0,5.0,linear
25,165149,53826,1,0.416011,0.416011,0.0,9.0,5.0,linear
26,164048,53091,1,0.421057,0.421057,0.0,9.0,5.0,linear
27,162784,51955,1,0.426047,0.426047,0.0,9.0,5.0,linear
28,161109,51092,1,0.431299,0.431299,0.0,9.0,5.0,linear
29,158573,49836,1,0.436411,0.436411,0.0,9.0,5.0,linear
30,156870,48778,1,0.442671,0.442671,0.0,9.0,5.0,linear
31,155659,47970,1,0.449631,0.449631,0.0,9.0,5.0,linear
32,153752,46354,1,0.4558,0.4558,0.0,9.0,5.0,linear
33,151764,45338,1,0.4622,0.4622,0.0,9.0,5.0,linear
34,149499,43795,1,0.47121,0.47121,0.0,9.0,5.0,linear
35,147376,42365,1,0.480874,0.480874,0.0,9.0,5.0,linear
36,145258,41168,1,0.489987,0.489987,0.0,9.0,5.0,linear
37,142324,39499,1,0.499831,0.499831,0.0,9.0,5.0,linear
38,139597,37967,1,0.509844,0.509844,0.0,9.0,5.0,linear
39,137256,36461,1,0.522485,0.522485,0.0,9.0,5.0,linear
40,134866,34625,1,0.535554,0.535554,0.0,9.0,5.0,linear
41,132130,32839,1,0.548995,0.548995,0.0,9.0,5.0,linear
42,129073,31080,1,0.5649,0.5649,0.0,9.0,5.0,linear
43,126378,29265,1,0.585456,0.585456,0.0,9.0,5.0,linear
44,122356,26986,1,0.605011,0.605011,0.0,9.0,5.0,linear
45,118665,24862,1,0.626064,0.626064,0.0,9.0,5.0,linear
46,115325,22700,1,0.65137,0.65137,0.0,9.0,5.0,linear
47,111761,20219,1,0.680152,0.680152,0.0,9.0,5.0,linear
48,107728,17729,1,0.709682,0.709682,0.0,9.0,5.0,linear
49,104661,15513,1,0.742041,0.742041,0.0,9.0,5.0,linear
50,100851,13202,1,0.777325,0.777325,0.0,9.0,5.0,linear
51,96940,10790,1,0.812013,0.812013,0.0,9.0,5.0,linear
52,93826,8614,1,0.847254,0.847254,0.0,9.0,5.0,linear
53,90922,6718,1,0.879382,0.879382,0.0,9.0,5.0,linear
54,88264,5154,1,0.906142,0.906142,0.0,9.0,5.0,linear
55,86506,3838,1,0.93088,0.93088,0.0,9.0,5.0,linear
56,85017,2775,1,0.950306,0.950306,0.0,9.0,5.0,linear
57,83908,2000,1,0.966429,0.966429,0.0,9.0,5.0,linear
58,82801,1270,1,0.979145,0.979145,0.0,9.0,5.0,linear
59,82051,766,1,0.988049,0.988049,0.0,9.0,5.0,linear
60,81818,455,1,0.993024,0.993024,0.0,9.0,5.0,linear
61,81204,236,1,0.996441,0.996441,0.0,9.0,5.0,linear
62,81259,116,1,0.998326,0.998326,0.0,9.0,5.0,linear
63,81318,46,1,0.999274,0.999274,0.0,9.0,5.0,linear
64,81310,18,1,0.999779,0.999779,0.0,9.0,5.0,linear
65,81076,7,1,0.999914,0.999914,0.0,9.0,5.0,linear
66,81241,3,1,0.999963,0.999963,0.0,9.0,5.0,linear
67,81136,0,1,1.0,1.0,0.0,9.0,5.0,linear

