generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,77750,48726,1,0.0,0.0,0.0,2.5,6.0,linear
2,77775,48668,1,0.0,0.0,0.0,2.5,6.0,linear
3,80109,50128,1,0.0,0.0,0.0,2.5,6.0,linear
4,82371,51594,1,0.0,0.0,0.0,2.5,6.0,linear
5,79268,50513,1,0.0,0.0,0.0,2.5,6.0,linear
6,76487,49404,1,0.0,0.0,0.0,2.5,6.0,linear
7,77296,49603,1,0.0,0.0,0.0,2.5,6.0,linear
8,79453,50476,1,0.0,0.0,0.0,2.5,6.0,linear
9,78810,49925,1,0.0,0.0,0.0,2.5,6.0,linear
10,78270,49810,1,0.0,0.0,0.0,2.5,6.0,linear
11,92965,49622,1,0.123601,0.123601,0.0,2.5,6.0,linear
12,100577,49685,1,0.164092,0.164092,0.0,2.5,6.0,linear
13,108335,53373,1,0.153939,0.153939,0.0,2.5,6.0,linear
14,116725,57899,1,0.146226,0.146226,0.0,2.5,6.0,linear
15,122109,61572,1,0.14224,0.14224,0.0,2.5,6.0,linear
16,123401,63351,1,0.141781,0.141781,0.0,2.5,6.0,linear
17,123021,64069,1,0.142966,0.142966,0.0,2.5,6.0,linear
18,121804,63898,1,0.144775,0.144775,0.0,2.5,6.0,linear
19,119819,62692,1,0.145753,0.145753,0.0,2.5,6.0,linear
20,118936,61750,1,0.14487,0.14487,0.0,2.5,6.0,linear
21,120673,62229,1,0.144382,0.144382,0.0,2.5,6.0,linear
22,120990,62389,1,0.143521,0.143521,0.0,2.5,6.0,linear
23,121591,62911,1,0.143047,0.143047,0.0,2.5,6.0,linear
24,121838,63159,1,0.143651,0.143651,0.0,2.5,6.0,linear
25,121336,63065,1,0.145418,0.145418,0.0,2.5,6.0,linear
26,119611,62281,1,0.145623,0.145623,0.0,2.5,6.0,linear
27,119468,62052,1,0.144943,0.144943,0.0,2.5,6.0,linear
28,120413,62338,1,0.142583,0.142583,0.0,2.5,6.0,linear
29,122272,63299,1,0.141902,0.141902,0.0,2.5,6.0,linear
30,122311,63348,1,0.142936,0.142936,0.0,2.5,6.0,linear
31,121530,63217,1,0.143703,0.143703,0.0,2.5,6.0,linear
32,120970,62964,1,0.144746,0.144746,0.0,2.5,6.0,linear
33,120249,62557,1,0.14524,0.14524,0.0,2.5,6.0,linear
34,120121,62274,1,0.145111,0.145111,0.0,2.5,6.0,linear
35,120358,62192,1,0.144166,0.144166,0.0,2.5,6.0,linear
36,121263,62688,1,0.14374,0.14374,0.0,2.5,6.0,linear
37,120960,62391,1,0.144758,0.144758,0.0,2.5,6.0,linear
38,120679,62356,1,0.144585,0.144585,0.0,2.5,6.0,linear
39,120191,62468,1,0.143751,0.143751,0.0,2.5,6.0,linear
40,120442,62389,1,0.143917,0.143917,0.0,2.5,6.0,linear
41,120155,62159,1,0.143627,0.143627,0.0,2.5,6.0,linear
42,120918,62375,1,0.143236,0.143236,0.0,2.5,6.0,linear
43,121104,62591,1,0.14381,0.14381,0.0,2.5,6.0,linear
44,121032,62453,1,0.144327,0.144327,0.0,2.5,6.0,linear
45,121285,62602,1,0.143647,0.143647,0.0,2.5,6.0,linear
46,121245,62701,1,0.143375,0.143375,0.0,2.5,6.0,linear
47,120921,62500,1,0.142747,0.142747,0.0,2.5,6.0,linear
48,120467,62140,1,0.143897,0.143897,0.0,2.5,6.0,linear
49,121258,62675,1,0.144144,0.144144,0.0,2.5,6.0,linear
50,120924,62363,1,0.145222,0.145222,0.0,2.5,6.0,linear
51,120565,62503,1,0.144431,0.144431,0.0,2.5,6.0,linear
52,120795,62624,1,0.144271,0.144271,0.0,2.5,6.0,linear
53,120716,62491,1,0.144534,0.144534,0.0,2.5,6.0,linear
54,120711,62257,1,0.143858,0.143858,0.0,2.5,6.0,linear
55,121163,62361,1,0.144232,0.144232,0.0,2.5,6.0,linear
56,121048,62590,1,0.145237,0.145237,0.0,2.5,6.0,linear
